"","X","videoId","views","comments","likes","dislikes","dateUploaded","thumbnailURL","videoTitle","channelId","channelName","subscribers","numViews","channelURL","videoURl","categories","numVideos","id"
"109",112,"d5Ma81TI_Ok",4071805,16297,199909,3501,"2014-04-05T04:33:39.000Z","https://i.ytimg.com/vi/d5Ma81TI_Ok/maxresdefault.jpg","Getting Ready: Theme Park Makeup & Outfits!","Macbarbie07","Bethany Mota",10523544,"973576038","www.youtube.com/user/Macbarbie07","https://www.youtube.com/watch?v=d5Ma81TI_Ok","Film & Animation; Autos & Vehicles; Music; Pets & Animals; Sports; Travel & Events; Gaming; People & Blogs; Comedy; Entertainment; News & Politics; Howto & Style; Education; Science & Technology; Nonprofits & Activism",474,"B"
"177",180,"mXHLzZ0pDYo",4364324,62531,211151,3213,"2014-05-25T02:00:01.000Z","https://i.ytimg.com/vi/mXHLzZ0pDYo/maxresdefault.jpg","Easy & Quick DIY  Choker Necklaces! + How I wear them","Macbarbie07","Bethany Mota",10523544,"973576038","www.youtube.com/user/Macbarbie07","https://www.youtube.com/watch?v=mXHLzZ0pDYo","Film & Animation; Autos & Vehicles; Music; Pets & Animals; Sports; Travel & Events; Gaming; People & Blogs; Comedy; Entertainment; News & Politics; Howto & Style; Education; Science & Technology; Nonprofits & Activism",474,"B"
"152",155,"c1B0KO_0Qtk",13631757,42693,335251,4902,"2014-07-14T12:42:40.000Z","https://i.ytimg.com/vi/c1B0KO_0Qtk/maxresdefault.jpg","Morning Routine: Summer 2014!","Macbarbie07","Bethany Mota",10523544,"973576038","www.youtube.com/user/Macbarbie07","https://www.youtube.com/watch?v=c1B0KO_0Qtk","Film & Animation; Autos & Vehicles; Music; Pets & Animals; Sports; Travel & Events; Gaming; People & Blogs; Comedy; Entertainment; News & Politics; Howto & Style; Education; Science & Technology; Nonprofits & Activism",474,"B"
"127",130,"rD_a95Dib9A",7685541,31692,252234,21367,"2014-10-13T22:08:33.000Z","https://i.ytimg.com/vi/rD_a95Dib9A/maxresdefault.jpg","Need You Right Now (Official Lyric Video)","Macbarbie07","Bethany Mota",10523544,"973576038","www.youtube.com/user/Macbarbie07","https://www.youtube.com/watch?v=rD_a95Dib9A","Film & Animation; Autos & Vehicles; Music; Pets & Animals; Sports; Travel & Events; Gaming; People & Blogs; Comedy; Entertainment; News & Politics; Howto & Style; Education; Science & Technology; Nonprofits & Activism",474,"B"
"110",113,"QMSzCgrEKN8",4056237,18408,180224,2978,"2015-01-28T07:11:52.000Z","https://i.ytimg.com/vi/QMSzCgrEKN8/maxresdefault.jpg","4 Healthy Treats for Valentine's Day!","Macbarbie07","Bethany Mota",10523544,"973576038","www.youtube.com/user/Macbarbie07","https://www.youtube.com/watch?v=QMSzCgrEKN8","Film & Animation; Autos & Vehicles; Music; Pets & Animals; Sports; Travel & Events; Gaming; People & Blogs; Comedy; Entertainment; News & Politics; Howto & Style; Education; Science & Technology; Nonprofits & Activism",474,"B"
"170",173,"A85OuE1Clk4",2858069,23684,137068,3990,"2015-03-21T15:53:07.000Z","https://i.ytimg.com/vi/A85OuE1Clk4/maxresdefault.jpg","CONFIDENCE  TRAVEL  & OTHER STUFF #AskBeth","Macbarbie07","Bethany Mota",10523544,"973576038","www.youtube.com/user/Macbarbie07","https://www.youtube.com/watch?v=A85OuE1Clk4","Film & Animation; Autos & Vehicles; Music; Pets & Animals; Sports; Travel & Events; Gaming; People & Blogs; Comedy; Entertainment; News & Politics; Howto & Style; Education; Science & Technology; Nonprofits & Activism",474,"B"
"134",137,"UcmMHuwKkPs",2779986,14755,157916,5997,"2015-07-25T22:58:54.000Z","https://i.ytimg.com/vi/UcmMHuwKkPs/maxresdefault.jpg","Road Trip!! DIY Snacks  Travel Essentials + Exciting News!!","Macbarbie07","Bethany Mota",10523544,"973576038","www.youtube.com/user/Macbarbie07","https://www.youtube.com/watch?v=UcmMHuwKkPs","Film & Animation; Autos & Vehicles; Music; Pets & Animals; Sports; Travel & Events; Gaming; People & Blogs; Comedy; Entertainment; News & Politics; Howto & Style; Education; Science & Technology; Nonprofits & Activism",474,"B"
"189",192,"vCdjYDm7cwo",3587448,22690,252463,4115,"2015-07-28T12:12:10.000Z","https://i.ytimg.com/vi/vCdjYDm7cwo/maxresdefault.jpg","Easy DIY Room Decorations inspired by Tumblr!","Macbarbie07","Bethany Mota",10523544,"973576038","www.youtube.com/user/Macbarbie07","https://www.youtube.com/watch?v=vCdjYDm7cwo","Film & Animation; Autos & Vehicles; Music; Pets & Animals; Sports; Travel & Events; Gaming; People & Blogs; Comedy; Entertainment; News & Politics; Howto & Style; Education; Science & Technology; Nonprofits & Activism",474,"B"
"124",127,"cdhgvXcE0WQ",5812774,24414,308425,5013,"2015-08-12T05:16:34.000Z","https://i.ytimg.com/vi/cdhgvXcE0WQ/maxresdefault.jpg","Back To School: Life Hacks & Easy tips!","Macbarbie07","Bethany Mota",10523544,"973576038","www.youtube.com/user/Macbarbie07","https://www.youtube.com/watch?v=cdhgvXcE0WQ","Film & Animation; Autos & Vehicles; Music; Pets & Animals; Sports; Travel & Events; Gaming; People & Blogs; Comedy; Entertainment; News & Politics; Howto & Style; Education; Science & Technology; Nonprofits & Activism",474,"B"
"164",167,"UOsZ8xOzT0w",2139308,11266,127925,1591,"2015-08-26T21:43:20.000Z","https://i.ytimg.com/vi/UOsZ8xOzT0w/maxresdefault.jpg","A Day In My Life + Road Trip Recap!","Macbarbie07","Bethany Mota",10523544,"973576038","www.youtube.com/user/Macbarbie07","https://www.youtube.com/watch?v=UOsZ8xOzT0w","Film & Animation; Autos & Vehicles; Music; Pets & Animals; Sports; Travel & Events; Gaming; People & Blogs; Comedy; Entertainment; News & Politics; Howto & Style; Education; Science & Technology; Nonprofits & Activism",474,"B"
"605",610,"hLC-SfgfHbk",1322798,6734,47632,726,"2015-10-20T23:53:39.000Z","https://i.ytimg.com/vi/hLC-SfgfHbk/maxresdefault.jpg","SEPHORA MAKEUP HAUL","Jaclynhill1","Jaclyn Hill",5077383,"416572971","www.youtube.com/user/Jaclynhill1","https://www.youtube.com/watch?v=hLC-SfgfHbk","Film & Animation; Autos & Vehicles; Music; Pets & Animals; Sports; Travel & Events; Gaming; People & Blogs; Comedy; Entertainment; News & Politics; Howto & Style; Education; Science & Technology; Nonprofits & Activism",310,"B"
"649",657,"tHFUNSNNw0w",1099767,6898,48917,1652,"2015-10-26T01:44:29.000Z","https://i.ytimg.com/vi/tHFUNSNNw0w/maxresdefault.jpg","Glam Zombie | Rotting Face Makeup Tutorial","Jaclynhill1","Jaclyn Hill",5077383,"416572971","www.youtube.com/user/Jaclynhill1","https://www.youtube.com/watch?v=tHFUNSNNw0w","Film & Animation; Autos & Vehicles; Music; Pets & Animals; Sports; Travel & Events; Gaming; People & Blogs; Comedy; Entertainment; News & Politics; Howto & Style; Education; Science & Technology; Nonprofits & Activism",310,"B"
"623",629,"goFR_oeTw2U",2782177,6278,68343,1126,"2015-11-02T01:28:18.000Z","https://i.ytimg.com/vi/goFR_oeTw2U/maxresdefault.jpg","In Depth Foundation Routine | Flawless Full Coverage","Jaclynhill1","Jaclyn Hill",5077383,"416572971","www.youtube.com/user/Jaclynhill1","https://www.youtube.com/watch?v=goFR_oeTw2U","Film & Animation; Autos & Vehicles; Music; Pets & Animals; Sports; Travel & Events; Gaming; People & Blogs; Comedy; Entertainment; News & Politics; Howto & Style; Education; Science & Technology; Nonprofits & Activism",310,"B"
"655",663,"MmMq5-1ZnwI",1306793,7399,51878,748,"2015-11-09T03:47:28.000Z","https://i.ytimg.com/vi/MmMq5-1ZnwI/maxresdefault.jpg","OCTOBER FAVORITES | Jaclyn Hill","Jaclynhill1","Jaclyn Hill",5077383,"416572971","www.youtube.com/user/Jaclynhill1","https://www.youtube.com/watch?v=MmMq5-1ZnwI","Film & Animation; Autos & Vehicles; Music; Pets & Animals; Sports; Travel & Events; Gaming; People & Blogs; Comedy; Entertainment; News & Politics; Howto & Style; Education; Science & Technology; Nonprofits & Activism",310,"B"
"626",632,"a271Po9lZ4w",1618993,7455,48180,2297,"2015-11-12T23:36:25.000Z","https://i.ytimg.com/vi/a271Po9lZ4w/maxresdefault.jpg","Skincare Routine 2015 | Jaclyn Hill","Jaclynhill1","Jaclyn Hill",5077383,"416572971","www.youtube.com/user/Jaclynhill1","https://www.youtube.com/watch?v=a271Po9lZ4w","Film & Animation; Autos & Vehicles; Music; Pets & Animals; Sports; Travel & Events; Gaming; People & Blogs; Comedy; Entertainment; News & Politics; Howto & Style; Education; Science & Technology; Nonprofits & Activism",310,"B"
