"","videoId","views","comments","likes","dislikes","dateUploaded","videoTitle","channelId","channelName","subscribers"
"1","BUdH0ZwgpG4",4846783,40971,515783,2541,"2017-12-31T01:12:35.000Z","CATHERINE REALLY DID IT!!! (SHE'S A SAVAGE)","UCWwWOFsW68TqXE-HZLC3WIA","The ACE Family",7395722
"2","G07rKU_nW24",3864970,97001,337225,1661,"2018-02-13T02:00:10.000Z","WILL THE ACE FAMILY NAME CHANGE???","UCWwWOFsW68TqXE-HZLC3WIA","The ACE Family",7395722
"3","Ij0fI5kCWv8",4102126,191433,323345,2002,"2018-03-23T02:26:08.000Z","BABY NAMES FOR A BOY AND GIRL!!!","UCWwWOFsW68TqXE-HZLC3WIA","The ACE Family",7395722
"4","MQ1AumL8YGo",3943061,53627,288935,1766,"2018-02-18T23:37:26.000Z","DON'T TELL CATHERINE I DID THIS!!!","UCWwWOFsW68TqXE-HZLC3WIA","The ACE Family",7395722
"5","edWMHrlHeCA",3814517,107176,383821,8240,"2018-04-25T02:00:04.000Z","AUSTIN TRIES TO BE PREGNANT FOR A DAY!!! (TOO FUNNY)","UCWwWOFsW68TqXE-HZLC3WIA","The ACE Family",7395722
"6","M9BRpr1OGbI",2726613,33914,188310,1102,"2018-01-20T04:07:22.000Z","IM SORRY CATHERINE!!!","UCWwWOFsW68TqXE-HZLC3WIA","The ACE Family",7395722
"7","hdnN4TMCVDQ",4865932,55218,341917,1890,"2018-04-13T01:30:03.000Z","ELLE PICKS OUT HER LITTLE SISTERS FIRST OUTFIT!!! (SUPER CUTE)","UCWwWOFsW68TqXE-HZLC3WIA","The ACE Family",7395722
"8","EkItJc-rj40",2898186,83410,308848,1874,"2018-01-19T04:16:14.000Z","CATHERINE IS BACK!!!","UCWwWOFsW68TqXE-HZLC3WIA","The ACE Family",7395722
"9","dq8L-gkzJzE",3911191,80184,283268,1743,"2018-03-20T21:32:45.000Z","PLANS FOR OUR GENDER REVEAL!!! (EXCITING NEWS)","UCWwWOFsW68TqXE-HZLC3WIA","The ACE Family",7395722
"10","QDZBRKGP5UE",5971454,62064,253910,2377,"2017-12-11T01:22:11.000Z","ULTIMATE ONESIE DANCE BATTLE WITH 1 YEAR OLD BABY!!!","UCWwWOFsW68TqXE-HZLC3WIA","The ACE Family",7395722
"11","FV-uG4YKYls",4238192,45776,257194,1373,"2018-01-14T02:52:11.000Z","I FEEL SO BAD...","UCWwWOFsW68TqXE-HZLC3WIA","The ACE Family",7395722
"12","7OdHLFx0uR4",2920217,56406,222356,1292,"2017-12-08T00:03:18.000Z","SANTA CLAUS PRANK ON 1 YEAR OLD BABY!!! (SHE'S TOO SMART)","UCWwWOFsW68TqXE-HZLC3WIA","The ACE Family",7395722
"13","Teu19_njZ_g",3651781,43518,208163,1202,"2017-12-16T00:31:28.000Z","HILARIOUS BABY HAIRCUT!!!","UCWwWOFsW68TqXE-HZLC3WIA","The ACE Family",7395722
"14","_4M2uY5_GbI",4929492,52876,304169,1596,"2017-12-13T00:28:42.000Z","INSANE GAME OF HIDE 'N' SEEK IN THE NEW ACE FAMILY HOUSE!!!","UCWwWOFsW68TqXE-HZLC3WIA","The ACE Family",7395722
"15","GrcMkHaUOXg",4733849,56780,278144,1740,"2018-01-29T03:02:26.000Z","HOW TO SNEAK SNACKS INTO THE MOVIES!!! (BIG BOOTY LIFE HACK)","UCWwWOFsW68TqXE-HZLC3WIA","The ACE Family",7395722
"16","k-qHL-vlCzo",5099367,203937,349850,4816,"2018-04-27T02:04:26.000Z","WE HAD TO SPANK ELLE FOR THE FIRST TIME!!!","UCWwWOFsW68TqXE-HZLC3WIA","The ACE Family",7395722
"17","A27K6yq7Uuo",3141892,48471,295486,1448,"2018-01-13T04:56:55.000Z","CATHERINE GOT HER WISDOM TEETH PULLED OUT!!!","UCWwWOFsW68TqXE-HZLC3WIA","The ACE Family",7395722
"18","A1uSxVfVrmQ",1894120,36742,168562,1706,"2017-12-20T01:24:47.000Z","BYE BYE PATTY...YOU WILL BE MISSED!!!","UCWwWOFsW68TqXE-HZLC3WIA","The ACE Family",7395722
"19","IqQLkftZTT4",3423355,53865,271072,1449,"2018-02-04T03:00:05.000Z","IT'S ABOUT TIME WE DO THIS...","UCWwWOFsW68TqXE-HZLC3WIA","The ACE Family",7395722
"20","uFOydPlWGok",3708670,79354,331919,1793,"2018-01-30T03:45:53.000Z","I CAN'T BELIEVE CATHERINE DID THIS TO ME...","UCWwWOFsW68TqXE-HZLC3WIA","The ACE Family",7395722
"21","3f39vxk6auM",1435407,41812,139086,1541,"2017-12-10T01:29:05.000Z","SANTA CLAUS HAS ARRIVED!!!","UCWwWOFsW68TqXE-HZLC3WIA","The ACE Family",7395722
"22","2tQ0wl-dRAE",4046992,89521,310040,2919,"2018-03-11T19:30:02.000Z","OUR WEDDING PLANS ARE CANCELED!!!","UCWwWOFsW68TqXE-HZLC3WIA","The ACE Family",7395722
