videoId,comment,channelId,channelName
ccpFS4wzTXc,Let your kids go ANYWHERE they want to go a week,BuzzFeedVideo,BuzzFeedVideo
ccpFS4wzTXc,Missed you Let your kids do ur hair,BuzzFeedVideo,BuzzFeedVideo
ccpFS4wzTXc,Hi,BuzzFeedVideo,BuzzFeedVideo
ccpFS4wzTXc,She sounds like she is going to break down crying,BuzzFeedVideo,BuzzFeedVideo
ccpFS4wzTXc,green eyes quite rare and beautiful:),BuzzFeedVideo,BuzzFeedVideo
ccpFS4wzTXc,Your kids are sooo cuteeeee :3,BuzzFeedVideo,BuzzFeedVideo
ccpFS4wzTXc,Oh they should totally choose the groceries for a week,BuzzFeedVideo,BuzzFeedVideo
ccpFS4wzTXc,Omg do you have hooded eyes???,BuzzFeedVideo,BuzzFeedVideo
ccpFS4wzTXc,Let your kids choose what you eat for a week,BuzzFeedVideo,BuzzFeedVideo
ccpFS4wzTXc,They wanna use the dark colors cause they wanna color on ur face,BuzzFeedVideo,BuzzFeedVideo
ccpFS4wzTXc,Just asking  but is Jaxon adopted?,BuzzFeedVideo,BuzzFeedVideo
ccpFS4wzTXc,7:25 that were doing a cut crease,BuzzFeedVideo,BuzzFeedVideo
ccpFS4wzTXc,Thisbwas really nice but jackson got good at lipstick in one week and thats awesome! In the end you say he will never be an artist or good at make up but never doubt your kids! With encouragement they can achieve anything!,BuzzFeedVideo,BuzzFeedVideo
ccpFS4wzTXc,You should've gotten a shirt that said "my kids did my makeup". You know. Just so you don't risk getting thrown in to an insane asylum.,BuzzFeedVideo,BuzzFeedVideo
ccpFS4wzTXc,Her kids are so cute,BuzzFeedVideo,BuzzFeedVideo
ccpFS4wzTXc,Hannah where have you been!? We have been waiting to see what you and your kids have been up too! Can these videos be at least monthly love you guys ! And my fancy baby Wyatt.,BuzzFeedVideo,BuzzFeedVideo
ccpFS4wzTXc,Idk if you know who blippi is on YouTube but if any of you know well he has an educational channel and he's pretty popular lol well my cousin I baby sit loves this particular video of blippi and it involved pizza and he happens to say in this video/song "let's make a funny fun pizza" so everytime my cousin wants pizza he says that phrase that blippi says lol so I agree with the Spider Man waffle thing,BuzzFeedVideo,BuzzFeedVideo
ccpFS4wzTXc,Your son's are just the cutest and I love their personalities,BuzzFeedVideo,BuzzFeedVideo
ccpFS4wzTXc,Bless their sweet  little hearts,BuzzFeedVideo,BuzzFeedVideo
ccpFS4wzTXc,"Do you know how to do a natural look" Toddler that knows nothing about makeup:YES,BuzzFeedVideo,BuzzFeedVideo
