videoId,comment,channelId,channelName
-DGzzy68ONE,**throws up** doggo: hmm I wonder what that is **licks vomit**,David Dobrik,UCmh5gdwCx6lN7gEC20leNVA
-DGzzy68ONE,I just realized someone is playing sonic in the background as Scottys little brother is about to eat the pepper,David Dobrik,UCmh5gdwCx6lN7gEC20leNVA
-DGzzy68ONE,David looks like he fused with rj herrera,David Dobrik,UCmh5gdwCx6lN7gEC20leNVA
-DGzzy68ONE,*PUKES* Puppy: here's my chance. let me out of this house,David Dobrik,UCmh5gdwCx6lN7gEC20leNVA
-DGzzy68ONE,Omg link,David Dobrik,UCmh5gdwCx6lN7gEC20leNVA
-DGzzy68ONE,David ) link no no no    I'm not going to do anything just scream and laugh,David Dobrik,UCmh5gdwCx6lN7gEC20leNVA
-DGzzy68ONE,Me at myself 2:33,David Dobrik,UCmh5gdwCx6lN7gEC20leNVA
-DGzzy68ONE,ARE YOU FUKIN HIGH,David Dobrik,UCmh5gdwCx6lN7gEC20leNVA
-DGzzy68ONE,Really starting to think they do coke,David Dobrik,UCmh5gdwCx6lN7gEC20leNVA
-DGzzy68ONE,If you pause at 3:11 you can see someone is playing either sonic Donkey Kong  Or Mario,David Dobrik,UCmh5gdwCx6lN7gEC20leNVA
-DGzzy68ONE,link fuckin munched that vomit,David Dobrik,UCmh5gdwCx6lN7gEC20leNVA
-DGzzy68ONE,9/11 vlog #333 the vlog starts with a middle age man hanging around with frats at a party,David Dobrik,UCmh5gdwCx6lN7gEC20leNVA
-DGzzy68ONE,Youtube.com/scottysire,David Dobrik,UCmh5gdwCx6lN7gEC20leNVA
-DGzzy68ONE,Okay MY BROTHER IS IN THAT FRATERNITY (obviously not at that school lol) BUT CMON,David Dobrik,UCmh5gdwCx6lN7gEC20leNVA
-DGzzy68ONE,Go UCLA dude,David Dobrik,UCmh5gdwCx6lN7gEC20leNVA
-DGzzy68ONE,Dont worry @scottysire i still love you bro,David Dobrik,UCmh5gdwCx6lN7gEC20leNVA
-DGzzy68ONE,I swear to god there is a puke warning in almost every video,David Dobrik,UCmh5gdwCx6lN7gEC20leNVA
-DGzzy68ONE,When the dog licks the puke,David Dobrik,UCmh5gdwCx6lN7gEC20leNVA
-DGzzy68ONE,Link at the end lol,David Dobrik,UCmh5gdwCx6lN7gEC20leNVA
-DGzzy68ONE,the dog at the end omfg,David Dobrik,UCmh5gdwCx6lN7gEC20leNVA
-DGzzy68ONE,Jason's pinata looks like Logan Paul with that hair line,David Dobrik,UCmh5gdwCx6lN7gEC20leNVA
-DGzzy68ONE,The ending tho lmao,David Dobrik,UCmh5gdwCx6lN7gEC20leNVA
-DGzzy68ONE,Did anyone else notice that this vlog was uploaded on 9/11 and it's the 333 vlog,David Dobrik,UCmh5gdwCx6lN7gEC20leNVA
-DGzzy68ONE,Is someone playing Sonic?,David Dobrik,UCmh5gdwCx6lN7gEC20leNVA
-DGzzy68ONE,"Im chillin'" hahahahahahahahahahahaha,David Dobrik,UCmh5gdwCx6lN7gEC20leNVA
-DGzzy68ONE,YouTube.com/scottysire,David Dobrik,UCmh5gdwCx6lN7gEC20leNVA
-DGzzy68ONE,Scottys the best,David Dobrik,UCmh5gdwCx6lN7gEC20leNVA
-DGzzy68ONE,3:47 "NO NO NO",David Dobrik,UCmh5gdwCx6lN7gEC20leNVA
