videoId,comment,channelId,channelName
V6E9mOb6k8s,His into  Me: then why r u there  Jk I love Jake,Jake Paul,JakePaulProductions
V6E9mOb6k8s,come to sweden,Jake Paul,JakePaulProductions
V6E9mOb6k8s,Can you get hand cuffs on fanjoy jake Paul,Jake Paul,JakePaulProductions
V6E9mOb6k8s,I have tickled! The subscribe button from last year,Jake Paul,JakePaulProductions
V6E9mOb6k8s,ware is Tessa and emilio and ivan,Jake Paul,JakePaulProductions
V6E9mOb6k8s,My mom  doesn't let my buy it,Jake Paul,JakePaulProductions
V6E9mOb6k8s,This wasn't 24 hour challenge this was like 1 minute challenge,Jake Paul,JakePaulProductions
V6E9mOb6k8s,ERIKA IS THE ONLY TEAM TEN GIRL MEMBER. OKAY,Jake Paul,JakePaulProductions
V6E9mOb6k8s,Bruh Why Isnt Nathan Handcuffed?isnt he part of Team10?,Jake Paul,JakePaulProductions
V6E9mOb6k8s,If you don't want hand coffed,Jake Paul,JakePaulProductions
V6E9mOb6k8s,All I'm going to say is RUN!!!!!!,Jake Paul,JakePaulProductions
V6E9mOb6k8s,My mom died NOPE AINT HAPINING,Jake Paul,JakePaulProductions
V6E9mOb6k8s,Did u miss the Martinez twins? Btw I really want u to sign them in team ten again,Jake Paul,JakePaulProductions
V6E9mOb6k8s,Dobre brothers did this !!!!! Yay your doing it!!!!!!!!!!!!!!,Jake Paul,JakePaulProductions
V6E9mOb6k8s,Boy he said there's team 10 handcuff well how about you Jake Paulers count how much team 10 members are hand cuff,Jake Paul,JakePaulProductions
V6E9mOb6k8s,And you make me feel better  because  I get bullied,Jake Paul,JakePaulProductions
V6E9mOb6k8s,Jake when I come home I watch your vid,Jake Paul,JakePaulProductions
V6E9mOb6k8s,HAHAHAHAHAHAHAHAHA!!!!!!,Jake Paul,JakePaulProductions
V6E9mOb6k8s,go to IOWA please,Jake Paul,JakePaulProductions
V6E9mOb6k8s,The twins made a video and proof they the killer clowns,Jake Paul,JakePaulProductions
V6E9mOb6k8s,Home is Ohio!!,Jake Paul,JakePaulProductions
V6E9mOb6k8s,XD THIS IS TOO CRAZY TO BE REAL,Jake Paul,JakePaulProductions
V6E9mOb6k8s,that so incredible jake you are the best,Jake Paul,JakePaulProductions
V6E9mOb6k8s,Even though you put the sounds over them.,Jake Paul,JakePaulProductions
V6E9mOb6k8s,I'm a huge Jake Pauler  but I just think that you shouldn't swear in your videos. Kids watch this stuff. I know because I'm 11.,Jake Paul,JakePaulProductions
V6E9mOb6k8s,I bitch u,Jake Paul,JakePaulProductions
V6E9mOb6k8s,I fell sorry for you Erica stuck with them for 24 hours,Jake Paul,JakePaulProductions
V6E9mOb6k8s,Lol,Jake Paul,JakePaulProductions
V6E9mOb6k8s,Jake paul I love your videos and your videos make me smile and laugh everyday keep up the good work :D,Jake Paul,JakePaulProductions
V6E9mOb6k8s,Jerika is my fav. couple And jake paul is my 1st fav youtuber and erika is 2nd,Jake Paul,JakePaulProductions
V6E9mOb6k8s,Your vids rock,Jake Paul,JakePaulProductions
V6E9mOb6k8s,R.I.P Chad,Jake Paul,JakePaulProductions
V6E9mOb6k8s,Yes buy me merch for the day of the kid daddy,Jake Paul,JakePaulProductions
V6E9mOb6k8s,Who else thinks the  fishfam   should be a part of the team 10,Jake Paul,JakePaulProductions
V6E9mOb6k8s,I showed my mom,Jake Paul,JakePaulProductions
V6E9mOb6k8s,Hi,Jake Paul,JakePaulProductions
V6E9mOb6k8s,Where is the martinez twins?,Jake Paul,JakePaulProductions
V6E9mOb6k8s,Where us the martinez twins,Jake Paul,JakePaulProductions
V6E9mOb6k8s,LMFAO!!!,Jake Paul,JakePaulProductions
V6E9mOb6k8s,The killer clowns were the Martinez twins,Jake Paul,JakePaulProductions
V6E9mOb6k8s,your so ugly your hated you,Jake Paul,JakePaulProductions
V6E9mOb6k8s,I actually showed my mum the message and my mum was like wtf lol ok,Jake Paul,JakePaulProductions
V6E9mOb6k8s,Lol,Jake Paul,JakePaulProductions
V6E9mOb6k8s,Hahaha,Jake Paul,JakePaulProductions
V6E9mOb6k8s,Yaaaaaaaaaaa but why,Jake Paul,JakePaulProductions
V6E9mOb6k8s,I showed my mom and she gave me the a chancletazo,Jake Paul,JakePaulProductions
V6E9mOb6k8s,I bet 2% of people out of 100% of people grabbed there parents,Jake Paul,JakePaulProductions
V6E9mOb6k8s,I wish I can get Jakes Merch but I have no money,Jake Paul,JakePaulProductions
V6E9mOb6k8s,This was so funny love the handcuff idea.,Jake Paul,JakePaulProductions
V6E9mOb6k8s,Hope he wasn't just doing the good dead for the Vlogs.,Jake Paul,JakePaulProductions
V6E9mOb6k8s,Love the intro.,Jake Paul,JakePaulProductions
V6E9mOb6k8s,Welcome to team 10 handcuff.... Jake:train Others:challenge U know what I'm saying while they are handcuffing nick!!lol,Jake Paul,JakePaulProductions
V6E9mOb6k8s,When i was in grade 3 i had to dance to the song were all this togethere,Jake Paul,JakePaulProductions
V6E9mOb6k8s,Mostly all the boys in team 10 have long hair,Jake Paul,JakePaulProductions
V6E9mOb6k8s,Hi jake,Jake Paul,JakePaulProductions
V6E9mOb6k8s,I should my mom this she said oh... ok,Jake Paul,JakePaulProductions
V6E9mOb6k8s,I asked to buy me merch but my mom  and dad said no.,Jake Paul,JakePaulProductions
V6E9mOb6k8s,You should find someone homeless and make there day by buying them clothes and thing they might need,Jake Paul,JakePaulProductions
V6E9mOb6k8s,all in this together is my class them song,Jake Paul,JakePaulProductions
V6E9mOb6k8s,I really got my mom and she said yaaa sure,Jake Paul,JakePaulProductions
V6E9mOb6k8s,That cool and I subscribe,Jake Paul,JakePaulProductions
V6E9mOb6k8s,by  Cameron Barry  20   ok   sotp,Jake Paul,JakePaulProductions
V6E9mOb6k8s,Can uj pls sell another house pppplllllssssss,Jake Paul,JakePaulProductions
V6E9mOb6k8s,So cute,Jake Paul,JakePaulProductions
