videoId,comment,channelId,channelName
Ihy37yS-b-s,thank you for the review.,jeffreestar,jeffreestar
Ihy37yS-b-s,Where's the jeffree star foundation,jeffreestar,jeffreestar
Ihy37yS-b-s,Gurl I know u aint used to pimples but thats what concealer is for LOL dot it on first then foundation!,jeffreestar,jeffreestar
Ihy37yS-b-s,You need to vlog,jeffreestar,jeffreestar
Ihy37yS-b-s,"Nate  I swear to God.",jeffreestar,jeffreestar
Ihy37yS-b-s,I love how jeffree obsesses over one little pimple....... BITCH U COULD PLAY DOT TO DOT ON MY FOREHEAD!!!!!!,jeffreestar,jeffreestar
Ihy37yS-b-s,I just wanted to tell you that I have depression  and I'll go on YouTube and watch a vid of yours  and it helps get me through the tough flair ups---i don't think u know how grateful I am.......thank you.,jeffreestar,jeffreestar
Ihy37yS-b-s,I love your eyeshadow in this one. Please do a video on how you achieve this eye look.,jeffreestar,jeffreestar
Ihy37yS-b-s,you look like cindy crawford here!,jeffreestar,jeffreestar
Ihy37yS-b-s,This looks so amazing!,jeffreestar,jeffreestar
Ihy37yS-b-s,I would super love a house/studio tour.,jeffreestar,jeffreestar
Ihy37yS-b-s,I love it! I got to get some of that like PRONTO!!!! Right now I am waiting to receive my LM tinted moisturizer. I'm so giddy!! I'm gonna kiss the Fed Ex man when he delivers it!! Love you Jeffreestar muah!,jeffreestar,jeffreestar
Ihy37yS-b-s,Alternative and purple glam make up tutorial PLEASE???,jeffreestar,jeffreestar
Ihy37yS-b-s,When you started the vlog  I swear you looked like Chris motionless from motionless in white,jeffreestar,jeffreestar
Ihy37yS-b-s,"Bitch please I'm using a beauty blender" LMAO. dead ass me. I love u,jeffreestar,jeffreestar
Ihy37yS-b-s,You should try Make Up For Ever ultra HD  foundation @jeffreestar,jeffreestar,jeffreestar
Ihy37yS-b-s,I'm obsessed with Nathan,jeffreestar,jeffreestar
Ihy37yS-b-s,As a human person with acne  I find it hilarious how Jeffree freaks out over two tiny pimples lmao,jeffreestar,jeffreestar
Ihy37yS-b-s,Laura put out 19 light shades and 1 sassy dark skin shade...yes I checked! She needs to do better,jeffreestar,jeffreestar
Ihy37yS-b-s,I want to know the comparison of Laura Mercier flawless vs estee lauder double wear. Please review it! I have literally went to Sephora like 5 times this month trying to get samples but those poor gals working are running around like crazy right now  I can't find it in me to bug them for samples.,jeffreestar,jeffreestar
Ihy37yS-b-s,How does this compare to the Estee Lauder Double wear foundation? Does it feel and look better?,jeffreestar,jeffreestar
Ihy37yS-b-s,Your eyes looked stunning in this video,jeffreestar,jeffreestar
Ihy37yS-b-s,I like it but it makes my face oily i dont know if its the primer i put but at like the end of the day its all oily.,jeffreestar,jeffreestar
Ihy37yS-b-s,I love how helpful & honest your boyfriend is with explaining how the makeup looks/has settled. Much appreciated  lol. Xx,jeffreestar,jeffreestar
Ihy37yS-b-s,Loved loved the new format for a  wear test. Adds fun and keeps it real for the natural lighting. Asked me want to check out this foundation. Thanks!!,jeffreestar,jeffreestar
Ihy37yS-b-s,So cute,jeffreestar,jeffreestar
Ihy37yS-b-s,Loooove the wear test!!! Tati is the best!,jeffreestar,jeffreestar
Ihy37yS-b-s,Can anyone recommend a good full coverage foundation from Sephora ? People who know please,jeffreestar,jeffreestar
Ihy37yS-b-s,No hate I actually luv ur videos and never miss one  but god gave you a body  why did u have to wreck it?,jeffreestar,jeffreestar
Ihy37yS-b-s,Please do a tutorial of that purple eyeshadow look!!!,jeffreestar,jeffreestar
Ihy37yS-b-s,Love the purple eye look darling,jeffreestar,jeffreestar
Ihy37yS-b-s,Who came from Tati's video?!?,jeffreestar,jeffreestar
Ihy37yS-b-s,OMG those eyelashes though!!!!!!!!!!,jeffreestar,jeffreestar
Ihy37yS-b-s,lol I know this was in July but I live in the swamp of NC and I'll tell ya humidity is a bitch. also you can send me anything ya like and I'll try it on.,jeffreestar,jeffreestar
Ihy37yS-b-s,Jeffree your brown eyes look stunning with the purple!,jeffreestar,jeffreestar
Ihy37yS-b-s,Jeffree looks like he has lost a lot of weight.,jeffreestar,jeffreestar
Ihy37yS-b-s,loved the vlog style! x,jeffreestar,jeffreestar
Ihy37yS-b-s,Sorry for a third post. You should vlog... You're fun..,jeffreestar,jeffreestar
Ihy37yS-b-s,What concealer did you use?? Does anyone know?,jeffreestar,jeffreestar
Ihy37yS-b-s,FYI... This foundation works so well for me and I don't even need primer!!!! And yes... Move quickly!!!,jeffreestar,jeffreestar
Ihy37yS-b-s,LIVING for your vlogs boo!!,jeffreestar,jeffreestar
Ihy37yS-b-s,HOUSE TOUR PLEASE,jeffreestar,jeffreestar
Ihy37yS-b-s,thank you so much for doing what u do!,jeffreestar,jeffreestar
Ihy37yS-b-s,Nathan and Jeffree are too cute,jeffreestar,jeffreestar
Ihy37yS-b-s,I love this foundation! I use Dr Brants pores no more primer with it and my shit lasts with zero shine for at least 15 hours!!! No touch ups!!,jeffreestar,jeffreestar
Ihy37yS-b-s,You should do a house tour MTV Cribs style.,jeffreestar,jeffreestar
Ihy37yS-b-s,South Florida girl here...this foundation lasted for about 10 minutes but that's not saying much because there really is no full coverage foundation that is FL humidity-proof. Pretty much in the summer you are rocking whatever skin the Lord gave you! Will test again once we get our winter months recess from the crazy humidity.,jeffreestar,jeffreestar
Ihy37yS-b-s,yuck....,jeffreestar,jeffreestar
Ihy37yS-b-s,jeffree i've been watching your video for along time you lift me up so much when i was going through chemo  i've been fighting breast cancer for 3 years and i'm finally in  Remission and i haven't been wearing make up for 3 years and know that i'm in  Remission i want to start wearing make up again could you please make a video for skin care cause my skin is not the same as it was and i'm starting to buy some brushes but its been so long and i would love to see you do a video on what type  of brush you should use and what kind of brush are for what  i know your very busy  but would love to see one if you can. thank you Jeffree. lots of love from nancy robinson,jeffreestar,jeffreestar
Ihy37yS-b-s,What brand/kind of brush did you use to apply on the other side of your face?,jeffreestar,jeffreestar
Ihy37yS-b-s,Love the foundation so much. I really gotta get it,jeffreestar,jeffreestar
Ihy37yS-b-s,okay can i please just say the moments with you and nathan straight up melt my heart. so much love,jeffreestar,jeffreestar
Ihy37yS-b-s,Wayyy better than your most exp foundation video,jeffreestar,jeffreestar
Ihy37yS-b-s,MIX ALL OF YOUR FOUNDATIONS TOGETHER AND PUT THE FINAL PRODUCT ON YOUR FACE!!! Xoxo,jeffreestar,jeffreestar
Ihy37yS-b-s,Hey... quick question. Do you like this flawless fusion foundation or the dior forever foundation better???  Torn between both of them!!,jeffreestar,jeffreestar
Ihy37yS-b-s,this is my holy grail foundation. literally only one i've liked.,jeffreestar,jeffreestar
Ihy37yS-b-s,love the brand,jeffreestar,jeffreestar
fZS43XnJMLI,Why there's shady ass ppl dislike this vid??,jeffreestar,jeffreestar
fZS43XnJMLI,They had this video flagged for awhile now I can finally watch it,jeffreestar,jeffreestar
fZS43XnJMLI,Wow that's some good ass mascara,jeffreestar,jeffreestar
fZS43XnJMLI,I got it.....l love it....,jeffreestar,jeffreestar
fZS43XnJMLI,does anyone else just have heavy feeling lashes without mascara?? like sometimes i wonder if long think lashes are worth it lmao,jeffreestar,jeffreestar
fZS43XnJMLI,He should make an extra channel where he tests weed and weed products that would be amazing!!!! Like if you agree,jeffreestar,jeffreestar
fZS43XnJMLI,im pretty sure jefreys pinkie finger is prettier than ill ever be lol,jeffreestar,jeffreestar
fZS43XnJMLI,you guys are the best couple ever  ily...,jeffreestar,jeffreestar
fZS43XnJMLI,everyone in california says "malk" or "melk" instead of "milk" it's just the accent in that area. Egoraptor Arin Hansen is like that too  and Johnnie Guilbert  lol. it's cute imo,jeffreestar,jeffreestar
fZS43XnJMLI,Don't know if it's just because I'm high that I see this but your head looks huge in this video. Love ya all but my god it's tripping me out,jeffreestar,jeffreestar
fZS43XnJMLI,just when i thought that i couldnt love jeffree star anymore than i already do AND THEN I FIND OUT HE SMOKES WEED!!!!,jeffreestar,jeffreestar
fZS43XnJMLI,How you say milk is just like how we say milk in dutch 'melk' so all's good yass,jeffreestar,jeffreestar
fZS43XnJMLI,how many times did jeffree say today,jeffreestar,jeffreestar
fZS43XnJMLI,???????,jeffreestar,jeffreestar
fZS43XnJMLI,I think "melk" is a California thing because that's definitely how I pronounce it. "Milk" sounds weird.,jeffreestar,jeffreestar
fZS43XnJMLI,I absolutely love Nate & Jeffree,jeffreestar,jeffreestar
fZS43XnJMLI,the quality on this video is fucking great,jeffreestar,jeffreestar
fZS43XnJMLI,I'm not  like  totally impressed by what it does. I've seen other mascaras perform better or the same with fewer coats  BUT I also interested in the nourishing properties of CBD oil and I truly applaud Milk for using it and being kind of bold  honestly.  I want to see more brands embrace the weed revolution  and I will likely purchase this product just because I want to support Milk in this endeavor and let them know YES I see you  I like what you're doing  keep doing it.,jeffreestar,jeffreestar
fZS43XnJMLI,Damn I might try me some kush mascara,jeffreestar,jeffreestar
fZS43XnJMLI,omg everyone tells me I say Milk that way too hahaha,jeffreestar,jeffreestar
fZS43XnJMLI,the way Jeffree speaks just hypnotizes me  for real. just the way he move his lips  like DAMN BABY  OK.,jeffreestar,jeffreestar
fZS43XnJMLI,I dont smoke  my ex boyfriend does and I dont do makeup lol but definitely believe in cannabis healing properties and just whole heartedly enjoy watching your videos. You are so great jeffree.,jeffreestar,jeffreestar
fZS43XnJMLI,Ughhhh I wish Florida has recreation marijuana. Anyways  love you as always Jeffree!,jeffreestar,jeffreestar
fZS43XnJMLI,this video is moving very fast,jeffreestar,jeffreestar
fZS43XnJMLI,You two are so cute!,jeffreestar,jeffreestar
fZS43XnJMLI,When he said Melk in the video I felt the searing pain in my soul. Then like 2 seconds later he addressed it and I was like HUUH.,jeffreestar,jeffreestar
fZS43XnJMLI,Yes bitch I smoke for pain and it works loves it,jeffreestar,jeffreestar
fZS43XnJMLI,Jeffree I love you but did you just admit that you do drugs?,jeffreestar,jeffreestar
fZS43XnJMLI,LOOLING SNATCHED BITCH  I LOVE IT,jeffreestar,jeffreestar
fZS43XnJMLI,LOVE IT LOVE IT,jeffreestar,jeffreestar
fZS43XnJMLI,I fucking love you ganja realness,jeffreestar,jeffreestar
fZS43XnJMLI,Sweet! Melk is how we say it here in the Netherlands and Belgium ;-),jeffreestar,jeffreestar
fZS43XnJMLI,Omg I want this mascara no no I fucking need this mascara,jeffreestar,jeffreestar
fZS43XnJMLI,I honestly cannot hear the difference when people say melk or milk. Sounds the same  y'all.,jeffreestar,jeffreestar
fZS43XnJMLI,seriously wanna buy this mascara just because you wearing it looks soo wicked and i know your feel on the clumps ick   also i hate when i get mascara that makes my eyes burn T.T . iam sold hehe  i have a question whats your go to makeup like you cant go anywhere without it ? you probably wont see this but i might as well ask,jeffreestar,jeffreestar
fZS43XnJMLI,GIRL GET IT ON THAT WEED MARKET <3,jeffreestar,jeffreestar
fZS43XnJMLI,smoking a J watching this review right now LOVING THISSS!,jeffreestar,jeffreestar
fZS43XnJMLI,te amo la puta q te pario,jeffreestar,jeffreestar
fZS43XnJMLI,what have u done to your lips guuuuuuurl !!!?,jeffreestar,jeffreestar
fZS43XnJMLI,Put Aloe Vera on ur eyelashes at  night n sleep with it till in the morning you can rinse it off n it  will make a difference if you continue doing it,jeffreestar,jeffreestar
fZS43XnJMLI,Jefree fans is sheep,jeffreestar,jeffreestar
fZS43XnJMLI,The sheep  follow the shepherd,jeffreestar,jeffreestar
fZS43XnJMLI,goals,jeffreestar,jeffreestar
fZS43XnJMLI,omfg this intro ;') love ya jeffree!,jeffreestar,jeffreestar
fZS43XnJMLI,omg I neeeeeeeeeeeedddd this! I want all 3 tiers!,jeffreestar,jeffreestar
fZS43XnJMLI,Jeffree is naked?,jeffreestar,jeffreestar
fZS43XnJMLI,Do you get the box what jeffree has for $24,jeffreestar,jeffreestar
fZS43XnJMLI,and kush means happy in Urdu/Hindi!,jeffreestar,jeffreestar
fZS43XnJMLI,It WaS oFf My WiG wAs SnAtcHeD,jeffreestar,jeffreestar
fZS43XnJMLI,"can you digest it and get high?" if you're consuming mascara there is something really wrong with you,jeffreestar,jeffreestar
fZS43XnJMLI,I want him to do his boyfriends makeup,jeffreestar,jeffreestar
fZS43XnJMLI,I wish you could do smoking videos :(,jeffreestar,jeffreestar
fZS43XnJMLI,We knew it was approved bf the vid even started,jeffreestar,jeffreestar
fZS43XnJMLI,HONEY,jeffreestar,jeffreestar
fZS43XnJMLI,If weeds not ur thing.. that's completely fine... but respect the fact that some ppl r into it. It doesn't effect u let ppl be and do their thing and u do urs and we all go on with our day,jeffreestar,jeffreestar
fZS43XnJMLI,I love ur grey blonde hair the most. U slay u ice queen,jeffreestar,jeffreestar
fZS43XnJMLI,you just say milk like melk  the dutch version xD,jeffreestar,jeffreestar
fZS43XnJMLI,I like him but his face scare me sm omfg,jeffreestar,jeffreestar
4pUPRstQnwA,you so tope or isotope,jeffreestar,jeffreestar
