videoId,comment,channelId,channelName
ZBTOroguTFc,its so entertaining watching shadow,KYRSP33DY,KYRSP33DY
ZBTOroguTFc,Moar,KYRSP33DY,KYRSP33DY
ZBTOroguTFc,Pixark?,KYRSP33DY,KYRSP33DY
ZBTOroguTFc,You look like Clark Kent,KYRSP33DY,KYRSP33DY
ZBTOroguTFc,Speedy makes me REEEE!!,KYRSP33DY,KYRSP33DY
ZBTOroguTFc,i miss golf with your friends :(,KYRSP33DY,KYRSP33DY
ZBTOroguTFc,Play rocket league !,KYRSP33DY,KYRSP33DY
ZBTOroguTFc,when is minecraft happening again?,KYRSP33DY,KYRSP33DY
ZBTOroguTFc,I restarted the video so many times laughing at speedys weird manly yell when the tower fell. That was speedy right?,KYRSP33DY,KYRSP33DY
ZBTOroguTFc,Moooooorree,KYRSP33DY,KYRSP33DY
ZBTOroguTFc,Moarrrrrrrr,KYRSP33DY,KYRSP33DY
ZBTOroguTFc,b a n a n a b r e a d,KYRSP33DY,KYRSP33DY
ZBTOroguTFc,Respect to shadow for going with the Tetris strats,KYRSP33DY,KYRSP33DY
ZBTOroguTFc,speedy and the superman style XD,KYRSP33DY,KYRSP33DY
ZBTOroguTFc,banana bread,KYRSP33DY,KYRSP33DY
ZBTOroguTFc,Yes  more shellshock!!,KYRSP33DY,KYRSP33DY
ZBTOroguTFc,Love when shedew joins the crew,KYRSP33DY,KYRSP33DY
ZBTOroguTFc,Love these!!!! More please,KYRSP33DY,KYRSP33DY
ZBTOroguTFc,More!!,KYRSP33DY,KYRSP33DY
ZBTOroguTFc,Watching side play is fucking cancerous.,KYRSP33DY,KYRSP33DY
ZBTOroguTFc,Greek God Shadow,KYRSP33DY,KYRSP33DY
ZBTOroguTFc,Just found out i have this game in my steam library..,KYRSP33DY,KYRSP33DY
ZBTOroguTFc,4:32 LOL,KYRSP33DY,KYRSP33DY
ZBTOroguTFc,He finally shouted out the gram,KYRSP33DY,KYRSP33DY
ZBTOroguTFc,PLAY SHELLSHOCK LIVE AND GET A SINKHOLE DE MAYO PLZZZZ,KYRSP33DY,KYRSP33DY
ZBTOroguTFc,My guess is shadow played tetris on the original brick gameboy. As I did.,KYRSP33DY,KYRSP33DY
ZBTOroguTFc,More,KYRSP33DY,KYRSP33DY
ZBTOroguTFc,That intro clip should be in all future videos,KYRSP33DY,KYRSP33DY
ZBTOroguTFc,Magikarp.,KYRSP33DY,KYRSP33DY
ZBTOroguTFc,Teach him the powerups man,KYRSP33DY,KYRSP33DY
ZBTOroguTFc,speedy the next superman??,KYRSP33DY,KYRSP33DY
ZBTOroguTFc,SPEEDY BANGS,KYRSP33DY,KYRSP33DY
ZBTOroguTFc,Speedy is Superman with his ha?!??!?!??!?!??,KYRSP33DY,KYRSP33DY
ZBTOroguTFc,I would watch 30 mins of Tetris,KYRSP33DY,KYRSP33DY
