videoId,comment,channelId,channelName
64tqH2Z36n4,Go Canada,LaurDIY,LaurDIY
64tqH2Z36n4,I Love,LaurDIY,LaurDIY
64tqH2Z36n4,Watching this made my pug puppy sit in my lap xx lol,LaurDIY,LaurDIY
64tqH2Z36n4,If they ever have a boy they should name him Allen,LaurDIY,LaurDIY
64tqH2Z36n4,What cind of dog is that,LaurDIY,LaurDIY
64tqH2Z36n4,My mum and dad went to school tomorrow,LaurDIY,LaurDIY
64tqH2Z36n4,love moose,LaurDIY,LaurDIY
64tqH2Z36n4,Laurdiy it is moose,LaurDIY,LaurDIY
64tqH2Z36n4,The title of this video... and then a pregnancy test advert before the video...,LaurDIY,LaurDIY
64tqH2Z36n4,It looks like moose always smiles,LaurDIY,LaurDIY
64tqH2Z36n4,It is my b-day today yay,LaurDIY,LaurDIY
64tqH2Z36n4,I wish I had a puppy but my dog died I am so sad and so sick,LaurDIY,LaurDIY
64tqH2Z36n4,moose is sooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo cute!!!!,LaurDIY,LaurDIY
64tqH2Z36n4,hi lauren,LaurDIY,LaurDIY
64tqH2Z36n4,I live in Canada  lol you should  come to gimli  plz,LaurDIY,LaurDIY
64tqH2Z36n4,Mosse,LaurDIY,LaurDIY
64tqH2Z36n4,OMG I'M SOOOOOOOOOOO HAPPY FOR YOU,LaurDIY,LaurDIY
64tqH2Z36n4,My birthday is in August 14,LaurDIY,LaurDIY
64tqH2Z36n4,I love,LaurDIY,LaurDIY
64tqH2Z36n4,Moose,LaurDIY,LaurDIY
64tqH2Z36n4,Your dog look like a fish. I have a dog too .,LaurDIY,LaurDIY
64tqH2Z36n4,WHY IS MOOSE SO FREAKING AWESOME AND A CUTE LITTLE GUY AND YOU ARE LOOKING GREAT IN THIS VLOGI'M YOUR BEGEST CAN SOOOOOOOOOOO COOL,LaurDIY,LaurDIY
64tqH2Z36n4,At 3:26 did anybody realise that yellow thing on the top right? Like if you did,LaurDIY,LaurDIY
64tqH2Z36n4,Lauren I like your corgi socks. Why? Cause I think I also have a pair of corgi socks  but I also have a real corgi dog,LaurDIY,LaurDIY
64tqH2Z36n4,OMG moose is soooooooooo cute,LaurDIY,LaurDIY
64tqH2Z36n4,Her birthday is 6 days after mine or 1 day before they made it kinda confused,LaurDIY,LaurDIY
64tqH2Z36n4,Is your birthday the 23rd of August,LaurDIY,LaurDIY
64tqH2Z36n4,Mose,LaurDIY,LaurDIY
64tqH2Z36n4,I love moose,LaurDIY,LaurDIY
64tqH2Z36n4,moose!,LaurDIY,LaurDIY
64tqH2Z36n4,I think you need to do diy blindfolded to inside,LaurDIY,LaurDIY
64tqH2Z36n4,Canadian dogs don't bark differently!,LaurDIY,LaurDIY
64tqH2Z36n4,happy birthday!,LaurDIY,LaurDIY
64tqH2Z36n4,Moooooooose,LaurDIY,LaurDIY
64tqH2Z36n4,Are you guys married,LaurDIY,LaurDIY
64tqH2Z36n4,is moose a bull terrier,LaurDIY,LaurDIY
64tqH2Z36n4,MOSSIE BEST SWIMMR,LaurDIY,LaurDIY
64tqH2Z36n4,Some 1 plss tell me of Lauren's mom is the grandma on andimack,LaurDIY,LaurDIY
64tqH2Z36n4,I wish i has a mossie bear for my anxiety,LaurDIY,LaurDIY
64tqH2Z36n4,"As Fluffy" haha,LaurDIY,LaurDIY
64tqH2Z36n4,Moose is the best swimmer in history,LaurDIY,LaurDIY
64tqH2Z36n4,2:22-2:26 Erika Costell would LOVE that,LaurDIY,LaurDIY
64tqH2Z36n4,2:21 DAT LLAMA,LaurDIY,LaurDIY
64tqH2Z36n4,I vote Moose over Michael Phelps! Like if you agree! And Happy Birthday too!,LaurDIY,LaurDIY
64tqH2Z36n4,ME ENSAPALOL DE CONA DRA BLENTRURA!,LaurDIY,LaurDIY
64tqH2Z36n4,-HO BA TOY KO MAN YO,LaurDIY,LaurDIY
