videoId,comment,channelId,channelName
bLNEjiMEcxw,WHOS GONNA TRY THIS OUT!?!?!!??!,Manny Mua,MannyMua733
bLNEjiMEcxw,How many eyebrow hairs did you lose trying to wash that off?,Manny Mua,MannyMua733
bLNEjiMEcxw,You probably could of put a setting powder or a baby powder on it to get rid of the glossyness of the gel,Manny Mua,MannyMua733
bLNEjiMEcxw,I wonder what it would have looked like if you ran a spooly through it?,Manny Mua,MannyMua733
bLNEjiMEcxw,No GIGGLE??!!!!!???? MCSCUSE ME?!,Manny Mua,MannyMua733
bLNEjiMEcxw,I wonder if it would apply better if u like dipped a little disposable mascara wand in it and did it that way? hmm,Manny Mua,MannyMua733
bLNEjiMEcxw,Where the fuck was the laugh in the beggining......... Iike I missed it.,Manny Mua,MannyMua733
bLNEjiMEcxw,I know this is an old video but I love watching your videos and I feel like you could zoom up a bit more. It's like I am always pinching my screen to seen your brows and detailing.,Manny Mua,MannyMua733
bLNEjiMEcxw,HE DIDNT LAUGH,Manny Mua,MannyMua733
bLNEjiMEcxw,*wheres the giggle*,Manny Mua,MannyMua733
bLNEjiMEcxw,It really looks like you used mascara in your brows.  Total miss.,Manny Mua,MannyMua733
bLNEjiMEcxw,Oh hell no!! Major props to you for trying it out ! I love you!  You make my days brighter. I always laugh till I cry. Muahhh!!,Manny Mua,MannyMua733
bLNEjiMEcxw,I want a shirt that says  "since the day I was a child.",Manny Mua,MannyMua733
bLNEjiMEcxw,Nah wierd,Manny Mua,MannyMua733
bLNEjiMEcxw,That's Japanese product,Manny Mua,MannyMua733
bLNEjiMEcxw,If your brows had a spiff I woulda thought they was Bob Marley.   Dreadlocked eyebrows. New trend!,Manny Mua,MannyMua733
bLNEjiMEcxw,LMAOOOOO THE FUCKING THUMBNAIL,Manny Mua,MannyMua733
bLNEjiMEcxw,Favourite human,Manny Mua,MannyMua733
bLNEjiMEcxw,You can buy this from Mitsuwa or Marukai and not have to pay shipping if anyone really wants it..lol but probably not after seeing this,Manny Mua,MannyMua733
bLNEjiMEcxw,but like how come theres japanese words on it? you said its a korean brand?,Manny Mua,MannyMua733
bLNEjiMEcxw,That would probably work on lashes !,Manny Mua,MannyMua733
bLNEjiMEcxw,EXCUSE ME I WAS WAITING FOR THE GIGGLE AND GOT IT.,Manny Mua,MannyMua733
bLNEjiMEcxw,yeah.... i need this! take her hiking  camping; whaaat??!,Manny Mua,MannyMua733
bLNEjiMEcxw,It's like Charlie Chaplin meets Jersey bro....hmmm no go,Manny Mua,MannyMua733
