videoId,comment,channelId,channelName
IwxjornQhP8,none,mercyforanimals,mercyforanimals
3V9l6r2vUWk,none,mercyforanimals,mercyforanimals
JS3Qen0DSvc,But why,mercyforanimals,mercyforanimals
JS3Qen0DSvc,Be vegan  everyone for their good and your own. Could anything be more subhuman or evil than what you see in this video? Stop supporting it  be vegan.,mercyforanimals,mercyforanimals
JS3Qen0DSvc,Oh  god  that poor mama pig watching her babies... Thank you for exposing this awful company  Mercy for Animals.,mercyforanimals,mercyforanimals
KXRAhgtWElU,none,mercyforanimals,mercyforanimals
9cbNv7a2XzU,This place is AMAZING!!,mercyforanimals,mercyforanimals
AIAUSQ6ZNx0,GO VEGAN KIDS!!! =),mercyforanimals,mercyforanimals
AIAUSQ6ZNx0,its amazing and i salute u for ur wonderful efforts thank u,mercyforanimals,mercyforanimals
AIAUSQ6ZNx0,This will be future everywhere hopefully. No more eating dead corpses.,mercyforanimals,mercyforanimals
AIAUSQ6ZNx0,Love!!,mercyforanimals,mercyforanimals
AIAUSQ6ZNx0,omgggg this is amazing,mercyforanimals,mercyforanimals
_Lw0Fqev1F0,GIVE ME GIVE ME GIVE ME GIVE ME GIVE ME GIVE ME GIVE ME GIVE ME :))),mercyforanimals,mercyforanimals
_Lw0Fqev1F0,I have searched high and low looking for a vegan cheese that is not soooo salty. When I eat cheese I do not like to be overwhelmed by the sodium content of the cheese. So far I have not found any vegan cheese that is low in sodium content  that will not overwhelm my taste buds with a stong sodium content.,mercyforanimals,mercyforanimals
_Lw0Fqev1F0,This makes me happy  because I can never forget those images of what has been done to all those poor cows and calves. The broken bones and hips  beatings and batterings of mothers and calves.,mercyforanimals,mercyforanimals
Ttsnf-84GLw,What the hell is wrong with the human race  that this is standard practice and completely legal.,mercyforanimals,mercyforanimals
4OKtK9-zCDI,none,mercyforanimals,mercyforanimals
L5XgrO1OFIU,true <3,mercyforanimals,mercyforanimals
L5XgrO1OFIU,Be vegetarian,mercyforanimals,mercyforanimals
J7BFEHcNQYs,none,mercyforanimals,mercyforanimals
mwWfee7THlM,Its never too late!  Go vegan!,mercyforanimals,mercyforanimals
mwWfee7THlM,Awesome lady VEGANS ROCK!,mercyforanimals,mercyforanimals
mwWfee7THlM,She has a cat!,mercyforanimals,mercyforanimals
hVYaubHX1C0,Great concept! May you be successful for years to come and hopefully show people that vegans don't miss out on anything!,mercyforanimals,mercyforanimals
hVYaubHX1C0,Looks so good! Gotta visit Toronto,mercyforanimals,mercyforanimals
hVYaubHX1C0,What's up from B.C.   never been to Toronto but I'll have to check it out if I'm ever there. It all looks so good.,mercyforanimals,mercyforanimals
hVYaubHX1C0,Congrats to them and their employees for such a nice business. If I'm ever in Toronto I'll need to visit.,mercyforanimals,mercyforanimals
AX2XVabkyuc,none,mercyforanimals,mercyforanimals
cJx9N4uBthU,YAS GIRLSSSSSSSSSSSS,mercyforanimals,mercyforanimals
cJx9N4uBthU,Come to Chicago!!!,mercyforanimals,mercyforanimals
cJx9N4uBthU,I neeeed to go here,mercyforanimals,mercyforanimals
cJx9N4uBthU,I'm gonna be going there soon.,mercyforanimals,mercyforanimals
cJx9N4uBthU,So proud and happy to see this. Way to go :),mercyforanimals,mercyforanimals
cJx9N4uBthU,Here's hoping you guys franchise and become huge and in every state and city.,mercyforanimals,mercyforanimals
cJx9N4uBthU,Oh places is yummy! Tomorrow is their 1 year anniversary so $1 scoop!,mercyforanimals,mercyforanimals
cJx9N4uBthU,Yumiiii it looks delicios!!!,mercyforanimals,mercyforanimals
cJx9N4uBthU,I need to go here,mercyforanimals,mercyforanimals
cJx9N4uBthU,Looks delicious! And the animals are so happy we didn't abuse them and rob their babies' milk.,mercyforanimals,mercyforanimals
t9-fIm-yhRw,none,mercyforanimals,mercyforanimals
NEkHTMB9AJ8,none,mercyforanimals,mercyforanimals
qFBYbjpL4kE,Awesome vid!!!,mercyforanimals,mercyforanimals
qFBYbjpL4kE,Amazing video! Let's do this!!,mercyforanimals,mercyforanimals
qFBYbjpL4kE,YESSS,mercyforanimals,mercyforanimals
qFBYbjpL4kE,I love You!,mercyforanimals,mercyforanimals
qFBYbjpL4kE,IF ONLY!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! LET'S MAKE THIS DREAM BECOME REALITY,mercyforanimals,mercyforanimals
rbBMRYVSxWc,<3,mercyforanimals,mercyforanimals
rbBMRYVSxWc,Excellent Video,mercyforanimals,mercyforanimals
rbBMRYVSxWc,Love Dr. Mills. I haul cars from Dundalk to Washington DC area all the time. I sure would like to be able to meet Dr. Mills sometime. That would be great!,mercyforanimals,mercyforanimals
rbBMRYVSxWc,Very well said. We need more doctors were like Dr. Mills.,mercyforanimals,mercyforanimals
rbBMRYVSxWc,Awesome sauce  he is killing sad!,mercyforanimals,mercyforanimals
rbBMRYVSxWc,Great video,mercyforanimals,mercyforanimals
rbBMRYVSxWc,What a dude. Go on my son!,mercyforanimals,mercyforanimals
rbBMRYVSxWc,ALL PROTEIN is originally made from plants....,mercyforanimals,mercyforanimals
rbBMRYVSxWc,I love your passion,mercyforanimals,mercyforanimals
rbBMRYVSxWc,AMEN,mercyforanimals,mercyforanimals
rbBMRYVSxWc,When i go back on to DC i would love to meet this man!,mercyforanimals,mercyforanimals
rbBMRYVSxWc,I love you Dr. Mills,mercyforanimals,mercyforanimals
Emecc7tA-Tw,none,mercyforanimals,mercyforanimals
IuCfNYbrX6I,Every day I despise the human race just a little bit more :'-(,mercyforanimals,mercyforanimals
IuCfNYbrX6I,Is this how humans do "Thanksgiving"?,mercyforanimals,mercyforanimals
IuCfNYbrX6I,Terrible situation,mercyforanimals,mercyforanimals
IuCfNYbrX6I,These poor animals. I wish I could help them all,mercyforanimals,mercyforanimals
JORGKJxbCY0,Hi matt,mercyforanimals,mercyforanimals
uB27EDmzqhs,Thank you for all of your steady knowledge  encouragement also advanced learning to help support my voyage to becoming increasingly consciously understanding and as a consequence spiritually connected.,mercyforanimals,mercyforanimals
Tl20iXp8VTg,none,mercyforanimals,mercyforanimals
sdxjCXie3_Q,none,mercyforanimals,mercyforanimals
RZWlcym19bM,What a magnificent human being. Praying his footage changes people's hearts to stop eating meat,mercyforanimals,mercyforanimals
a8MXpmnEYG4,WRONG!! GO VEGAN.. THE ONLY  WAY!!,mercyforanimals,mercyforanimals
a8MXpmnEYG4,No  this is very wrong,mercyforanimals,mercyforanimals
a8MXpmnEYG4,No,mercyforanimals,mercyforanimals
a8MXpmnEYG4,Mercy for Animals,mercyforanimals,mercyforanimals
a8MXpmnEYG4,Be kind...,mercyforanimals,mercyforanimals
Nd8UWV-M4dQ,none,mercyforanimals,mercyforanimals
pcG41I1KyJE,You guys are my hero for helping animals! I want to be a vet some day of sorts. And travel all over the world and do almost everything i can possible in life. But one main goal in my life is to make a diffrence when it comes to animals. I want to help save them. Help make an awareness.,mercyforanimals,mercyforanimals
pcG41I1KyJE,I really like these short and very poignant videos  thanks. Plus where is everyone 78k subs with so few views and no comments  people are missing out.,mercyforanimals,mercyforanimals
XoyobEaU6WE,none,mercyforanimals,mercyforanimals
k7e0YOak9jE,OMG YES I MISS THIS PLACE SO MUCH AND I HAVE THEIR STICKER ON MY LAPTOP YES YES YES <3,mercyforanimals,mercyforanimals
