videoId,comment,channelId,channelName
SwfakRHCe1s,thanks for watching!,RomanAtwoodVlogs,RomanAtwoodVlogs
SwfakRHCe1s,my cat does that!,RomanAtwoodVlogs,RomanAtwoodVlogs
SwfakRHCe1s,do you sell them in new zeland,RomanAtwoodVlogs,RomanAtwoodVlogs
SwfakRHCe1s,Teach Noah how to drive with it then take him to a field put snow tires on it then drift like a atv,RomanAtwoodVlogs,RomanAtwoodVlogs
SwfakRHCe1s,Your welcome,RomanAtwoodVlogs,RomanAtwoodVlogs
SwfakRHCe1s,Dope mam,RomanAtwoodVlogs,RomanAtwoodVlogs
SwfakRHCe1s,Do a tug a war with the tundra,RomanAtwoodVlogs,RomanAtwoodVlogs
SwfakRHCe1s,In Iowa their is still snow it is April,RomanAtwoodVlogs,RomanAtwoodVlogs
SwfakRHCe1s,Can i have a hat,RomanAtwoodVlogs,RomanAtwoodVlogs
SwfakRHCe1s,Cats do that mouth thing when they hunt.,RomanAtwoodVlogs,RomanAtwoodVlogs
SwfakRHCe1s,I need that hat Roman,RomanAtwoodVlogs,RomanAtwoodVlogs
SwfakRHCe1s,Distroy it,RomanAtwoodVlogs,RomanAtwoodVlogs
SwfakRHCe1s,A dog,RomanAtwoodVlogs,RomanAtwoodVlogs
SwfakRHCe1s,iwotahat,RomanAtwoodVlogs,RomanAtwoodVlogs
SwfakRHCe1s,That intro though,RomanAtwoodVlogs,RomanAtwoodVlogs
SwfakRHCe1s,Hey. I know im late but that mouth thing that cats do. They do it when they see birds.,RomanAtwoodVlogs,RomanAtwoodVlogs
SwfakRHCe1s,Can I have a hat,RomanAtwoodVlogs,RomanAtwoodVlogs
SwfakRHCe1s,Can ihav,RomanAtwoodVlogs,RomanAtwoodVlogs
SwfakRHCe1s,Pls sub to my channel,RomanAtwoodVlogs,RomanAtwoodVlogs
SwfakRHCe1s,How do I get it,RomanAtwoodVlogs,RomanAtwoodVlogs
