videoId,comment,channelId,channelName
Y3n4oocMUqM,none,SHAYTARDS,SHAYTARDS
_zqYvQlUYiQ,none,SHAYTARDS,SHAYTARDS
juk4Fcslr6I,none,SHAYTARDS,SHAYTARDS
AEEgWI7uSVw,none,SHAYTARDS,SHAYTARDS
-6i1eMGFnII,How old are they?,SHAYTARDS,SHAYTARDS
-6i1eMGFnII,Hi,SHAYTARDS,SHAYTARDS
-6i1eMGFnII,Emi has the custest lisp,SHAYTARDS,SHAYTARDS
-6i1eMGFnII,At the end of the vlog,SHAYTARDS,SHAYTARDS
-6i1eMGFnII,You should say goodbye,SHAYTARDS,SHAYTARDS
-6i1eMGFnII,In England were live we were having a huge heatwave whilst it was snowing were u are ahh,SHAYTARDS,SHAYTARDS
-6i1eMGFnII,You  know what SHAY CARL I have to disagree with you... I believe that the pinky swear is MUCH BETTER than a handshake. :),SHAYTARDS,SHAYTARDS
-6i1eMGFnII,17:06 made me very hungry,SHAYTARDS,SHAYTARDS
-6i1eMGFnII,Loved seeing Shay  Emmi and Brock spend time together,SHAYTARDS,SHAYTARDS
-6i1eMGFnII,Sticker boy vs muddy girl,SHAYTARDS,SHAYTARDS
-6i1eMGFnII,I have a poster that says wild free,SHAYTARDS,SHAYTARDS
-6i1eMGFnII,Brock and Avia look so alike!,SHAYTARDS,SHAYTARDS
-6i1eMGFnII,I don't want to die. I still got a long way to go and a short time to get there.,SHAYTARDS,SHAYTARDS
-6i1eMGFnII,Emmy looks so much like gavin,SHAYTARDS,SHAYTARDS
-6i1eMGFnII,Our pets HEADS ARE FALLING OFF!! :( RIP Petey,SHAYTARDS,SHAYTARDS
-6i1eMGFnII,i havent watched you guys in years. everyone has grew up so much. do they not vlog every day anymore?,SHAYTARDS,SHAYTARDS
-6i1eMGFnII,Geeeez Brocko is SO BIG. Plus his blonde hair is just gone. Wow.,SHAYTARDS,SHAYTARDS
-6i1eMGFnII,Adventures in bad parenting with dad Shay  "son I'll give u $5 to stick your head under a dangerous muddy waterfall that could possibly cause serious bodily harm" idiot!,SHAYTARDS,SHAYTARDS
-6i1eMGFnII,I Missed you guys!,SHAYTARDS,SHAYTARDS
-6i1eMGFnII,6:29 - 6:32 should be a meme XD,SHAYTARDS,SHAYTARDS
-6i1eMGFnII,Hey  my friend said she ran into you at the strip club here in Utah. AWESOME VIDS BRO!!!,SHAYTARDS,SHAYTARDS
-6i1eMGFnII,It was winding so hard lol,SHAYTARDS,SHAYTARDS
-6i1eMGFnII,Shay is too drunk to upload  please bare with us.,SHAYTARDS,SHAYTARDS
-6i1eMGFnII,god mommytard is pretty,SHAYTARDS,SHAYTARDS
-6i1eMGFnII,colette is doing a better job at uploading than you are..,SHAYTARDS,SHAYTARDS
-6i1eMGFnII,Hey Shay I want to help kids my name is Kayla,SHAYTARDS,SHAYTARDS
-6i1eMGFnII,Where the vlog bro,SHAYTARDS,SHAYTARDS
-6i1eMGFnII,Where was Avia?,SHAYTARDS,SHAYTARDS
-6i1eMGFnII,Winding,SHAYTARDS,SHAYTARDS
-6i1eMGFnII,Ya your back!,SHAYTARDS,SHAYTARDS
-6i1eMGFnII,Where is there next vlog?,SHAYTARDS,SHAYTARDS
-6i1eMGFnII,Still waitng for the next vlog...,SHAYTARDS,SHAYTARDS
-6i1eMGFnII,Emma gained a little weight,SHAYTARDS,SHAYTARDS
-6i1eMGFnII,You guys are saying snow in Spanish wrong it's nieve,SHAYTARDS,SHAYTARDS
-6i1eMGFnII,I used to love you guys so much as a family to watch :D so glad you are back,SHAYTARDS,SHAYTARDS
-6i1eMGFnII,The Pee song lol,SHAYTARDS,SHAYTARDS
-6i1eMGFnII,Can you do a video of avias birthday,SHAYTARDS,SHAYTARDS
-6i1eMGFnII,You guys r craaaaazzzxy XD I SUBSCRIBED (crazy in a good way),SHAYTARDS,SHAYTARDS
-6i1eMGFnII,Omg ever sense the thing happened these kids got so old witch is very amazing kids grow so fast,SHAYTARDS,SHAYTARDS
-6i1eMGFnII,Plz I miss the edits,SHAYTARDS,SHAYTARDS
-6i1eMGFnII,You guys haven't posted Vlog in 2 weeks what's going on?,SHAYTARDS,SHAYTARDS
-6i1eMGFnII,Emmi kind of remind me of Ally Hills because of her goofy personality. Who else agrees?,SHAYTARDS,SHAYTARDS
-6i1eMGFnII,Please bring back the watermelon socks,SHAYTARDS,SHAYTARDS
-6i1eMGFnII,WHY ARE THE GIRLS SO PRETTY,SHAYTARDS,SHAYTARDS
-6i1eMGFnII,upload please lol,SHAYTARDS,SHAYTARDS
-6i1eMGFnII,i'm wondering where princesstard is she isn't in the vlogs and how old is she now?,SHAYTARDS,SHAYTARDS
-6i1eMGFnII,YOUR BACK U GUYS ARE MY FAVOURITE YOUTUBERS,SHAYTARDS,SHAYTARDS
-6i1eMGFnII,New videos?,SHAYTARDS,SHAYTARDS
-6i1eMGFnII,Can you please put trixtin.com back up I want to buy something thanks Shay,SHAYTARDS,SHAYTARDS
