videoId,comment,channelId,channelName
nQy4caDmeDE,What's good #TeamSuper?! I'm about to travel for what feels like an eternity BUT I wanna know... What's the worst injury you got as a kid??? Any fellow eyebrow scars out there!?,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,Hon  it's pronounced Thumill  as in th-uh-mill,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,And in 2018 your dog's name us scarbro,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,Scary XD,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,0:43 love that song anyone else,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,Let me get this straight... you got a coat hanger....     Stuck in your hand?.....,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,nice tamil song,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,I like viva pinata better than banjo kazooie,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,THATS WHY HER DOGS NAME IS SCARBRO,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,Harvey's in Florida is a store,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,As a vegetarian you can't eat lucky charms. They contain marshmallows and therefore geletian.,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,I subscribed,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,PLEASE CONTINUE STORY TIME WITH LILLY!!,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,#teamsuper,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,#team super,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,rich,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,Best employee ever. Sounded like Sponge Bob,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,i was on the play ground and slipped on a metal slide (croch first) and you could just see blood spiling out,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,Being like Tamil or others just like some people be Koreaboo and weaboo lol,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,Please read till end Preach girl preach girls can do anything boys can girls dont let anyone say no your a girl you cant do this you can fo anything you put your mind to say you wanted to play football but everyone says no your a girl you cant play girls put your mind to it girls are super and if you ever feel like giving up just because some people say nooo your a girl stop DONT STOP GIRLS we are powerful we are amazing we can do anything that we put are mind to reply a powerful girl qouye somethin like my coach said i run like a girl i sa8d run a little faster and you can to or she wasnt looking for a knight she was looking f9r a sword,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,her pronouncing Tamil is so white...........lol,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,her pronouncing Tamil is so white...........lol,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,2:11 lol,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,5:03 Did anyone else see the flashlight on the microphone  I think it was a flashlight I am not too sure but I think it was a flashlight,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,A scar on my chin from playing human bolling ball,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,I know I'm late but FEMINISTS YEAH!,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,The worst injury I have so far is breaking my arm and my wrist at the same time.,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,Why is Lilly putting valuable lucky charms marshmallows on the ground? Don't waste those!!,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,My sister's favorite movie is kubi kushi gum,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,I would love to  hear u speak tamil,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,My fv part was the oreo one lol,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,Yo bloodklat,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,yes i got stiches when i was in kindergarden,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,6:44 what,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,Nice dance for vaadi vaadi nattukata,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,Please do a part 3!!!!!!!!,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,Still waiting for part 3,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,Was up Tamil peeps,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,Did anyone see the teen choice awards 2016 surfboard in the background 0:50-1:05,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,I am accident prone,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,My family speaks Tamil!,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,I know that Jamaican bad word and it is blotclat,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,Do a part 3 please,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,U r so cool,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,Omg you are a future version of me I have had all of these experiences except the coat hook one also when I got my scar on my eyebrow I slipped and cracked my head open and my cat ran away to but his name was sina,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,when i saw the thing you click on to open the video  i thought she got abused as a child,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,Similar thing to the bike handle thing happened to me.,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,Todays my bday,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,''No....Nooo... UaUaaaaaOoaUgaAAAAAAAAAAAAAAAAAH.'',IISuperwomanII,IISuperwomanII
nQy4caDmeDE,Who else saw the string on the Oreos,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,Would you stop saying what sup girls I'm a boy,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,The thing with the crotch bang on the bike has happened to me two times now ( not with a bike ). Why does the universe hate me sooooooo much!!!!  It is the worst thing evvvvver!,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,Story...time with lele.....,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,go canadians like if canadian,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,Do you have any siblings?,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,apparently  i fell from the second floor.,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,1:07 me at EXO,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,3.34. Same,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,I loved that!!!!,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,You don't know how many times i have watched this.  Honestly people say super damn sexist things to me because Im punjabi and i feel like face planting those hoes.  GOD HELP ME,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,I got a concussion from a car and stitches in my head........ JOY,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,When your croch started bleeding when u were riding your bike that happened to me too.... But I was climbing a tree. Yeah.,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,YALL TALKIN BOUT MARIO FOR N64  LIKE HAS ANYONE PLAYED CRUISIN USA,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,4:14 IM DEAD,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,OMG I GOT STITCHES IN THE EXACT SAME SPOT ON MY EYEBROW.... weird....,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,2018,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,That same thing happend to me but on a exersize bike with no seat,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,I'm tamil,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,I'm going to laugh till I die after this,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,Is that what scarbro  is named after,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,I CHOKED ON MY GUM WHEN YOU FELL ON THE STAIRS FOR YOUR BIRTHDAY THX FOR ALMOST KILLING ME!!!!,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,ALSO LILLY THAT BLOOD PRIVATE THING HAPPENED TO ME BUT I BROKE MY UTERUS AND HAD TO GET STITCHES THERE,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,MRS. SMURF,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,Me a tamilian,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,When I was 2  I was running around then fell into a table then a vase fell and slit my cheek! I still have a very visible scar,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,Ive cracked my head open twice,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,I fell down the stairs face first and broke my face,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,My worst injury was that I got blood everywhere by a trip I tripped by a huge sharpe rock,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,Omg I know this Is kinda mean but at 2:12 i was dead,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,I can relate This was a couple days ago and I was moving a desk and i hit the desk on a grill and it hit my crotch and I wanted to scream,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,I am tamil  i am proud of u! Lol,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,I have a boy cat named Oreo and I love him,IISuperwomanII,IISuperwomanII
nQy4caDmeDE,I got a cut in the area aswell,IISuperwomanII,IISuperwomanII
8Kzy8AauqWM,I was kind of hoping that when she went into her car and slammed the door that her hair would get stuck in the door.... just to make her even more mad.,IISuperwomanII,IISuperwomanII
8Kzy8AauqWM,With the iPhone charger is so true that happens to me a lott,IISuperwomanII,IISuperwomanII
8Kzy8AauqWM,Buzzfeed??,IISuperwomanII,IISuperwomanII
8Kzy8AauqWM,Not when I'm hungry,IISuperwomanII,IISuperwomanII
8Kzy8AauqWM,4:48 im gonna use that in a story at school xD,IISuperwomanII,IISuperwomanII
8Kzy8AauqWM,you are one of a kind :),IISuperwomanII,IISuperwomanII
8Kzy8AauqWM,I find that superwoman vids work too.    But memes are cool.,IISuperwomanII,IISuperwomanII
8Kzy8AauqWM,I am a political activist in small ex-communist country. And actually after the last presidental election that went really wrong lot's of people went through "now I am only going to watch videos of cute animals on the internet" phase. It was bizzare  but it carried us through.,IISuperwomanII,IISuperwomanII
8Kzy8AauqWM,Oh yes  those days. Thats the time when one must just chake it off and smile at cute puppy or kittens pics.,IISuperwomanII,IISuperwomanII
8Kzy8AauqWM,2:37 me everyday,IISuperwomanII,IISuperwomanII
8Kzy8AauqWM,Legend has it that memes are the most powerful things in the world. It brings happiness to anyone if their day is terrible.,IISuperwomanII,IISuperwomanII
8Kzy8AauqWM,Good Memes = cure for anger issues,IISuperwomanII,IISuperwomanII
8Kzy8AauqWM,The answer is always M E M E S .,IISuperwomanII,IISuperwomanII
8Kzy8AauqWM,How to fix any bad day watch lily,IISuperwomanII,IISuperwomanII
8Kzy8AauqWM,I was wearing headphones and she screamed so loud,IISuperwomanII,IISuperwomanII
