videoId,comment,channelId,channelName
4cB9lWPry8A,#zombiethenogla,VanossGaming,VanossGaming
4cB9lWPry8A,Boo Boo Boo  Merry Halloween!,VanossGaming,VanossGaming
4cB9lWPry8A,Merpy Christmaween,VanossGaming,VanossGaming
4cB9lWPry8A,Pause at 7:47,VanossGaming,VanossGaming
4cB9lWPry8A,ho ho holishit,VanossGaming,VanossGaming
4cB9lWPry8A,I'm from the future because I'm watching this in 2018.,VanossGaming,VanossGaming
4cB9lWPry8A,Hallowmas 2019,VanossGaming,VanossGaming
4cB9lWPry8A,2019,VanossGaming,VanossGaming
4cB9lWPry8A,The rooftop,VanossGaming,VanossGaming
4cB9lWPry8A,like if it actually is halloween 2018 right now,VanossGaming,VanossGaming
4cB9lWPry8A,3:27 - There is a "Owlpple",VanossGaming,VanossGaming
4cB9lWPry8A,Mary birfmas,VanossGaming,VanossGaming
4cB9lWPry8A,2018,VanossGaming,VanossGaming
4cB9lWPry8A,i died at 1:49,VanossGaming,VanossGaming
4cB9lWPry8A,Only professional vanoss fans know dinono.,VanossGaming,VanossGaming
4cB9lWPry8A,2018,VanossGaming,VanossGaming
4cB9lWPry8A,Make some su vide,VanossGaming,VanossGaming
4cB9lWPry8A,I gotta shoe,VanossGaming,VanossGaming
4cB9lWPry8A,Axe in a cornfield is OP,VanossGaming,VanossGaming
4cB9lWPry8A,K,VanossGaming,VanossGaming
4cB9lWPry8A,C,VanossGaming,VanossGaming
4cB9lWPry8A,U,VanossGaming,VanossGaming
4cB9lWPry8A,F,VanossGaming,VanossGaming
4cB9lWPry8A,I got a vanoss ad on a vanoss video lol,VanossGaming,VanossGaming
4cB9lWPry8A,ok,VanossGaming,VanossGaming
4cB9lWPry8A,LLUUUIIUI,VanossGaming,VanossGaming
4cB9lWPry8A,Lewie is so funny,VanossGaming,VanossGaming
4cB9lWPry8A,My mom is from texas,VanossGaming,VanossGaming
4cB9lWPry8A,Inhakte iT that lui is gone,VanossGaming,VanossGaming
4cB9lWPry8A,hahahahahahaha,VanossGaming,VanossGaming
4cB9lWPry8A,No I'm from the future du du DUUUUU,VanossGaming,VanossGaming
4cB9lWPry8A,Right during sudden institutional buyer remain tourist factory ought.,VanossGaming,VanossGaming
4cB9lWPry8A,Im from the future and 2018 LIT,VanossGaming,VanossGaming
4cB9lWPry8A,So this is 12 or 10 months early.,VanossGaming,VanossGaming
4cB9lWPry8A,LUIIIIIIIIIIIIIIIIIIIII,VanossGaming,VanossGaming
4cB9lWPry8A,*"Orange you glad I wasn't Goku"*,VanossGaming,VanossGaming
4cB9lWPry8A,Q,VanossGaming,VanossGaming
4cB9lWPry8A,THANKS FOR UR NEW AD,VanossGaming,VanossGaming
4cB9lWPry8A,two pairs of boyfriends. nice,VanossGaming,VanossGaming
4cB9lWPry8A,Lui!!!!!,VanossGaming,VanossGaming
4cB9lWPry8A,i love to watch your videos,VanossGaming,VanossGaming
4cB9lWPry8A,#SQUEAKSQUAD,VanossGaming,VanossGaming
4cB9lWPry8A,Very texaist,VanossGaming,VanossGaming
4cB9lWPry8A,Any body else clench their butrcheeks when vanoss is being chased?,VanossGaming,VanossGaming
4cB9lWPry8A,I LOVE YOUR OUTRO,VanossGaming,VanossGaming
4cB9lWPry8A,LUI!!,VanossGaming,VanossGaming
4cB9lWPry8A,Lui! :),VanossGaming,VanossGaming
4cB9lWPry8A,6:38 hahaha,VanossGaming,VanossGaming
4cB9lWPry8A,the "Lui" cutout made my think of a pun! HAPPY HALLAWEINER,VanossGaming,VanossGaming
4cB9lWPry8A,nice cutouts,VanossGaming,VanossGaming
4cB9lWPry8A,LOVE the new outro Vanoss!!!   ;),VanossGaming,VanossGaming
4cB9lWPry8A,LUI ITS LUI YAY!,VanossGaming,VanossGaming
4cB9lWPry8A,BABBY VANOOS:"santa i won't a hoodeny for cristmas ok",VanossGaming,VanossGaming
4cB9lWPry8A,I'm from Texas and that's so true!,VanossGaming,VanossGaming
4cB9lWPry8A,Actually us texans have rifles readneck have the shotguns,VanossGaming,VanossGaming
4cB9lWPry8A,oh Christmas weed  oh Christmas weed,VanossGaming,VanossGaming
4cB9lWPry8A,5:11,VanossGaming,VanossGaming
4cB9lWPry8A,hollowmas,VanossGaming,VanossGaming
4cB9lWPry8A,I went to the future in the future,VanossGaming,VanossGaming
4cB9lWPry8A,"They carved my pumpkin." XD AWE,VanossGaming,VanossGaming
4cB9lWPry8A,vanoss im a big fan,VanossGaming,VanossGaming
4cB9lWPry8A,*3/3*,VanossGaming,VanossGaming
4cB9lWPry8A,Let's shoot them with our SHATguns,VanossGaming,VanossGaming
4cB9lWPry8A,lol!!!!,VanossGaming,VanossGaming
4cB9lWPry8A,LMFAO,VanossGaming,VanossGaming
4cB9lWPry8A,outro lit af tho,VanossGaming,VanossGaming
4cB9lWPry8A,Merry Halloween,VanossGaming,VanossGaming
