videoId,views,comments,likes,dislikes,dateUploaded,videoTitle,channelId,channelName,subscribers
ccpFS4wzTXc,416549,1004,13440,280,2018-04-26T18:30:57.000Z,I Let My Kids Do My Makeup For A Week,BuzzFeedVideo,BuzzFeedVideo,15703353
w-pUVqPRIWw,247252,526,9774,301,2018-04-24T18:00:03.000Z,We Try To Make The #LemonFaceChallenge Viral,BuzzFeedVideo,BuzzFeedVideo,15703353
IxD2NbXzgpQ,3809294,16156,93779,5885,2018-04-29T15:00:37.000Z,$12 Pork Vs. $715 Pork,BuzzFeedVideo,BuzzFeedVideo,15703353
oed4cKlbGds,140513,320,3864,146,2018-03-26T21:00:08.000Z,We Practiced Mindfulness For 2 Weeks,BuzzFeedVideo,BuzzFeedVideo,15703353
fkBYn3QkgpA,352719,695,7112,357,2018-04-01T21:00:19.000Z,We Tried Roasting Peeps,BuzzFeedVideo,BuzzFeedVideo,15703353
p0gwPwtXLjI,3729543,1983,75822,1605,2018-03-25T21:00:31.000Z,Hotel Employees Reveal Secrets About Hotels,BuzzFeedVideo,BuzzFeedVideo,15703353
Qxs8fauXxLk,682252,783,13027,381,2018-04-05T18:00:52.000Z,Amateur Vs. Professional Chef: Tiny Burgers,BuzzFeedVideo,BuzzFeedVideo,15703353
7Ou1rNpXmjk,394501,884,12136,327,2018-04-12T18:00:34.000Z,I Tried Finding My Soulmate In 48 Hours,BuzzFeedVideo,BuzzFeedVideo,15703353
rdeQT7KkqM8,6493595,10311,119782,5309,2018-03-25T15:04:41.000Z,$1 Bagel vs. $1 000 Bagel,BuzzFeedVideo,BuzzFeedVideo,15703353
MmlVBuxVNLA,14900,234,1413,77,2018-05-01T21:00:47.000Z,I Spent A Night With The Juggalos,BuzzFeedVideo,BuzzFeedVideo,15703353
lL93TfliWQ8,518295,592,10343,428,2018-04-23T18:15:46.000Z,Engaged Couple Takes The Hardest Relationship Quiz,BuzzFeedVideo,BuzzFeedVideo,15703353
NNixYRvQHDE,393302,622,7370,423,2018-03-29T21:00:44.000Z,Can Pheromones Make You More Attractive?,BuzzFeedVideo,BuzzFeedVideo,15703353
tqPub3p3k5E,6058380,11693,118723,3051,2018-04-15T15:00:49.000Z,$5 Pie Vs. $250 Pie,BuzzFeedVideo,BuzzFeedVideo,15703353
COSNanks_QM,239173,485,9663,182,2018-04-10T18:00:09.000Z,How To Take The Best Instagram Photo In New York City,BuzzFeedVideo,BuzzFeedVideo,15703353
fLGu4hvpBF0,297494,1231,5251,293,2018-04-23T21:00:45.000Z,Weird Laws From All 50 US States,BuzzFeedVideo,BuzzFeedVideo,15703353
nukwmfb8bII,2396102,1910,44870,779,2018-04-13T21:00:13.000Z,Cake Decorator Vs. Artist: Mini Cakes,BuzzFeedVideo,BuzzFeedVideo,15703353
8w4lSnOfmI0,1654938,4599,29654,4097,2018-04-01T18:00:54.000Z,I Wore A Cursed Bracelet For A Day,BuzzFeedVideo,BuzzFeedVideo,15703353
fsyA4PCW9ds,440325,762,6578,321,2018-04-21T18:00:47.000Z,Can You Guess The Prices Of These Shoes?,BuzzFeedVideo,BuzzFeedVideo,15703353
903QDFbbeww,1161320,1805,28975,1955,2018-04-25T18:00:51.000Z,I Ran 10 Miles Every Day Like Casey Neistat,BuzzFeedVideo,BuzzFeedVideo,15703353
dunDEob251s,3017406,4588,60419,1732,2018-03-26T18:00:34.000Z,Which Celebrity Has The Best Mac 'N' Cheese Recipe?,BuzzFeedVideo,BuzzFeedVideo,15703353
SMFWMWDgai4,1246093,2489,24841,1291,2018-04-28T21:00:42.000Z,This 19-Year-Old Chef Charges $155 For Dinner,BuzzFeedVideo,BuzzFeedVideo,15703353
5gTkpMU-Ho4,1199872,3035,42736,701,2018-04-06T18:00:29.000Z,Extrovert Spends 24 Hours Alone In The Woods,BuzzFeedVideo,BuzzFeedVideo,15703353
YlKvbtEyLK8,870075,1638,18670,568,2018-04-05T21:00:16.000Z,I Got Sent To Jail On My Birthday,BuzzFeedVideo,BuzzFeedVideo,15703353
J-FZ2e0uk64,545693,874,21307,569,2018-04-13T18:00:23.000Z,Quinta Vs. Womanhood,BuzzFeedVideo,BuzzFeedVideo,15703353
Ih3pRKgGv5U,453422,864,12477,307,2018-04-25T21:00:07.000Z,Best Friends Cook Chinese And Jewish Food For Each Other,BuzzFeedVideo,BuzzFeedVideo,15703353
xGWJDMNTkq8,321937,436,6277,323,2018-04-10T21:00:47.000Z,Facts You're Going To Google Because You Won't Believe Us,BuzzFeedVideo,BuzzFeedVideo,15703353
9z_eoBC6G7M,548043,1280,25339,487,2018-04-03T21:00:19.000Z,I Went To A Real Life Dream World,BuzzFeedVideo,BuzzFeedVideo,15703353
4wveOVseTC8,174158,549,6181,1410,2018-03-30T00:00:19.000Z,Too Broke For Spring Break (Music Video),BuzzFeedVideo,BuzzFeedVideo,15703353
fg2BAtNZSyQ,1572328,2646,28178,1168,2018-04-18T19:15:00.000Z,Master Baker Reviews Free Restaurant Bread,BuzzFeedVideo,BuzzFeedVideo,15703353
jqtccOoMOKU,255806,560,6666,1224,2018-04-03T18:00:56.000Z,I Gave A Surprise Desk Makeover,BuzzFeedVideo,BuzzFeedVideo,15703353
H5fdHX0_Exs,455015,546,9614,343,2018-04-02T21:00:21.000Z,Things Every Teacher Can Relate To,BuzzFeedVideo,BuzzFeedVideo,15703353
wYZHLgWH7v4,187690,230,3134,180,2018-04-20T21:00:06.000Z,We Guess The Prices Of White Dress Shirts,BuzzFeedVideo,BuzzFeedVideo,15703353
26d1xpMS_rs,227676,447,6006,524,2018-04-27T01:05:07.000Z,How Well Does The Internet Know Curly?,BuzzFeedVideo,BuzzFeedVideo,15703353
zPEPkx1CaBk,153307,1168,5559,502,2018-03-27T21:00:40.000Z,Boss Women Throughout History,BuzzFeedVideo,BuzzFeedVideo,15703353
bc5BnTYRgx8,6017201,18466,130949,6107,2018-04-01T15:00:44.000Z,$10 Vegan vs. $135 Vegan,BuzzFeedVideo,BuzzFeedVideo,15703353
2ZR_vMU8db8,1318424,3512,27144,823,2018-04-18T22:30:34.000Z,Asian Americans Take A DNA Test,BuzzFeedVideo,BuzzFeedVideo,15703353
BpDaH1Xos1k,278552,705,7460,864,2018-04-09T21:00:25.000Z,The Struggles Of Owning A Cat,BuzzFeedVideo,BuzzFeedVideo,15703353
IW1GLwtMGAI,232603,437,5545,745,2018-04-21T15:00:07.000Z,People Play "How Garbage Are You?",BuzzFeedVideo,BuzzFeedVideo,15703353
qjTu_8hklUw,2081179,4040,40179,7045,2018-04-27T21:00:40.000Z,I Stepped Inside North Korea,BuzzFeedVideo,BuzzFeedVideo,15703353
vnE4oFtr9gk,118396,326,3010,289,2018-04-06T00:00:24.000Z,Erika Jayne From Real Housewives Of Beverly Hills Reads Fan Tweets,BuzzFeedVideo,BuzzFeedVideo,15703353
M-7Eur0G17Y,279728,466,9609,336,2018-04-20T17:00:45.000Z,Quinta Vs. Self-Care,BuzzFeedVideo,BuzzFeedVideo,15703353
i1Pi4SQZGec,281996,680,11330,177,2018-04-16T21:00:15.000Z,My Unlikely Path To Becoming The 1% At Google,BuzzFeedVideo,BuzzFeedVideo,15703353
XmFZnMLkG_k,344188,1501,10424,494,2018-04-06T21:00:57.000Z,2018 Horoscopes For Your Chinese Zodiac Sign,BuzzFeedVideo,BuzzFeedVideo,15703353
mHVDxSZeDEo,101003,933,4375,740,2018-04-07T00:00:46.000Z,I'm A DACA Dreamer,BuzzFeedVideo,BuzzFeedVideo,15703353
6QteXge9Jb8,1435300,1945,37612,893,2018-03-27T18:00:41.000Z,I Tried Every Flavor of Japanese Kit Kats,BuzzFeedVideo,BuzzFeedVideo,15703353
AWfBCYtJLYA,229712,859,4491,595,2018-04-03T00:00:27.000Z,Jewish People Test Their Judaism Knowledge,BuzzFeedVideo,BuzzFeedVideo,15703353
0DKnp63KMkg,1281050,2790,33277,494,2018-03-31T18:00:26.000Z,Baby Hater Becomes A Dad For Day,BuzzFeedVideo,BuzzFeedVideo,15703353
b0eSg_8Afh0,600310,1496,20790,826,2018-03-24T21:00:02.000Z,I See Color For The First Time,BuzzFeedVideo,BuzzFeedVideo,15703353
oVccLbGc3to,634193,1345,23789,2140,2018-03-25T18:00:24.000Z,"How Gay Is That?" Feat. Adam Rippon,BuzzFeedVideo,BuzzFeedVideo,15703353
QpyHrQYeoIE,4925214,10739,98676,3018,2018-04-22T15:00:30.000Z,$7 Pho Vs. $68 Pho,BuzzFeedVideo,BuzzFeedVideo,15703353
BbQH0r0wPus,194249,560,9591,430,2018-04-22T18:00:46.000Z,You've Been Using "Compostable" Plastics Wrong,BuzzFeedVideo,BuzzFeedVideo,15703353
EZXu7RxBR0Y,461727,561,7551,696,2018-03-28T21:00:19.000Z,Pageant Queens Answer Commonly Googled Questions About Pageants,BuzzFeedVideo,BuzzFeedVideo,15703353
sCxKGJDkr1g,2250638,4738,58865,3284,2018-04-16T18:00:06.000Z,I Saw The Walmart Yodel Boy's Concert,BuzzFeedVideo,BuzzFeedVideo,15703353
arNr4PzZ2o4,117716,253,2508,208,2018-04-24T21:00:06.000Z,Can You Guess Real Vs. Fake Kanye Tweets?,BuzzFeedVideo,BuzzFeedVideo,15703353
giioHXJqBoE,106826,256,3246,88,2018-04-04T21:00:15.000Z,Making A BuzzFeed Video: The Chinese Zodiac,BuzzFeedVideo,BuzzFeedVideo,15703353
8or2-VfbgBk,201721,429,4489,252,2018-04-09T18:00:39.000Z,Rap Fans Try Rapper Inspired Chips,BuzzFeedVideo,BuzzFeedVideo,15703353
Po237dkzVaw,284022,732,10585,106,2018-04-07T15:00:19.000Z,Cat Lovers Play With Kittens While Learning Cat Facts,BuzzFeedVideo,BuzzFeedVideo,15703353
ru1ZKkFl2pM,640944,1290,23252,253,2018-04-07T18:00:56.000Z,My Olympic Tinder Date Surprised Me At The Office,BuzzFeedVideo,BuzzFeedVideo,15703353
FdVPjgo6Heo,344159,652,6102,501,2018-03-27T00:00:09.000Z,Shocking Facts About Your Favorite Foods,BuzzFeedVideo,BuzzFeedVideo,15703353
VrxwTRjvRio,498167,723,8654,1046,2018-04-30T16:00:38.000Z,Airport Layover Food Challenge // Presented by BuzzFeed & United Airlines,BuzzFeedVideo,BuzzFeedVideo,15703353
udq8ggdv9PQ,374898,2485,7761,1307,2018-04-15T21:00:47.000Z,Weird Things That Only Make Sense To Americans,BuzzFeedVideo,BuzzFeedVideo,15703353
V_zNJxotF68,839686,2289,33327,630,2018-04-04T00:00:06.000Z,I Transformed Into A Drag Queen Feat. Miz Cracker,BuzzFeedVideo,BuzzFeedVideo,15703353
lns5g4THw70,281534,388,6750,340,2018-04-02T18:00:25.000Z,Coffee Lovers Learn To Do Latte Art,BuzzFeedVideo,BuzzFeedVideo,15703353
hxMbkLci7qM,3997687,9277,60226,3886,2018-04-15T18:00:18.000Z,Divorced Couple Looks At Their Wedding Photos,BuzzFeedVideo,BuzzFeedVideo,15703353
tMazN5uH49U,1447578,5633,22164,1574,2018-04-28T15:00:58.000Z,$1 500 Rent: New York Vs. Houston,BuzzFeedVideo,BuzzFeedVideo,15703353
oipLbJoV9pM,5755628,8842,115885,2673,2018-04-08T15:00:52.000Z,$9 Fish Vs. $140 Fish,BuzzFeedVideo,BuzzFeedVideo,15703353
BrJxEzI9Mbg,223484,582,7162,261,2018-04-24T00:46:13.000Z,Adults Take Child Sexual Abuse Prevention Training,BuzzFeedVideo,BuzzFeedVideo,15703353
Z2Zl64cSmpo,1516619,2345,50767,963,2018-04-30T21:00:14.000Z,I Made The Impossible Cotton Candy From Ancient China,BuzzFeedVideo,BuzzFeedVideo,15703353
tLuV21-0Y6g,60741,501,4659,77,2018-05-01T18:00:26.000Z,Korean Men Talk About Growing Up In America,BuzzFeedVideo,BuzzFeedVideo,15703353
O22d9msel7A,147076,231,2935,152,2018-04-30T18:00:30.000Z,Family Members Try Moonshine For The First Time (In Super-Slow Motion),BuzzFeedVideo,BuzzFeedVideo,15703353
7d12MxTlLTI,744468,587,15893,559,2018-03-31T21:00:54.000Z,Americans Try Instagram Worthy Japanese Desserts,BuzzFeedVideo,BuzzFeedVideo,15703353
wFkOG2_D6wk,570531,2301,23604,577,2018-04-04T18:00:19.000Z,I Ate Lunch With Strangers For A Week,BuzzFeedVideo,BuzzFeedVideo,15703353
oRxwrYvFSN0,460981,2066,8352,279,2018-03-28T18:00:32.000Z,Adults Try Their Favorite Childhood Cereals,BuzzFeedVideo,BuzzFeedVideo,15703353
22-bSrS7ICE,5815431,43975,105017,65924,2018-03-30T18:00:38.000Z,This Guy Eats Fruit For The First Time Ever,BuzzFeedVideo,BuzzFeedVideo,15703353
vlpE0q75wp0,2172822,5850,64515,2617,2018-04-08T21:00:05.000Z,I Straightened My Curly Hair For The First Time,BuzzFeedVideo,BuzzFeedVideo,15703353
-eWZbzKswhQ,305453,328,4765,464,2018-04-11T21:00:18.000Z,The Worst Kitchen Habits You Need To Stop NOW,BuzzFeedVideo,BuzzFeedVideo,15703353
jOIy6UHZikk,188916,362,3741,131,2018-04-11T18:00:31.000Z,How Do You Define A Hookup?,BuzzFeedVideo,BuzzFeedVideo,15703353
oFWkyNRMujY,498292,149,3517,338,2018-04-27T23:00:16.000Z,Couples Play "Would You Rather" With Their Future Father-In-Laws,BuzzFeedVideo,BuzzFeedVideo,15703353
q-LuIDUj0BI,104155,1159,4398,1138,2018-04-28T01:00:51.000Z,Want To Attend BuzzFeed's Queer Prom This Year?,BuzzFeedVideo,BuzzFeedVideo,15703353
TynuSP1bDtg,632350,1536,10122,1494,2018-04-14T21:00:57.000Z,Things You Do That Annoy Servers And Bartenders,BuzzFeedVideo,BuzzFeedVideo,15703353
LmrZnTuL0oU,51798,184,1143,184,2018-04-05T00:00:26.000Z,We Watched The Season Finale Of Westworld,BuzzFeedVideo,BuzzFeedVideo,15703353
bVkmPGqtTxs,569381,649,10570,461,2018-04-19T18:00:34.000Z,Who Can Make The Best Pancakes In 10 Minutes?,BuzzFeedVideo,BuzzFeedVideo,15703353
gAH6AXi4TtU,746273,803,11452,541,2018-03-31T15:00:11.000Z,We Tried The 5-Pound Burrito Challenge,BuzzFeedVideo,BuzzFeedVideo,15703353
LyAw7H2_XfY,561521,3003,13837,835,2018-04-29T21:00:50.000Z,Things People Under 14 Will Never Relate To,BuzzFeedVideo,BuzzFeedVideo,15703353
6oPgLC3UoPk,433028,1080,16173,775,2018-04-29T18:00:00.000Z,I Tried To Live 100% Off The Grid For 24 Hours,BuzzFeedVideo,BuzzFeedVideo,15703353
0LLJ7zCxqbk,1878440,740,12657,1408,2018-04-12T21:00:40.000Z,Sex Facts That Sound Fake,BuzzFeedVideo,BuzzFeedVideo,15703353
ZygeGEa2F4g,2216533,4918,54823,15036,2018-04-28T18:00:51.000Z,I Walked On Water,BuzzFeedVideo,BuzzFeedVideo,15703353
axpUTOHIw70,1158920,2968,32032,605,2018-03-29T18:00:25.000Z,Pastry Chef Reviews Girl Scout Cookies,BuzzFeedVideo,BuzzFeedVideo,15703353
ztBF1urtgS0,1194978,2139,29478,1246,2018-03-30T21:00:41.000Z,My Dog Mastered The Egg Challenge,BuzzFeedVideo,BuzzFeedVideo,15703353
cFiNw8fhXxE,1084872,4873,28507,890,2018-04-07T21:00:52.000Z,We Take The Gen Z Quiz Feat. Anna Akana,BuzzFeedVideo,BuzzFeedVideo,15703353
pGaC-SYXInU,570470,1216,14941,481,2018-03-24T15:00:35.000Z,Is Caribbean Coconut Fried Chicken The Best In The World?,BuzzFeedVideo,BuzzFeedVideo,15703353
E3R-YbFMzUk,252111,568,3552,278,2018-04-14T18:00:03.000Z,Philadelphians Review Cheesesteaks From Chain Restaurants,BuzzFeedVideo,BuzzFeedVideo,15703353
jU7RW0teO4I,109487,222,4372,110,2018-04-27T18:00:24.000Z,Quinta Vs. Family,BuzzFeedVideo,BuzzFeedVideo,15703353
2fsmBxL0tGE,492787,416,11214,230,2018-04-26T22:00:09.000Z,Lie Detector Challenge: Women Give Compliments,BuzzFeedVideo,BuzzFeedVideo,15703353
8bQf9URnIAY,3243176,4827,102041,7786,2018-04-08T18:00:46.000Z,The Insane Way I Cheated On A College Test,BuzzFeedVideo,BuzzFeedVideo,15703353
