videoId,views,comments,likes,dislikes,dateUploaded,videoTitle,channelId,channelName,subscribers
-DGzzy68ONE,4529364,6039,233872,836,2017-09-12T02:01:32.000Z,HER SPECIAL SURPRISE FOR US!!,UCmh5gdwCx6lN7gEC20leNVA,David Dobrik,6581970
F6ePs-5UY_Q,3921847,5809,227261,779,2018-02-27T04:35:27.000Z,HE WAS NOT EXPECTING ANY OF THIS!! (SURPRISE),UCmh5gdwCx6lN7gEC20leNVA,David Dobrik,6581970
DFUVcfe9MPo,3676330,3440,200760,644,2017-12-02T02:25:31.000Z,SURPRISING BEST FRIEND WITH FREE VACATION!!,UCmh5gdwCx6lN7gEC20leNVA,David Dobrik,6581970
LjLdSxZTn1U,3793049,9553,224060,2898,2018-01-11T04:56:59.000Z,HE BROUGHT A NEW GIRL OVER!! (SURPRISE),UCmh5gdwCx6lN7gEC20leNVA,David Dobrik,6581970
0MmFeilNLnE,4940434,7853,256638,1244,2017-09-05T02:48:58.000Z,ANNOUNCING HER PREGNANCY!!,UCmh5gdwCx6lN7gEC20leNVA,David Dobrik,6581970
SEe2cm9jtqI,3923138,4800,228697,1512,2017-12-21T04:13:54.000Z,MEETING MY ROOMMATES NEW GIRL!! (RELATIONSHIP),UCmh5gdwCx6lN7gEC20leNVA,David Dobrik,6581970
G3KLR3JG8bE,4434895,7664,239518,1067,2018-01-27T02:23:30.000Z,THIS WAS A VERY BAD IDEA!! (PAINFUL),UCmh5gdwCx6lN7gEC20leNVA,David Dobrik,6581970
00ezDyp97_8,5475898,3775,234228,912,2017-11-04T00:44:13.000Z,CAUGHT HIM WITH A GIRL IN MY BED!! (AGAIN) (REAL FOOTAGE),UCmh5gdwCx6lN7gEC20leNVA,David Dobrik,6581970
w7sOVAYfo78,4114715,3748,200189,1051,2017-10-07T01:36:00.000Z,PAINTBALL TRIVIA!! (VERY BAD IDEA),UCmh5gdwCx6lN7gEC20leNVA,David Dobrik,6581970
kPZ-TcsNObY,5211827,6823,298478,1141,2018-01-02T02:45:24.000Z,SURPRISING GIRLFRIEND WITH BABY KANGAROO!!,UCmh5gdwCx6lN7gEC20leNVA,David Dobrik,6581970
Ns2OnYmlMY4,3930083,5317,245654,1520,2017-12-14T03:54:09.000Z,SURPRISING DAD WITH THE GIFT OF A LIFETIME!!,UCmh5gdwCx6lN7gEC20leNVA,David Dobrik,6581970
8la037pstMU,3551789,4755,195641,737,2018-02-06T04:20:40.000Z,VISITING BEST FRIEND IN HIS HOMETOWN!!,UCmh5gdwCx6lN7gEC20leNVA,David Dobrik,6581970
oy80-T0JJtA,4806807,52423,623553,2186,2018-04-21T05:08:35.000Z,SURPRISING BEST FRIENDS WITH 3 NEW CARS!!,UCmh5gdwCx6lN7gEC20leNVA,David Dobrik,6581970
LdLvaMdWD6o,5617334,4835,236693,1675,2017-10-17T02:54:19.000Z,OIL ON THE FLOOR WIPEOUT!! (LOT OF PAIN),UCmh5gdwCx6lN7gEC20leNVA,David Dobrik,6581970
q3Wt857We3E,3625596,5407,219000,962,2017-12-28T03:52:42.000Z,HE HOOKED UP WITH HER MOM!! (LIVE FOOTAGE),UCmh5gdwCx6lN7gEC20leNVA,David Dobrik,6581970
HVxQhirh_S0,4160378,11795,262687,1390,2017-12-05T04:46:51.000Z,THIS IS WHY OUR RELATIONSHIP WAS RUINED!,UCmh5gdwCx6lN7gEC20leNVA,David Dobrik,6581970
K1eskPuAxBA,2177278,11877,208281,1241,2018-05-01T04:20:11.000Z,THE MAKE OUT NO ONE EXPECTED!! (FREAKOUT),UCmh5gdwCx6lN7gEC20leNVA,David Dobrik,6581970
R6EyY5OVoLM,4519709,4606,233324,790,2018-01-04T02:11:45.000Z,THEY SHOULD NOT HAVE DONE THIS!! BAD IDEA!!,UCmh5gdwCx6lN7gEC20leNVA,David Dobrik,6581970
j40QT6dnI9o,4496532,7069,242910,2498,2018-01-20T01:56:01.000Z,REPLACING NERF DARTS W/ THUMBTACKS!! (BAD IDEA),UCmh5gdwCx6lN7gEC20leNVA,David Dobrik,6581970
5k_T_NDwT9I,3676547,7585,236018,854,2018-01-06T02:10:17.000Z,LITTLE BOY RESTORES MY FAITH IN HUMANITY!!,UCmh5gdwCx6lN7gEC20leNVA,David Dobrik,6581970
7eGqrbNDCMc,3869092,8127,222190,879,2018-03-01T04:51:33.000Z,SURPRISING MY FRIENDS WITH SPLIT MAN!!,UCmh5gdwCx6lN7gEC20leNVA,David Dobrik,6581970
nVy6MQA9jgo,3225756,3194,197353,827,2017-12-23T03:40:59.000Z,SURPRISING LITTLE BROTHER WITH A PONY!!,UCmh5gdwCx6lN7gEC20leNVA,David Dobrik,6581970
kQKAa4wALdo,4324472,6593,238313,1028,2018-03-13T04:02:36.000Z,THIS IS WHY YOU SHOULDNT DRINK!!,UCmh5gdwCx6lN7gEC20leNVA,David Dobrik,6581970
jAO-QN0ji20,4816362,8217,241037,886,2017-10-28T02:24:14.000Z,CANT BELIEVE WE DID THIS IN PUBLIC!!,UCmh5gdwCx6lN7gEC20leNVA,David Dobrik,6581970
qaSIvJJv_N8,4250662,4146,221072,1052,2017-09-28T02:02:34.000Z,THE SECRET NO ONE KNEW ABOUT HER!! (REVEAL),UCmh5gdwCx6lN7gEC20leNVA,David Dobrik,6581970
52-bJ6PvHJg,4990124,10961,295544,1340,2017-08-29T02:23:58.000Z,MY HOUSE WAS BROKEN INTO!! LIVE FOOTAGE!!,UCmh5gdwCx6lN7gEC20leNVA,David Dobrik,6581970
1iYFY2lUfW4,3995372,5010,218506,1051,2018-02-15T03:21:47.000Z,HE TRIED A BIRTH SIMULATOR!! (PAINFUL),UCmh5gdwCx6lN7gEC20leNVA,David Dobrik,6581970
fbgWVJB7ZKc,3406371,2639,200100,640,2017-10-21T01:43:49.000Z,SURPRISING HER AT THE HOSPITAL!!,UCmh5gdwCx6lN7gEC20leNVA,David Dobrik,6581970
a8HNQzKxKsM,3647932,4615,213495,1205,2017-11-25T01:09:08.000Z,DAD GETS HIS FIRST PIERCING!! (FREAKOUT),UCmh5gdwCx6lN7gEC20leNVA,David Dobrik,6581970
oWPWsiotVcE,3746043,11243,262884,2024,2018-03-06T04:44:57.000Z,HE THOUGHT HE WAS KISSING A GIRL...AGAIN!!,UCmh5gdwCx6lN7gEC20leNVA,David Dobrik,6581970
