videoId,views,comments,likes,dislikes,dateUploaded,videoTitle,channelId,channelName,subscribers
WQddA5NfwXk,986,2,49,0,2017-01-21T17:27:13.000Z,Kat Von D Interview - 2016 Farm Sanctuary Gala,farmsanctuary1,farmsanctuary,0
mIX-Q35CmYw,5682,28,342,0,2017-04-01T16:26:48.000Z,Happy Re-Birthday  Frank!,farmsanctuary1,farmsanctuary,0
J5znOi_Qvso,1714,9,148,1,2017-03-25T00:17:04.000Z,Mealtime for baby goats Duncan  Thomas  and Tove,farmsanctuary1,farmsanctuary,0
kxh7nMZfy9w,39841,100,1268,13,2016-11-18T00:26:04.000Z,Frank's Story,farmsanctuary1,farmsanctuary,0
NXdFbIwBP2Q,2348,3,32,0,2017-01-21T17:27:15.000Z,Richard Marx Interview- 2016 Farm Sanctuary Gala,farmsanctuary1,farmsanctuary,0
utJCRX5macU,1251,5,157,0,2017-11-14T00:59:47.000Z,Giving Day Thank You - Lila goat,farmsanctuary1,farmsanctuary,0
R6rN_ARmHUQ,4082,7,101,1,2016-09-07T23:09:48.000Z,Mesa Escaped Life as a Breeding Hen in a Cockfighting Ring; Today Lives to Love,farmsanctuary1,farmsanctuary,0
mBjlrlBKUJI,729,5,71,1,2016-08-25T19:26:57.000Z,Waffles  Two Ways,farmsanctuary1,farmsanctuary,0
HyKhBpBZmcQ,3098,2,25,0,2017-01-21T17:27:12.000Z,Jennifer Coolidge Interview - 2016 Gala,farmsanctuary1,farmsanctuary,0
4k9V1d-6Cbk,1789,9,85,0,2017-09-13T14:55:28.000Z,Susie Coston - The Animals of Farm Sanctuary,farmsanctuary1,farmsanctuary,0
aqu7EaYIAws,4170,23,270,1,2016-12-06T18:31:13.000Z,Nikki Pig: A Life Worth Saving,farmsanctuary1,farmsanctuary,0
nGDQQpHkuHQ,344,0,32,0,2017-01-21T17:27:15.000Z,Susie Coston Interview - 2016 Farm Sanctuary Gala,farmsanctuary1,farmsanctuary,0
THxrDcqSh8E,43785,26,321,2,2016-11-23T21:11:22.000Z,Julia Pig Escaped a Nightmare; Now She's Living the Dream at Farm Sanctuary,farmsanctuary1,farmsanctuary,0
HOf78IpYX9o,961,3,47,1,2016-12-27T15:53:25.000Z,Seane Corn for Compassionate Meals,farmsanctuary1,farmsanctuary,0
wtke3fCe3HM,6055,31,216,1,2017-04-18T00:36:28.000Z,Sheep shearing at Farm Sanctuary,farmsanctuary1,farmsanctuary,0
F39qQ22XcJU,2929,1,103,0,2017-01-21T17:27:12.000Z,Jon Stewart interview - 2016 Farm Sanctuary Gala,farmsanctuary1,farmsanctuary,0
nilfUxoBSY4,2056,10,153,0,2017-03-09T22:05:08.000Z,Pickles sees the camera,farmsanctuary1,farmsanctuary,0
hUijQBTrjNM,1116,7,96,1,2016-09-29T22:54:32.000Z,Fiona & Jack,farmsanctuary1,farmsanctuary,0
5rj1MEgn3MQ,1465,7,176,0,2017-09-08T19:39:24.000Z,Von D Makes a Splash!,farmsanctuary1,farmsanctuary,0
