videoId,views,comments,likes,dislikes,dateUploaded,videoTitle,channelId,channelName,subscribers
S1qP6hKyt64,2800373,2521,59537,883,2017-04-25T18:22:07.000Z,CS:GO IS BROKEN,UCtb8P4rf_1n8KS8eZk_lNNw,Fitz,2142863
u3KV3i68JN8,3352095,2228,56683,728,2016-12-05T17:02:40.000Z,THE BIGGEST IDIOTS IN CS:GO MATCHMAKING,UCtb8P4rf_1n8KS8eZk_lNNw,Fitz,2142863
-xLiiv-LuWU,6410661,10207,150114,2952,2017-05-20T17:31:21.000Z,HIS FIRST TIME PLAYING CS:GO,UCtb8P4rf_1n8KS8eZk_lNNw,Fitz,2142863
FSbbmosQca8,2266207,2905,47959,844,2016-11-15T16:44:10.000Z,KID BULLIES ME ON CS:GO,UCtb8P4rf_1n8KS8eZk_lNNw,Fitz,2142863
LS-u8p1KBPE,36859,142,865,8,2015-11-25T08:53:23.000Z,TFW Sean Gares Leaves Cloud9 (CS:GO),UCtb8P4rf_1n8KS8eZk_lNNw,Fitz,2142863
U_s80LyyYAs,1660367,1767,34201,429,2016-09-22T18:56:02.000Z,TWO IDIOTS PLAY CS:GO,UCtb8P4rf_1n8KS8eZk_lNNw,Fitz,2142863
6BWmRY5f-f0,59943,81,1562,16,2015-11-12T16:30:00.000Z,CS:GO DRAMATIC SPEECH 6 | FEMINISM,UCtb8P4rf_1n8KS8eZk_lNNw,Fitz,2142863
LDaCK4nHnmw,2897788,6136,77163,629,2016-10-11T15:31:21.000Z,GIRL ROASTS ME ON CS:GO,UCtb8P4rf_1n8KS8eZk_lNNw,Fitz,2142863
IZeHvBfctFQ,1987216,2624,39531,2154,2016-07-02T17:03:47.000Z,BEST CS:GO SURFER IN THE WORLD,UCtb8P4rf_1n8KS8eZk_lNNw,Fitz,2142863
NaHPp_Dx7AM,1627456,2568,34460,387,2016-08-24T16:37:22.000Z,THE BEST CS:GO TEAM EVER,UCtb8P4rf_1n8KS8eZk_lNNw,Fitz,2142863
bnneihBr0oU,603348,1231,12815,227,2016-07-12T18:44:25.000Z,GETTING ROASTED IN A CS:GO RAP BATTLE,UCtb8P4rf_1n8KS8eZk_lNNw,Fitz,2142863
ZZjkVWcsdpg,3021403,3216,74400,785,2017-05-31T17:19:13.000Z,THIS IS WHY I LOVE BATTLEGROUNDS,UCtb8P4rf_1n8KS8eZk_lNNw,Fitz,2142863
Vtn7iKceDyc,726644,1277,23859,308,2017-03-22T16:13:56.000Z,OVERWATCH SHOUTCAST TROLLING,UCtb8P4rf_1n8KS8eZk_lNNw,Fitz,2142863
6pbFNCy6YG4,266795,345,8305,251,2015-12-22T15:21:59.000Z,EVERY BUNNY HOP TUTORIAL EVER (CS:GO),UCtb8P4rf_1n8KS8eZk_lNNw,Fitz,2142863
2XfEcpg-ih4,366009,218,6837,132,2015-12-10T12:04:16.000Z,IT'S A HARD LIFE (CS:GO R8 Revolver Update),UCtb8P4rf_1n8KS8eZk_lNNw,Fitz,2142863
lXdEzrkeZS0,704667,424,12390,82,2015-11-21T19:20:56.000Z,AUSSIE MATCHMAKING BANTER 3 (CS:GO Funny Moments),UCtb8P4rf_1n8KS8eZk_lNNw,Fitz,2142863
gTn0vD2kbn8,2068421,2374,45873,922,2016-10-03T16:05:35.000Z,CS:GO IS TOXIC,UCtb8P4rf_1n8KS8eZk_lNNw,Fitz,2142863
XsBXA3SK0Zo,2045371,2634,43260,552,2016-10-19T15:31:30.000Z,THE DOPEST FREESTYLE RAPPER ON CS:GO,UCtb8P4rf_1n8KS8eZk_lNNw,Fitz,2142863
9mzF8ja1eaw,454114,6272,60673,248,2018-05-01T19:04:43.000Z,CS:GO DRUNK MOMENTS,UCtb8P4rf_1n8KS8eZk_lNNw,Fitz,2142863
WIJ8lcKtrkY,64995,71,1950,9,2015-11-28T21:00:00.000Z,WHEN I ACTUALLY PLAY THE GAME (CS:GO),UCtb8P4rf_1n8KS8eZk_lNNw,Fitz,2142863
blzKdSWgNuw,874133,667,19988,252,2016-09-07T20:02:29.000Z,THE BATTLEFIELD 1 MOVIE,UCtb8P4rf_1n8KS8eZk_lNNw,Fitz,2142863
0oZDQ2GvsHA,3722627,4368,79025,659,2017-01-24T16:32:14.000Z,CS:GO IS FUN,UCtb8P4rf_1n8KS8eZk_lNNw,Fitz,2142863
cr7962298v8,2818327,4455,82968,1727,2016-11-23T17:31:34.000Z,THE DUST 2 SECRET,UCtb8P4rf_1n8KS8eZk_lNNw,Fitz,2142863
2HWfFymFcaU,1770903,3275,65159,653,2018-01-26T17:41:07.000Z,HIS FIRST TIME PLAYING PUBG,UCtb8P4rf_1n8KS8eZk_lNNw,Fitz,2142863
Ve0_V677wyE,2010866,2147,47246,642,2017-02-13T16:33:41.000Z,THIS IS WHY I LOVE OVERWATCH,UCtb8P4rf_1n8KS8eZk_lNNw,Fitz,2142863
oBYydrEaHtw,2913937,5305,84584,718,2017-07-23T18:07:05.000Z,THE WORST CS:GO EXPERIENCE,UCtb8P4rf_1n8KS8eZk_lNNw,Fitz,2142863
kIMWXO2rqls,2749392,5821,77530,992,2017-11-06T17:07:10.000Z,WHEN IDIOTS PLAY CS:GO 3,UCtb8P4rf_1n8KS8eZk_lNNw,Fitz,2142863
CitkWtWobkA,8053305,11809,168130,6711,2017-05-07T17:15:54.000Z,WHEN GIRLS PLAY CS:GO 2,UCtb8P4rf_1n8KS8eZk_lNNw,Fitz,2142863
v44NQ896MqI,2539697,3818,74109,802,2017-10-25T17:02:54.000Z,MASTERS OF PUBG,UCtb8P4rf_1n8KS8eZk_lNNw,Fitz,2142863
mbp93Sz5IJk,3239195,4426,86655,934,2017-07-11T17:06:07.000Z,WHEN IDIOTS PLAY CS:GO 2,UCtb8P4rf_1n8KS8eZk_lNNw,Fitz,2142863
Ee6ImLo7k_w,342531,2279,16746,64,2016-09-01T18:16:26.000Z,100 000 SUBSCRIBERS IN 50 DAYS,UCtb8P4rf_1n8KS8eZk_lNNw,Fitz,2142863
h6s4U7EIuaI,3132990,6667,107345,1171,2018-01-13T18:43:06.000Z,TRY NOT TO LAUGH (CS:GO),UCtb8P4rf_1n8KS8eZk_lNNw,Fitz,2142863
1kZVTZP3ePQ,1002004,416,16065,139,2015-09-18T12:00:00.000Z,AUSSIE MATCHMAKING BANTER 2 (CS:GO Funny Moments),UCtb8P4rf_1n8KS8eZk_lNNw,Fitz,2142863
Oz0ClMzhkAk,2927567,3939,88994,696,2017-12-07T17:04:34.000Z,PUBG VOICE CHAT STUPIDITY,UCtb8P4rf_1n8KS8eZk_lNNw,Fitz,2142863
dxViFBBZNHo,503192,947,18321,411,2016-03-09T15:00:53.000Z,THIS IS COUNTER-STRIKE,UCtb8P4rf_1n8KS8eZk_lNNw,Fitz,2142863
fAvz5G_8LMs,420395,1511,17511,197,2016-11-06T17:00:53.000Z,THE SECRET OF CS:GO,UCtb8P4rf_1n8KS8eZk_lNNw,Fitz,2142863
USP93ujlaKk,1132105,1330,25949,328,2016-10-28T16:07:44.000Z,WORST TEAM IN THE WORLD,UCtb8P4rf_1n8KS8eZk_lNNw,Fitz,2142863
oHlOISDRA8U,573056,325,13391,64,2015-11-06T13:51:12.000Z,THE CS:GO DIARIES (Funny Stories + Reactions),UCtb8P4rf_1n8KS8eZk_lNNw,Fitz,2142863
oxyveULMTgo,1024951,809,21620,294,2015-12-03T21:30:00.000Z,AUSSIE CASUAL IN A NUTSHELL (CS:GO),UCtb8P4rf_1n8KS8eZk_lNNw,Fitz,2142863
2L7TrlV6Y5w,2833880,24209,96320,1177,2017-08-17T17:46:09.000Z,THE SAVIOURS OF CS:GO,UCtb8P4rf_1n8KS8eZk_lNNw,Fitz,2142863
