videoId,views,comments,likes,dislikes,dateUploaded,videoTitle,channelId,channelName,subscribers
nd27T14Wz_s,27361,48,1064,6,2018-03-14T21:02:27.000Z,The Men Are Speaking (Fortnite Highlights #17),shaun0728,Hutch,918684
0LRbMLSvdzk,32594,72,1073,15,2017-11-24T20:00:00.000Z,I LOVE Sniping In This Game (Fortnite Battle Royale),shaun0728,Hutch,918684
9mQ7aUcXz_o,34084,104,1276,28,2018-02-24T23:32:20.000Z,Two Deagles Are Better Than One (Fortnite Battle Royale),shaun0728,Hutch,918684
Nl2uUYHCK8U,28033,118,1237,20,2018-02-07T23:17:09.000Z,ARE YOU KIDDING ME!?! (Fortnite Battle Royale),shaun0728,Hutch,918684
UaGWz7x3_XQ,18960,35,751,7,2018-04-28T18:00:05.000Z,DUMMY (Fortnite Highlights #20),shaun0728,Hutch,918684
aovooCC2gcs,24745,66,976,11,2018-03-20T20:33:44.000Z,Onwards and Upwards (Fortnite Battle Royale),shaun0728,Hutch,918684
xPiqCZsVR3U,55513,194,2115,38,2017-11-06T13:24:11.000Z,If You Respect The Garand  It Will Respect You,shaun0728,Hutch,918684
nTWnLtZ0a4M,28482,43,993,22,2018-01-19T23:45:26.000Z,"I Love You  But We're Not Friends" (Fortnite Highlights #11),shaun0728,Hutch,918684
ZmIiYhbiMb8,27812,69,1079,16,2018-01-14T20:00:03.000Z,B.O.B. (Fortnite Highlights #10),shaun0728,Hutch,918684
wQVadzthHJs,26460,50,974,11,2018-04-15T22:10:31.000Z,The Time I Couldn't Miss With The Sniper (Fortnite Battle Royale),shaun0728,Hutch,918684
J7GSdWF5Nb8,28663,218,724,42,2018-01-26T22:27:31.000Z,New War Map "Operation Intercept" Full Gameplay (Call of Duty: World War 2),shaun0728,Hutch,918684
bd8kFNvUCss,37392,110,1260,27,2017-10-19T22:23:04.000Z,Back To Back Wins (Fortnite Battle Royale),shaun0728,Hutch,918684
9kq4QNuFuGQ,29233,75,1332,10,2018-01-28T21:16:41.000Z,This One's A Good One (Fortnite Battle Royale),shaun0728,Hutch,918684
2WOXGjYeGyA,34103,81,1276,16,2018-02-03T22:03:44.000Z,Mother Of God... (NEW MINIGUN Fortnite Battle Royale),shaun0728,Hutch,918684
92bQd2W6Y70,42341,131,1359,35,2017-11-23T20:00:00.000Z,Don't Even Think About Talking To Me (#OldMenOfOpTic Call of Duty: World War 2),shaun0728,Hutch,918684
qTus0Uy9468,27178,108,822,37,2018-01-28T22:21:15.000Z,The Turning Point (Call of Duty: World War 2 New DLC 1 Map "Occupation"),shaun0728,Hutch,918684
QCuItjELS50,28971,75,989,17,2018-03-07T23:31:47.000Z,Hunting Rifle or Scoped Bolt-Action? (Fortnite Battle Royale),shaun0728,Hutch,918684
zh8OtwZCtTM,27952,61,1005,18,2018-03-25T20:47:41.000Z,Pure Domination (Fortnite Battle Royale),shaun0728,Hutch,918684
iIBFmREKwXU,39047,116,1668,23,2018-04-06T21:49:32.000Z,"Sark  Fire A Couple Of Warning Shots" (Fortnite Battle Royale w/Sark  SandyRavage  and FickMoley),shaun0728,Hutch,918684
bUm20upfKVY,26961,68,906,16,2018-02-05T22:31:26.000Z,"Ready Your Miniguns!" (Fortnite Highlights #12),shaun0728,Hutch,918684
Yx7SvU5-1yw,21677,59,859,7,2018-04-17T22:01:01.000Z,"This Is A Party Of Momentum" (Fortnite Highlights #19),shaun0728,Hutch,918684
wbxFlKzmUYY,28390,70,1135,15,2017-11-29T22:28:35.000Z,Tommy Boy (#OldMenOfOpTic Call of Duty: World War 2),shaun0728,Hutch,918684
-MNqexxS5SU,35020,432,1609,101,2018-01-10T23:25:16.000Z,Let's Get A Few Things Straight (Fortnite Battle Royale),shaun0728,Hutch,918684
m3aqAOzbpTA,23043,75,904,17,2018-04-10T22:17:04.000Z,"I Have No Qualms With Sticking You" (Fortnite Battle Royale),shaun0728,Hutch,918684
qLoftDhUtU4,27580,58,1017,12,2018-03-05T22:28:32.000Z,The Manliest Gun Of Them All (Fortnite Highlights #16 feat. The Deagle),shaun0728,Hutch,918684
ieXtwd1xZv0,44321,114,1415,33,2017-10-16T21:31:21.000Z,The One Where I Go Off (Fortnite Battle Royale),shaun0728,Hutch,918684
