videoId,views,comments,likes,dislikes,dateUploaded,videoTitle,channelId,channelName,subscribers
V6E9mOb6k8s,3701230,12559,110422,10157,2018-02-23T22:08:00.000Z,24 HOUR GIANT TEAM 10 HANDCUFF CHALLENGE **BAD IDEA**,JakePaulProductions,Jake Paul,14808301
g8DU2IrRv3c,2802911,14895,93305,6368,2018-02-01T22:53:21.000Z,TRANSFORMING INTO GIRLFRIEND ERIKA FOR 24HRS **CHALLENGE**,JakePaulProductions,Jake Paul,14808301
tcWtdT9ZkQ0,1827015,13439,79680,6204,2018-04-02T23:36:58.000Z,WORLD'S MOST DIFFICULT PING PONG TRICK SHOTS!!,JakePaulProductions,Jake Paul,14808301
FuhMAOTAy24,4848088,15073,144279,12222,2018-01-13T23:06:18.000Z,WORLDS BIGGEST STICKY NOTE PRANK {TEAM 10 MANSION},JakePaulProductions,Jake Paul,14808301
MNvaLVTkxWA,4690664,17575,129755,19301,2018-01-03T21:15:16.000Z,MY NEW ASSISTANTS FIRST DAY.. {NOT GOOD},JakePaulProductions,Jake Paul,14808301
fnXSlJJ1zMM,5221520,12075,127225,8110,2018-01-31T23:20:05.000Z,MY GIRLFRIEND FOUND MY SIDE CHICKS UNDERWEAR...,JakePaulProductions,Jake Paul,14808301
NpJKGTqssgw,3840300,14402,123629,11338,2018-01-14T19:32:54.000Z,Dear YouTube  This Is My Biggest Insecurity...,JakePaulProductions,Jake Paul,14808301
ytH2Mm__hLQ,3440658,33813,111374,16043,2018-03-20T20:00:53.000Z,We Have 60 Days To Get Out..,JakePaulProductions,Jake Paul,14808301
W8WSUfL5PYs,4375444,15130,133127,11057,2018-01-04T20:04:53.000Z,APOLLO IS FINALLY BACK.. {EMOTIONAL RETURN},JakePaulProductions,Jake Paul,14808301
l1ptfiu2W7g,3832871,59516,121040,50517,2018-04-14T17:22:02.000Z,Team 10 is coming to an end.,JakePaulProductions,Jake Paul,14808301
