videoId,views,comments,likes,dislikes,dateUploaded,videoTitle,channelId,channelName,subscribers
3K5vYaRQUfY,2894769,5325,89785,3129,2017-01-04T22:00:30.000Z,DADDY DOES MY VOICEOVER,UCucot-Zp428OwkyRm2I7v2Q,James Charles,4372896
E6IUMKMpdRo,3548536,17403,246006,5116,2018-04-01T21:00:30.000Z,JAMES & IAN SHOW: RELATIONSHIPS,UCucot-Zp428OwkyRm2I7v2Q,James Charles,4372896
dFcCdsliIuc,4095072,11506,169458,3095,2018-02-14T21:30:10.000Z,DOING MY MAKEUP IN REVERSE,UCucot-Zp428OwkyRm2I7v2Q,James Charles,4372896
cxGDMR05gL0,1198971,3198,43233,1625,2017-10-11T21:00:16.000Z,FALL FIRST IMPRESSIONS MAKEUP TUTORIAL,UCucot-Zp428OwkyRm2I7v2Q,James Charles,4372896
H4dUvsHVnbs,1252443,2524,50942,1168,2017-10-15T18:00:41.000Z,DOING MY MAKEUP IN AN UBER,UCucot-Zp428OwkyRm2I7v2Q,James Charles,4372896
NgvEsUDKBw8,2741818,4517,76200,3189,2017-03-28T21:00:00.000Z,DRAG TRANSFORMATION WITH FARRAH MOAN!,UCucot-Zp428OwkyRm2I7v2Q,James Charles,4372896
qR3q3ncjJ7c,602543,2086,27091,1322,2017-02-10T22:32:14.000Z,EASY GLAM EVENT MAKEUP TUTORIAL,UCucot-Zp428OwkyRm2I7v2Q,James Charles,4372896
kFY8E4Pj2No,334930,1671,14537,560,2017-04-19T21:00:01.000Z,Q&A + GET READY WITH ME | BROWN SMOKEY EYE & CUSTOM LIP COLOR,UCucot-Zp428OwkyRm2I7v2Q,James Charles,4372896
EgdlBelqOYQ,3311221,6394,132499,3411,2017-09-01T19:33:05.000Z,ELIJAH AND CHRISTINE DO MY MAKEUP!,UCucot-Zp428OwkyRm2I7v2Q,James Charles,4372896
PtXwS40iaNs,6590921,11590,239083,5000,2018-01-11T00:10:48.000Z,STYLE SWAP feat. NIKKIE TUTORIALS,UCucot-Zp428OwkyRm2I7v2Q,James Charles,4372896
s8oWJAZMS_4,1125893,5085,40975,2636,2017-07-24T19:01:34.000Z,GET READY WITH ME USING FIRST IMPRESSIONS | ANASTASIA SUBCULTURE  LIQUID GLOW  NEW FAV FOUNDATION?!,UCucot-Zp428OwkyRm2I7v2Q,James Charles,4372896
NOMCIMUU29E,3570369,18987,349512,2500,2018-03-27T20:59:56.000Z,MY LITTLE BROTHER GOES TO A MAKEUP PARTY,UCucot-Zp428OwkyRm2I7v2Q,James Charles,4372896
5RRN8b-p9_E,4433612,23339,257182,6169,2017-08-29T19:00:00.000Z,SINGING MY MAKEUP ROUTINE,UCucot-Zp428OwkyRm2I7v2Q,James Charles,4372896
Z1F7OIzvyiI,2344316,4428,88390,2938,2017-10-25T21:09:03.000Z,BEAUTY GURU GETS A MAKEOVER AT MAC,UCucot-Zp428OwkyRm2I7v2Q,James Charles,4372896
dH4ZXmeEJXs,2687380,142240,292231,5502,2018-03-09T23:00:51.000Z,STRANGERS DO MY MAKEUP ON HOLLYWOOD BOULEVARD,UCucot-Zp428OwkyRm2I7v2Q,James Charles,4372896
hEnWzvzVMaA,5022569,21208,202550,10405,2018-04-17T21:00:18.000Z,FESTIVAL RAINBOW MAKEUP & LOOKBOOK,UCucot-Zp428OwkyRm2I7v2Q,James Charles,4372896
CeCgsmTjHjk,5144887,23200,300650,6189,2018-03-30T19:01:02.000Z,SHANE DAWSON AND RYLAND DO MY MAKEUP,UCucot-Zp428OwkyRm2I7v2Q,James Charles,4372896
-ep2OdAUwCM,2918175,9619,119737,4041,2018-01-19T21:01:18.000Z,TARTE SHAPE TAPE FOUNDATION FULL REVIEW,UCucot-Zp428OwkyRm2I7v2Q,James Charles,4372896
PilBN9w-T5A,832294,2022,31315,1071,2017-04-07T21:00:02.000Z,FESTIVAL DRUGSTORE MAKEUP TUTORIAL,UCucot-Zp428OwkyRm2I7v2Q,James Charles,4372896
ROzC9ZySGos,5306936,16193,165919,16119,2017-11-04T18:00:03.000Z,MAKEUP vs iPHONE X FACE ID,UCucot-Zp428OwkyRm2I7v2Q,James Charles,4372896
9NBQ_2tmYik,1113163,3617,51561,1312,2017-06-19T21:00:01.000Z,FIRST IMPRESSIONS GET READY WITH ME ft. Jaclyn Hill x Morphe Palette,UCucot-Zp428OwkyRm2I7v2Q,James Charles,4372896
tNPzd1_XzFg,2394549,4295,73193,1863,2017-11-14T22:00:02.000Z,MIXING ALL MY SETTING POWDERS TOGETHER,UCucot-Zp428OwkyRm2I7v2Q,James Charles,4372896
YLM2gl8RGj0,3150888,4141,127977,2585,2017-10-06T22:00:03.000Z,DOING COLLEEN BALLINGER'S MAKEUP WHILE SHE READS MY 2013 FAN TWEETS TO HER,UCucot-Zp428OwkyRm2I7v2Q,James Charles,4372896
OqlQM7PKWQs,6035217,21159,232609,19526,2018-02-17T18:00:01.000Z,I TRIED FOLLOWING A JENNA MARBLES MAKEUP TUTORIAL,UCucot-Zp428OwkyRm2I7v2Q,James Charles,4372896
xvmTr6S00Aw,4190441,35544,281692,5054,2018-02-27T22:02:48.000Z,MY PARENTS DO MY MAKEUP,UCucot-Zp428OwkyRm2I7v2Q,James Charles,4372896
9u1kgc0dT4M,8825959,11234,228565,5095,2017-04-28T21:00:08.000Z,DOING MADDIE ZIEGLER'S MAKEUP!,UCucot-Zp428OwkyRm2I7v2Q,James Charles,4372896
FXBfZqdObvg,4115056,8041,136787,4662,2017-07-19T19:00:01.000Z,TAKE HER SWIMMING ON THE FIRST DATE,UCucot-Zp428OwkyRm2I7v2Q,James Charles,4372896
P8qQWNTUt2o,4110866,7851,111661,14470,2017-11-17T20:00:02.000Z,73 Questions With James Charles | Vogue,UCucot-Zp428OwkyRm2I7v2Q,James Charles,4372896
o5v1MaDK4-8,2719010,6009,86280,2600,2017-01-17T23:01:39.000Z,EVERYDAY EASY GLAM MAKEUP TUTORIAL + GLASSES,UCucot-Zp428OwkyRm2I7v2Q,James Charles,4372896
-qjGfi-FQro,1503895,5991,84886,849,2018-03-06T23:30:26.000Z,BROWS  EYESHADOW  WINGED LINER  & LASHES FOR BEGINNERS,UCucot-Zp428OwkyRm2I7v2Q,James Charles,4372896
DMCJEaBchjE,1265642,3421,49626,1239,2017-11-06T22:00:00.000Z,MORPHE HOLIDAY COLLECTION FULL REVEAL & TUTORIAL,UCucot-Zp428OwkyRm2I7v2Q,James Charles,4372896
L20ZpvX1y-Q,626767,46933,66775,940,2017-07-17T19:00:01.000Z,KIM KARDASHIAN INSPIRED SMOKEY LINER | JACLYN HILL PALETTE,UCucot-Zp428OwkyRm2I7v2Q,James Charles,4372896
lEltmPagx6M,1055514,6114,73377,1382,2018-03-16T19:03:13.000Z,DEMI LOVATO - YOU DON'T DO IT FOR ME ANYMORE (FLASHBACK),UCucot-Zp428OwkyRm2I7v2Q,James Charles,4372896
LNdPVWnUFiY,1000403,3569,44598,742,2017-11-09T21:00:31.000Z,A DAY IN THE LIFE WITH ME,UCucot-Zp428OwkyRm2I7v2Q,James Charles,4372896
Bl2yyT2Qg8Y,1001687,3619,48345,905,2017-08-07T19:01:02.000Z,GLITTER FRECKLES MAKEUP TUTORIAL,UCucot-Zp428OwkyRm2I7v2Q,James Charles,4372896
AdsL6mnUzLk,306305,1018,13042,681,2017-05-08T22:06:51.000Z,UPDATED BROW ROUTINE!,UCucot-Zp428OwkyRm2I7v2Q,James Charles,4372896
nA4lKvNnaj0,295494,1459,14329,219,2017-05-12T22:00:03.000Z,EASY PROM SLAY HAIR AND MAKEUP TUTORIAL!,UCucot-Zp428OwkyRm2I7v2Q,James Charles,4372896
bM49lhbm4TY,390207,950,18396,354,2017-05-22T21:25:45.000Z,CUT CREASE POP OF COLOR LINER TUTORIAL WITH AMANDA ENSING,UCucot-Zp428OwkyRm2I7v2Q,James Charles,4372896
c62fnHHvzSA,563156,8116,32227,587,2017-05-26T22:58:11.000Z,BIRTHDAY GET READY WITH ME + MEET & GREET + SPECIAL GIVEAWAY,UCucot-Zp428OwkyRm2I7v2Q,James Charles,4372896
