videoId,views,comments,likes,dislikes,dateUploaded,videoTitle,channelId,channelName,subscribers
Ihy37yS-b-s,1745075,8533,80488,1008,2017-07-15T19:00:05.000Z,LAURA MERCIER FULL COVERAGE FOUNDATION | Review & Demo,jeffreestar,jeffreestar,6844839
fZS43XnJMLI,1601391,8314,100525,1630,2018-04-20T17:46:00.000Z,KUSH INFUSED MASCARA... WTF! Is It Jeffree Star Approved?,jeffreestar,jeffreestar,6844839
4pUPRstQnwA,1732047,4082,59707,1064,2017-10-15T18:29:55.000Z,GLITTER GLAMGLOW FACE MASK!! REVIEW + DEMO,jeffreestar,jeffreestar,6844839
h5LZ14RgSY8,3434145,9700,144591,2219,2018-02-09T18:24:39.000Z,BOX OF CRAYONS EYESHADOW PALETTE... Is It Jeffree Star Approved??,jeffreestar,jeffreestar,6844839
xuH7Bq1XvkE,2432123,212652,127806,2143,2017-07-11T20:05:35.000Z,PIGMENTED OR NAH? SEPHORA PRO EYESHADOW PALETTES | feat. Laura Lee,jeffreestar,jeffreestar,6844839
0u389bHg5nE,1782412,6291,81756,1003,2018-03-09T19:02:27.000Z,THE JEFFREE STAR TATTOO DIARIES: PART 2,jeffreestar,jeffreestar,6844839
KMuQNUfMTg0,3610060,8957,113562,10545,2017-04-26T18:02:05.000Z,APPLYING FOUNDATION WITH MY BOYFRIEND'S B**L S**K,jeffreestar,jeffreestar,6844839
3SfZKkrwCIA,2013229,8059,76140,2162,2017-12-08T22:03:11.000Z,FULL COVERAGE HOLIDAY MAKEUP TUTORIAL | Jeffree Star,jeffreestar,jeffreestar,6844839
a2CUDDhTlyg,3012897,497493,205627,3059,2018-01-06T17:49:31.000Z,GUCCI MADE ME PINK CUSTOM LUGGAGE!,jeffreestar,jeffreestar,6844839
XoXH_kZF58w,1904031,5246,90923,1091,2017-09-04T17:01:32.000Z,MAGIC GLITTER TRANSFORMING LIQUID LIPSTICK... Is It Jeffree Star Approved?,jeffreestar,jeffreestar,6844839
8Tvw-fA63Ew,2230549,7564,72625,1033,2017-06-02T18:57:56.000Z,FULL FACE FIRST IMPRESSIONS | TRYING $550 OF NEW MAKEUP!,jeffreestar,jeffreestar,6844839
aAneLnb1ZlE,2672049,8816,110082,2599,2017-08-15T18:21:47.000Z,MOSCHINO + SEPHORA COLLECTION: Review & Swatches,jeffreestar,jeffreestar,6844839
IqatuS8-DL4,1834385,6533,71284,2132,2017-08-19T19:13:17.000Z,JEFFREE STAR X JOUER COSMETICS - LIP TOPPER COLLAB REVEAL!!,jeffreestar,jeffreestar,6844839
cQ8cm21c8CE,3486887,11036,124540,4000,2017-07-17T18:05:01.000Z,$9.99 MAYBELLINE HIGHLIGHTER VS. $42 LUXURY HIGHLIGHTER,jeffreestar,jeffreestar,6844839
EK9pVDna36A,1929528,9764,85951,987,2017-07-22T20:32:41.000Z,BEST NEW DRUGSTORE MASCARA??? Is It Jeffree Star Approved?,jeffreestar,jeffreestar,6844839
rHfNdmXAfLc,1444116,4783,50498,1726,2018-03-31T17:05:34.000Z,MY NEW PINK ROLLS ROYCE WRAITH... CAR TOUR! | Jeffree Star,jeffreestar,jeffreestar,6844839
PnslkZrlaE4,2269648,318403,155004,1167,2018-02-02T19:06:32.000Z,FULL FACE FIRST IMPRESSIONS | TRYING $1 000 OF NEW MAKEUP!,jeffreestar,jeffreestar,6844839
_MwnBJxOz1w,2686272,16369,165241,2642,2018-04-25T17:49:37.000Z,THE ULTIMATE TACO BELL MUKBANG feat. TRISHA PAYTAS,jeffreestar,jeffreestar,6844839
Z2HtLK7DQ3g,3339759,11286,124681,4589,2017-08-25T18:39:58.000Z,KIM K DRAMA?! KKW POWDER CONTOUR & HIGHLIGHT KIT REVIEW | Jeffree Star,jeffreestar,jeffreestar,6844839
4cmp4cHUZQ0,2963156,211139,130890,1537,2017-09-06T16:18:21.000Z,FULL FACE USING ONLY NYX PRODUCTS! | Jeffree Star,jeffreestar,jeffreestar,6844839
r0KXRM5GuMY,4713340,16149,168967,10053,2017-06-17T18:00:59.000Z,GET READY IN MY PRIVATE JET feat. Tati Westbrook,jeffreestar,jeffreestar,6844839
A1EWQVwsi3I,1898218,11150,80567,1513,2018-01-17T18:13:19.000Z,FULL FACE USING ONLY FOREIGN MAKEUP | Jeffree Star,jeffreestar,jeffreestar,6844839
13dMWlxskJI,2303950,18776,118765,1543,2017-05-13T18:02:57.000Z,READING MEAN HATE COMMENTS (PART 2) feat. MANNY MUA,jeffreestar,jeffreestar,6844839
G8yAukb2QT0,1298843,5054,56455,1739,2017-06-23T17:03:59.000Z,HOT SUMMER MERMAID Makeup Tutorial | Jeffree Star Cosmetics,jeffreestar,jeffreestar,6844839
9qdtR_gj-VY,3772091,344163,185710,3337,2017-05-09T01:49:53.000Z,$2 500 ULTA DRUGSTORE HAUL! | Jeffree Star,jeffreestar,jeffreestar,6844839
p7CRt2CFuok,4365707,12921,155061,5438,2017-09-10T17:36:14.000Z,TESTING 'SEX PROOF' MASCARA... WITH NATHAN,jeffreestar,jeffreestar,6844839
7-exhlsE1A4,3232852,10489,120182,2082,2017-05-28T18:02:00.000Z,HARRY POTTER EYESHADOW PALETTE | Is It Jeffree Star Approved??,jeffreestar,jeffreestar,6844839
4wlXey89nfA,2379863,6925,97978,1354,2017-08-31T17:54:38.000Z,TRYING OUT BROW WIGS!!!! Are They Jeffree Star Approved?!,jeffreestar,jeffreestar,6844839
9t8jiXpYcE0,2073685,10751,101177,1206,2017-07-13T18:03:24.000Z,BEST MATTE LIPSTICK ON EARTH?? Pat McGrath MatteTrance Review + Swatches,jeffreestar,jeffreestar,6844839
oDIaLYLOG10,3463145,12531,109432,5027,2017-04-25T03:36:36.000Z,KIM K + KYLIE COSMETICS: Liquid Lipsticks | Review  Swatches & Kiss Test,jeffreestar,jeffreestar,6844839
q6QKHLVBKsA,1351324,5303,62469,641,2018-02-06T19:55:15.000Z,FROM MUG SHOT TO SUPERMODEL MAKEUP TUTORIAL | Blood Sugar Palette,jeffreestar,jeffreestar,6844839
