videoId,views,comments,likes,dislikes,dateUploaded,videoTitle,channelId,channelName,subscribers
6wPSNvyvEw4,4013837,5813,130995,883,2017-04-27T15:11:26.000Z,Reviewing Bad Apps 4,JennaMarbles,JennaMarbles,18070506
In7FBG6rPw0,4325392,15412,197087,1125,2017-03-02T10:15:37.000Z,My Boyfriend Teaches Me Jiu Jitsu 2,JennaMarbles,JennaMarbles,18070506
6Un57W0eN1o,8206762,24428,320540,5436,2016-07-07T09:28:04.000Z,Full Face Using Only Highlighters Challenge,JennaMarbles,JennaMarbles,18070506
ri5p6WM6Jf8,3963506,5480,117942,948,2016-12-01T10:34:02.000Z,Reviewing Bad Apps 3,JennaMarbles,JennaMarbles,18070506
6v3BWoddSgk,4239700,19888,222044,1444,2017-10-05T01:43:16.000Z,I Buy My Boyfriends Outfits,JennaMarbles,JennaMarbles,18070506
jOvK8haeqBw,3409745,13586,173853,1113,2018-01-25T13:29:36.000Z,Giving Myself A 90's Hair Wrap,JennaMarbles,JennaMarbles,18070506
Bf2Pd__zq8c,3299966,9369,174605,856,2016-09-01T08:53:16.000Z,I Suck At Pranks 2,JennaMarbles,JennaMarbles,18070506
45eM2cd8Grk,4037316,13974,208617,1092,2017-01-19T07:32:50.000Z,Doing My Mom's Makeup,JennaMarbles,JennaMarbles,18070506
oWbr7_7gKs0,2547028,12635,172717,735,2018-03-15T07:51:42.000Z,Giving My Hamster A Home Makeover,JennaMarbles,JennaMarbles,18070506
HUQ2DH-wtYw,3630710,10889,174493,1802,2017-11-02T09:03:21.000Z,Giving Myself A Set Of Gel Nails,JennaMarbles,JennaMarbles,18070506
p42rWr6D4Xc,8203626,16142,261146,1922,2017-05-18T12:14:44.000Z,Giving My Boyfriend Acrylic Nails,JennaMarbles,JennaMarbles,18070506
9DYcovm9i0M,5141202,17924,215061,1644,2017-10-26T07:48:02.000Z,My Boyfriend Cooks My Favorite Meal,JennaMarbles,JennaMarbles,18070506
6J8JDNlkrco,3657376,4471,106004,685,2016-06-23T10:37:49.000Z,Reviewing Bad Apps 2,JennaMarbles,JennaMarbles,18070506
AZngynzkNQ0,11578595,33820,387980,8994,2016-10-13T07:37:53.000Z,Shaving My Eyebrows,JennaMarbles,JennaMarbles,18070506
IezfWhKTYPY,3285167,10002,180358,818,2018-02-22T15:06:04.000Z,Giving My Boyfriend A Brazilian Blowout,JennaMarbles,JennaMarbles,18070506
I5O_oXjz4Kc,5738542,18989,288043,2922,2017-05-04T11:21:45.000Z,Making Tiny Things For Our Hamster,JennaMarbles,JennaMarbles,18070506
XRrBcxsIVeo,5143591,8469,240126,3348,2017-02-09T11:11:24.000Z,Opposite Contour Tutorial,JennaMarbles,JennaMarbles,18070506
kGWLrONk7Rw,1649319,11467,85880,2714,2016-12-15T12:17:27.000Z,Body Massage,JennaMarbles,JennaMarbles,18070506
62lpPNvscis,2395663,11205,157552,962,2018-02-08T09:47:53.000Z,Making Our Favorite Soup,JennaMarbles,JennaMarbles,18070506
RycMNSM8Mns,7971540,25006,337949,2576,2017-03-23T10:33:04.000Z,A Full Face Of Rhinestones,JennaMarbles,JennaMarbles,18070506
cYxzLGk2NcY,2555433,24321,172484,7091,2018-04-05T11:26:07.000Z,My Dogs Eating Popcorn ASMR,JennaMarbles,JennaMarbles,18070506
IZOyzi4W-wg,4490799,32450,265897,1219,2017-11-30T05:13:03.000Z,Cutting and Coloring My Own Hair 2,JennaMarbles,JennaMarbles,18070506
JhUsye2ewNg,3847125,14984,202085,2517,2018-03-08T15:08:42.000Z,Putting 200 Fake Nails On One Nail,JennaMarbles,JennaMarbles,18070506
XtlLI_pBC3s,4266207,26140,220265,4702,2018-01-18T05:52:30.000Z,My Dogs Meet A Cat,JennaMarbles,JennaMarbles,18070506
nFwMTG6T_PI,3049627,26483,148421,1675,2017-11-17T18:20:33.000Z,What Happened To My Fishies Video,JennaMarbles,JennaMarbles,18070506
k4VzWKMc38k,4224657,21225,231346,1726,2018-02-01T10:59:29.000Z,Making Terrible Hot Glue Crafts,JennaMarbles,JennaMarbles,18070506
YllrAmXfrME,3702808,22080,228156,2094,2017-03-30T11:54:50.000Z,Braiding Things Into My Hair,JennaMarbles,JennaMarbles,18070506
v5lR_6719Ho,4719520,15798,229777,1544,2017-06-22T08:21:02.000Z,Punk Edits In Real Life,JennaMarbles,JennaMarbles,18070506
0CSKB7CzrZU,3370561,7773,163754,849,2017-07-20T10:22:56.000Z,Recreating Face Paintings,JennaMarbles,JennaMarbles,18070506
W0kjpdcT-Yo,8393294,13324,262176,3362,2016-11-24T11:12:31.000Z,My Boyfriend Does My Voiceover,JennaMarbles,JennaMarbles,18070506
hmGnedYflqY,4691844,17795,209028,2232,2017-10-12T07:08:25.000Z,Bleaching My Eyebrows,JennaMarbles,JennaMarbles,18070506
44OxwxcclI8,5292910,14342,220447,2216,2017-06-01T07:23:19.000Z,Who's Smarter: Chihuahua Vs. Hamster,JennaMarbles,JennaMarbles,18070506
Elw7nfwxOcQ,3031090,16486,170119,1117,2018-03-29T08:35:35.000Z,Cutting And Coloring My Boyfriend's Hair,JennaMarbles,JennaMarbles,18070506
nPpBz9x6a6I,5815509,17229,251243,2123,2017-06-29T14:37:42.000Z,Reading Mean Comments About My Dogs 2,JennaMarbles,JennaMarbles,18070506
fMn3p7hhMew,4050605,7091,170563,1007,2017-11-08T19:01:05.000Z,Reacting To Compilation Videos of Me 2,JennaMarbles,JennaMarbles,18070506
m0ttpozYW14,10845408,22493,395523,8194,2017-02-16T16:30:01.000Z,Reacting To People Who Have Smash Or Passed Me,JennaMarbles,JennaMarbles,18070506
JnuNKg-r_P4,4851529,27273,200490,2601,2017-03-09T15:41:12.000Z,Doing My Own Acrylic Toenails,JennaMarbles,JennaMarbles,18070506
nexADgoWo54,3069844,14063,157415,698,2017-07-06T05:44:48.000Z,Teaching My Boyfriend How To Pitch A Softball,JennaMarbles,JennaMarbles,18070506
tBN9kLaS-uw,4942799,18897,217011,2206,2017-09-14T08:19:57.000Z,My Boyfriend Buys My Outfits,JennaMarbles,JennaMarbles,18070506
eC5bgxkxEYM,4833099,9174,174888,858,2017-01-26T11:00:21.000Z,Google Deep Dive With Me,JennaMarbles,JennaMarbles,18070506
B_PFgg0QnVI,4107396,20759,168659,2030,2016-05-26T16:45:21.000Z,Reacting To My Old Videos (300th Video),JennaMarbles,JennaMarbles,18070506
li7HdK2vIlw,3467417,14670,178030,1485,2018-01-11T10:05:48.000Z,Shaving My Face,JennaMarbles,JennaMarbles,18070506
CnV5NYy8bAQ,10206919,20497,307532,2341,2016-08-25T08:06:47.000Z,How I Used To Do My Makeup,JennaMarbles,JennaMarbles,18070506
wp2rFoZ3GN8,2137946,13937,153223,470,2017-12-07T05:38:53.000Z,Taking My Dog To Meet Santa,JennaMarbles,JennaMarbles,18070506
2AprNKQYx30,6596353,27645,364038,4236,2017-02-02T00:21:37.000Z,How Many Balloons Will It Take To Make My Dog Fly,JennaMarbles,JennaMarbles,18070506
