videoId,views,comments,likes,dislikes,dateUploaded,videoTitle,channelId,channelName,subscribers
Qv8j-32RDmM,104235,201,3109,30,2018-04-11T20:00:03.000Z,LUCKY FIRST CHEST! - Fortnite with The Crew!,KYRSP33DY,KYRSP33DY,2391000
0LK-dY7cedc,85378,164,3195,48,2018-04-16T22:35:29.000Z,ROCKET SHOWDOWN! - Fortnite Battle Royale with The Crew!,KYRSP33DY,KYRSP33DY,2391000
zklZ2MaKlZ4,126741,230,4349,52,2018-03-29T21:16:02.000Z,NEW SQUADS RECORD for The Crew! - Fortnite Battle Royale!,KYRSP33DY,KYRSP33DY,2391000
iiR4raFg4lg,73871,139,3197,42,2018-04-07T01:00:02.000Z,Stick Figure Showdown with The Crew!,KYRSP33DY,KYRSP33DY,2391000
1_I-mPu_PMs,92560,166,3186,42,2018-04-07T19:00:01.000Z,THE SUSPECT IS ON THE RUN! - Fortnite with The Crew!,KYRSP33DY,KYRSP33DY,2391000
EHdxqJbUyHU,70495,227,3482,48,2018-04-23T20:00:02.000Z,TRICKY TOWERS is the New Tilted Towers!  (dumb title is dumb sry),KYRSP33DY,KYRSP33DY,2391000
0rL2RahR9ss,61814,191,2813,55,2018-04-17T22:00:01.000Z,SHADOW GOES LOCO ON 'EM! - Mindnight,KYRSP33DY,KYRSP33DY,2391000
apK310lWlig,79850,128,3203,29,2018-04-28T20:00:00.000Z,TRICKY TOWERS with The Crew!,KYRSP33DY,KYRSP33DY,2391000
qkW4dp1Z8mY,106885,348,3962,48,2018-03-25T00:00:00.000Z,ESKETIT!!! - Fortnite Battle Royale with The Crew!,KYRSP33DY,KYRSP33DY,2391000
xyjUC_y1hwo,78020,186,2329,20,2018-03-22T20:00:09.000Z,"GIMME MY MONEY!!" - SEA OF THIEVES with The Crew!,KYRSP33DY,KYRSP33DY,2391000
yU-DUo6Mfqo,65924,139,2647,47,2018-04-01T22:00:02.000Z,THE DANGEROUS LONG GAME!,KYRSP33DY,KYRSP33DY,2391000
v1RRIB1W1Jk,132985,146,4096,51,2018-04-21T20:00:01.000Z,PORT A FORT FROM THE SKY!! - Fortnite Battle Royale with The Crew!,KYRSP33DY,KYRSP33DY,2391000
EsVmRZ-filc,202529,1913,12136,99,2018-03-25T22:00:01.000Z,FACECAM!? - Fortnite Battle Royale with The Crew!,KYRSP33DY,KYRSP33DY,2391000
hTERJAp__5Q,85101,112,3085,31,2018-04-30T00:00:02.000Z,The BATTLE of DUSTY DEPOT! - Fortnite with The Crew!,KYRSP33DY,KYRSP33DY,2391000
xz6ugcXmYGM,105465,144,3460,36,2018-03-23T00:00:03.000Z,I MADE A FRIEND! - Fortnite Battle Royale with The Crew!,KYRSP33DY,KYRSP33DY,2391000
q-HmwDwKMaA,85745,150,2954,26,2018-04-18T20:00:03.000Z,SPY PARTY! -  THE PERFECT HEIGHT!,KYRSP33DY,KYRSP33DY,2391000
NuGF1TZPIlA,67282,158,3671,31,2018-04-23T01:30:00.000Z,LET THEM FIGHT! - MINDNIGHT,KYRSP33DY,KYRSP33DY,2391000
RwOrAbLuQw8,154945,360,6717,47,2018-03-25T19:00:01.000Z,WE CRASHED OUR CAR! - "A Way Out" Co-Op Gameplay Part 3,KYRSP33DY,KYRSP33DY,2391000
6z_v9XfHg3g,122989,210,4452,36,2018-03-27T20:00:00.000Z,INTENSE CAR CHASE!! - "A Way Out" Co-Op Gameplay Part 5,KYRSP33DY,KYRSP33DY,2391000
alVx06tAf8M,71340,325,3586,49,2018-04-12T01:14:13.000Z,PULLING OFF THE MOST IMPOSSIBLE HACK?! - Mindnight,KYRSP33DY,KYRSP33DY,2391000
05MrP3H5pH0,72167,127,2954,32,2018-04-16T00:00:02.000Z,I DUN GOOFED! - Mindnight,KYRSP33DY,KYRSP33DY,2391000
SXY5yBcgVPk,233300,873,10580,65,2018-03-23T10:36:37.000Z,Escaping From Prison with SideArms! - "A Way Out" Co-Op Gameplay Part 1,KYRSP33DY,KYRSP33DY,2391000
XO2p4JMGW5Q,114858,241,4026,53,2018-04-15T20:00:00.000Z,LEAVE THE ALMONDS ALONE! - Fortnite with The Crew!,KYRSP33DY,KYRSP33DY,2391000
IxjZ7DWU3IE,101004,104,3692,44,2018-04-21T00:00:01.000Z,STOP THE SUCC! - GTA 5,KYRSP33DY,KYRSP33DY,2391000
paR83gLoSyw,92125,599,3353,43,2018-03-27T22:34:29.000Z,RIDING DINOSAURS with Joel and Sidey! - "How to PixARK" (Episode 1),KYRSP33DY,KYRSP33DY,2391000
