videoId,views,comments,likes,dislikes,dateUploaded,videoTitle,channelId,channelName,subscribers
8ls-ME8TJ2M,509826,918,41802,211,2017-02-10T02:13:23.000Z,BIGGEST BONG RIP EVER!!,KianAndJc,KianAndJc,3026460
ZMkpEOqEhic,833465,1260,55355,216,2017-02-28T23:39:44.000Z,I LANDED ON MY HEAD!! (DON'T TRY THIS),KianAndJc,KianAndJc,3026460
BSrwJp-9Wpw,666864,3280,76248,235,2017-05-22T20:00:04.000Z,IT'S HAPPENING  WE'RE BACK,KianAndJc,KianAndJc,3026460
0QxmWyzcoiQ,765925,2802,76510,148,2018-04-10T02:04:08.000Z,KNJ TRIVIA CHALLENGE (WHO'S THE BETTER FRIEND?),KianAndJc,KianAndJc,3026460
c9O69ZIZg1E,2063177,3748,155826,423,2017-03-10T22:25:38.000Z,O2L REACTS TO CRINGEY O2L VIDEOS!!,KianAndJc,KianAndJc,3026460
0D_-AleoPI0,1029781,3447,114988,301,2017-07-28T19:00:01.000Z,BOYFRIEND DOES MY MAKE UP (BLINDFOLDED),KianAndJc,KianAndJc,3026460
PoNpwESDchE,1409266,3515,112410,467,2017-06-28T19:02:17.000Z,CUTTING JC'S HAIR OFF!! (GONE WRONG),KianAndJc,KianAndJc,3026460
DgcJktGjCp8,994614,3318,95307,260,2017-08-25T19:18:13.000Z,IMPOSSIBLE MOUTH CHALLENGE!!,KianAndJc,KianAndJc,3026460
hQ0GcO_UUow,2067412,15662,201324,442,2017-08-21T23:45:14.000Z,PRANK CALLING PEOPLE BUT WE CAN'T HEAR THEM,KianAndJc,KianAndJc,3026460
wqKBm9L1HbU,1639874,9214,134145,359,2017-07-17T19:18:54.000Z,THINGS GIRLS DON'T UNDERSTAND ABOUT BOYS,KianAndJc,KianAndJc,3026460
AVbgETp9-_4,395469,807,42742,142,2017-02-21T21:00:00.000Z,2 CARS SWALLOWED BY SINK HOLE!!,KianAndJc,KianAndJc,3026460
u_cywz1QN-0,1830661,6436,149001,463,2017-08-11T20:48:57.000Z,TRY NOT TO LAUGH CHALLENGE !! (IMPOSSIBLE),KianAndJc,KianAndJc,3026460
eAREwhB3BGA,1061464,2327,86640,785,2017-11-20T20:00:07.000Z,ROOMMATE PAIN CHALLENGE!! (FREAKOUT),KianAndJc,KianAndJc,3026460
kTyadhtg1Hk,1936066,17570,320034,740,2017-06-07T20:37:18.000Z,FLOOR IS LAVA (TAKEN TOO FAR) CHALLENGE GONE WRONG!!,KianAndJc,KianAndJc,3026460
TTf3eFW6QjY,1472802,4834,122409,574,2018-02-03T02:30:29.000Z,FINALLY SINGING TOGETHER ON CAMERA,KianAndJc,KianAndJc,3026460
C0ClLyT40ok,997922,3999,86473,573,2018-04-07T00:33:20.000Z,The Explanation...,KianAndJc,KianAndJc,3026460
5Qckms8IO2E,1761389,2731,141295,364,2017-06-12T19:02:58.000Z,SURPRISING OUR ROOMMATE WITH A BABY!! Ft. ACE Family,KianAndJc,KianAndJc,3026460
9mO7Lhn8mYM,1244179,2891,123410,529,2017-07-07T19:00:02.000Z,KING OF THE POOL CHALLENGE (WINNER GETS $4 000!!!),KianAndJc,KianAndJc,3026460
bMrgPnJxM00,1618316,2130,77190,641,2017-02-21T05:36:47.000Z,LIP INJECTION GEL PRANK,KianAndJc,KianAndJc,3026460
7tX3pIWhHyg,1172497,4661,97503,478,2017-03-21T00:46:35.000Z,WHY I HAD TO SHAVE MY HEAD...,KianAndJc,KianAndJc,3026460
LJjDuPHIrfU,1311244,4284,110344,340,2017-08-07T19:00:04.000Z,4 GUYS  1 QUESTION (VOMIT ALERT),KianAndJc,KianAndJc,3026460
EUuNVVFHXyE,774947,1168,57405,148,2017-04-01T18:48:43.000Z,THIS COULD HAVE ENDED BADLY!!,KianAndJc,KianAndJc,3026460
