videoId,views,comments,likes,dislikes,dateUploaded,videoTitle,channelId,channelName,subscribers
64tqH2Z36n4,2329961,10035,75189,1244,2017-08-23T23:46:12.000Z,PREPARING FOR PARENTHOOD,LaurDIY,LaurDIY,7572051
iogLk7nDO8I,1098460,4303,46595,413,2017-12-06T23:00:02.000Z,I TOOK A DNA TEST....,LaurDIY,LaurDIY,7572051
Udc6k1dXX5w,1884085,7687,68370,691,2018-03-04T17:00:02.000Z,TRANSFORMING MY MOM INTO ME,LaurDIY,LaurDIY,7572051
_lEs3Urcz5g,497710,1446,25568,244,2017-12-13T23:00:03.000Z,PSYCHIC KNOWS MY LIFE (Tarot Card Reading Footage),LaurDIY,LaurDIY,7572051
vaQJYVKaH2g,6688275,45108,146767,1617,2017-09-24T16:00:06.000Z,THE DIY CHALLENGE 8: LAURDIY vs. SUPERWOMAN,LaurDIY,LaurDIY,7572051
WaIG6QDVQb0,2524025,57508,162148,1066,2017-07-30T16:00:03.000Z,BACK TO SCHOOL SUPPLIES HAUL 2017,LaurDIY,LaurDIY,7572051
QN5Z8Ut9MUs,2079788,8245,93075,1477,2017-10-01T16:00:01.000Z,DIY HALLOWEEN COSTUMES 2017,LaurDIY,LaurDIY,7572051
M4qxNAQadgY,2616859,17131,102974,991,2017-07-05T22:21:16.000Z,PUPPY'S FIRST BATH TIME!,LaurDIY,LaurDIY,7572051
3AnzBd5LH7s,1165243,4394,53333,567,2017-10-13T19:00:01.000Z,HUGE HALLOWEEN TARGET HAUL (W/ Sasha Spilberg),LaurDIY,LaurDIY,7572051
3CysFqSFHJo,1530797,5054,66767,910,2017-09-03T16:00:00.000Z,DIY FOOD PLUSHIES (KAWAII + NO SEW),LaurDIY,LaurDIY,7572051
fCX0hGTCZ5Q,1320222,5174,64812,950,2018-01-21T17:00:05.000Z,DIY Life Hacks for Girls 2018!,LaurDIY,LaurDIY,7572051
0AeYLZ0k5CU,2926510,5978,118993,1022,2017-09-04T22:43:31.000Z,LIE DETECTOR TEST on BOYFRIEND!! (HE LIED.... BIG TIME),LaurDIY,LaurDIY,7572051
iqVbiCuaALM,1346822,6281,61812,605,2017-12-27T23:00:05.000Z,Answering Questions I've Avoided...,LaurDIY,LaurDIY,7572051
MrJOIsM8s68,327283,2678,23849,125,2017-12-12T23:00:01.000Z,MOST INSANE MEET UP EVER (3000 people),LaurDIY,LaurDIY,7572051
cJri78Jkumk,1566427,6208,94555,867,2017-07-09T16:00:09.000Z,DIY SUMMER ROOM DECOR 2017,LaurDIY,LaurDIY,7572051
mBOQ4ENYI_A,959482,4537,58165,436,2018-04-22T16:00:03.000Z,EASY DIY PHONE CASE IDEAS 2018,LaurDIY,LaurDIY,7572051
-IgAsE0K404,1718417,5258,84179,873,2017-08-13T16:00:00.000Z,BOYFRIEND TAG 2017: WAXING EDITION!!!,LaurDIY,LaurDIY,7572051
ligRDSHq0qM,1498524,4858,59994,578,2017-11-19T17:00:02.000Z,DIY PHONE CASES + What's On My iPhone 2017!,LaurDIY,LaurDIY,7572051
jqOkYbSDDiQ,1405873,3654,69922,1008,2017-12-03T17:00:03.000Z,DIY Gifts People ACTUALLY Want For Christmas! 2017,LaurDIY,LaurDIY,7572051
