videoId,views,comments,likes,dislikes,dateUploaded,videoTitle,channelId,channelName,subscribers
EDD9HEVMYL4,3686857,20130,183410,6530,2018-03-22T22:07:10.000Z,I WAS ALMOST CRUSHED BY A GIANT FALLING LADDER!,UCG8rbF3g2AMX70yOd8vqIZg,Logan Paul Vlogs,17253179
H1g8d9uxB7Q,5734093,18312,252363,4942,2017-12-11T23:25:18.000Z,FISHING FOR MY DOG WITH DRONE BAIT!!!,UCG8rbF3g2AMX70yOd8vqIZg,Logan Paul Vlogs,17253179
wnok4O8q2fc,6572117,79022,354073,21429,2018-03-16T20:00:09.000Z,We lost a Logangster...,UCG8rbF3g2AMX70yOd8vqIZg,Logan Paul Vlogs,17253179
TXtWHr7aWwU,2959116,20785,150812,7234,2018-04-17T20:52:20.000Z,THE TRUTH ABOUT VLOGGING...,UCG8rbF3g2AMX70yOd8vqIZg,Logan Paul Vlogs,17253179
TjSkzlxoNEA,5302871,21345,250993,4385,2017-12-13T22:38:09.000Z,24-HOUR OVERNIGHT CHALLENGE IN THE CHRISTMAS COOL BUS!,UCG8rbF3g2AMX70yOd8vqIZg,Logan Paul Vlogs,17253179
UbFWBst6J9Q,5444264,27236,246982,23349,2018-02-13T23:28:16.000Z,MY NEXT MUSIC VIDEO!,UCG8rbF3g2AMX70yOd8vqIZg,Logan Paul Vlogs,17253179
I8uNMGb030k,5267282,26246,244214,4640,2017-12-04T20:54:46.000Z,TEACHING MY PREGNANT ASSISTANT HOW TO GIVE BIRTH!,UCG8rbF3g2AMX70yOd8vqIZg,Logan Paul Vlogs,17253179
jMHv3gM0Tdk,5363054,30851,255468,4326,2017-11-25T19:46:35.000Z,MY NEXT DISS TRACK! **enemy**,UCG8rbF3g2AMX70yOd8vqIZg,Logan Paul Vlogs,17253179
wqZ893MgqUs,4098481,19440,210000,4940,2017-12-14T23:36:50.000Z,OUR GIANT MAVERICK CHRISTMAS TREE! **100 000 FEET**,UCG8rbF3g2AMX70yOd8vqIZg,Logan Paul Vlogs,17253179
eeNgxYIPQHw,3495874,22055,183380,9089,2018-03-20T21:36:26.000Z,FALLING IN LOVE WITH MY ROOMMATE...,UCG8rbF3g2AMX70yOd8vqIZg,Logan Paul Vlogs,17253179
HshW05cJDIU,3242907,15597,156478,7644,2018-04-06T22:40:39.000Z,THIS IS THE WORST VLOG EVER.,UCG8rbF3g2AMX70yOd8vqIZg,Logan Paul Vlogs,17253179
6fh48QPyL1A,5825428,27382,293118,4195,2017-11-29T21:38:29.000Z,WE BROUGHT $11 000 SNOW TO CALIFORNIA! **60 000 pounds**,UCG8rbF3g2AMX70yOd8vqIZg,Logan Paul Vlogs,17253179
NprjXgs5IK8,4178640,27979,151140,13416,2018-04-19T21:33:08.000Z,MEET MY NEW ATTACK DOG!,UCG8rbF3g2AMX70yOd8vqIZg,Logan Paul Vlogs,17253179
