videoId,views,comments,likes,dislikes,dateUploaded,videoTitle,channelId,channelName,subscribers
bLNEjiMEcxw,1215185,4291,44779,998,2017-12-30T17:59:23.000Z,VIRAL JELLY EYEBROW EXTENSIONS TESTED! WTF!,MannyMua733,Manny Mua,4747822
t25ETTRULy0,1205833,4961,64672,1056,2018-02-22T21:00:04.000Z,FULL FACE USING ONLY BEAUTY GURU'S BRANDS AND COLLABS!,MannyMua733,Manny Mua,4747822
-ZhCODFyZGw,2469294,71189,123623,4016,2017-05-28T20:59:27.000Z,ORIGINAL VS RIPPED OFF MAKEUP DUPES WTF! Manny MUA,MannyMua733,Manny Mua,4747822
1Ak4_YhBmdE,1700781,4611,80338,1110,2017-07-26T17:59:57.000Z,TRUTH OR DARE GET READY WITH US feat. Tati Westbrook!,MannyMua733,Manny Mua,4747822
7mfodefLBO8,1926542,3915,65046,1244,2017-11-02T22:14:52.000Z,TESTING OVER HYPED MAKEUP! Jelly Beam Highlight  Huda Beauty Foundation  ETC!,MannyMua733,Manny Mua,4747822
i3frYmZV2_4,1063464,5457,61300,924,2018-04-19T19:00:11.000Z,NEW MOANA PALETTE TESTED! She Crossed the Horizon for THIS?!,MannyMua733,Manny Mua,4747822
kcTABq7fFDo,884574,45888,56844,610,2017-12-27T22:02:15.000Z,FULL FACE FIRST IMPRESSIONS! DRUGSTORE AND HIGH END GRWM!,MannyMua733,Manny Mua,4747822
NhCod-SUuAc,2125608,62681,133741,2037,2017-09-17T18:15:07.000Z,FENTY BEAUTY BY RIHANNA | BRUTALLY HONEST REVIEW + GIVEAWAY!,MannyMua733,Manny Mua,4747822
PgLMQU4FsjI,1015181,4649,64550,656,2018-03-21T20:00:22.000Z,REACTING TO MY CRINGEY AF GIGGLE VIDEOS! THEY'RE SO BAD!,MannyMua733,Manny Mua,4747822
9AK14HZj2S0,2685742,20069,165891,1049,2018-03-31T20:00:07.000Z,My Straight SINGLE Little Brother Does My Makeup!,MannyMua733,Manny Mua,4747822
pTT_r3IER4Q,752935,6497,42579,376,2017-09-06T20:39:58.000Z,Get Ready With Me - TMI Edition!,MannyMua733,Manny Mua,4747822
IXP-lRNA8Jw,1136309,3552,60186,701,2017-08-26T20:33:18.000Z,THE MAKEUP MIX-UP CHALLENGE Ft. Joey Graceffa!,MannyMua733,Manny Mua,4747822
chhIat42Tn8,589083,1908,25082,674,2017-11-22T21:01:06.000Z,WORLDS FIRST BROW CUSHION! WTF! REVIEW AND WEAR TEST,MannyMua733,Manny Mua,4747822
GvkICFYuGvo,1151086,5221,55349,724,2017-07-09T21:30:01.000Z,FULL FACE OF MAKEUP USING FREE PR! Episode 2 | Manny MUA,MannyMua733,Manny Mua,4747822
lmLcejtnebA,749196,66744,52436,562,2017-12-10T20:45:24.000Z,KATHLEENLIGHTS x COLOURPOP DREAM COLLAB HONEST AF REVIEW!,MannyMua733,Manny Mua,4747822
upUhRS7tFVk,1197877,6873,64058,948,2018-04-22T19:50:38.000Z,TESTING NEW OVER HYPED MAKEUP! Fenty  MJ Beauty  Patrickstarrr x MAC  ETC!,MannyMua733,Manny Mua,4747822
o8B9djdo8Yw,1940371,4386,71168,1212,2017-09-13T20:02:06.000Z,TESTING VIRAL INSTAGRAM MAKEUP WITH LAURA LEE!,MannyMua733,Manny Mua,4747822
ImePFoVYpF4,1561710,5783,68349,1148,2017-10-29T19:04:05.000Z,FULL FACE USING ONLY HALLOWEEN STORE MAKEUP CHALLENGE!,MannyMua733,Manny Mua,4747822
2WzAZQvaYeI,1163294,4475,54051,668,2017-08-20T19:00:24.000Z,Worlds Most OVER-HYPED Lipsticks?!,MannyMua733,Manny Mua,4747822
QAOOaaN0L3Y,2091572,6645,103118,1165,2018-03-07T20:56:24.000Z,I TRIED RECREATING A FANS MAKEUP!,MannyMua733,Manny Mua,4747822
