videoId,views,comments,likes,dislikes,dateUploaded,videoTitle,channelId,channelName,subscribers
IwxjornQhP8,272,1,42,1,2017-12-15T18:46:37.000Z,Mercy For Animal's 2017 International Humanitarian Award,mercyforanimals,mercyforanimals,85195
nEI-QSJcAEs,9175,3,99,10,2017-11-15T02:35:16.000Z,Act Now! Tell USDA To Protect Birds Under the Humane Slaughter Act,mercyforanimals,mercyforanimals,85195
3V9l6r2vUWk,253,0,28,0,2018-01-04T01:15:03.000Z,How to Make Vegan Gingerbread People,mercyforanimals,mercyforanimals,85195
JS3Qen0DSvc,13429,4,141,14,2017-11-24T21:04:43.000Z,Video Exposes Piglets Mutilated and Mother Pigs Crammed in Tiny Cages in Brazil,mercyforanimals,mercyforanimals,85195
KXRAhgtWElU,680,1,54,14,2018-04-25T21:39:09.000Z,La Torture Des Poules,mercyforanimals,mercyforanimals,85195
9cbNv7a2XzU,460,1,72,0,2018-03-16T17:00:00.000Z,We're Obsessed With Orchard Grocer!,mercyforanimals,mercyforanimals,85195
AIAUSQ6ZNx0,540,9,102,0,2017-12-18T15:01:45.000Z,In 2018  15 NYC Schools Will Participate in Meatless Monday,mercyforanimals,mercyforanimals,85195
_Lw0Fqev1F0,561,5,85,0,2018-04-11T13:30:03.000Z,Vegan Cheese,mercyforanimals,mercyforanimals,85195
Ttsnf-84GLw,893,22,90,4,2018-04-28T15:00:04.000Z,Did you know the egg industry puts baby chicks in blenders?,mercyforanimals,mercyforanimals,85195
4OKtK9-zCDI,515,0,69,1,2018-04-14T14:45:00.000Z,These Girl Scout cookies are vegan!,mercyforanimals,mercyforanimals,85195
L5XgrO1OFIU,525,2,48,2,2017-12-15T19:09:14.000Z,I am...,mercyforanimals,mercyforanimals,85195
J7BFEHcNQYs,1146,0,174,4,2018-01-09T19:30:37.000Z,We're Done With The Excuses.,mercyforanimals,mercyforanimals,85195
mwWfee7THlM,2058,8,238,1,2018-02-05T17:00:09.000Z,Natasha Brenner  Animal Rights Activist at 96,mercyforanimals,mercyforanimals,85195
hVYaubHX1C0,436,12,75,1,2018-03-01T16:44:14.000Z,Cosmic Treats,mercyforanimals,mercyforanimals,85195
Ds0PTLGaA0g,1212,4,105,0,2017-11-15T20:25:36.000Z,Vegan Veggie Roast,mercyforanimals,mercyforanimals,85195
cJx9N4uBthU,419,10,78,0,2018-03-31T19:00:02.000Z,Cocobella,mercyforanimals,mercyforanimals,85195
t9-fIm-yhRw,1146,18,141,5,2018-04-15T10:30:01.000Z,We're taking on McDonalds.,mercyforanimals,mercyforanimals,85195
qFBYbjpL4kE,2328,13,258,3,2018-01-12T17:59:28.000Z,Let's Create A World Without Factory Farming,mercyforanimals,mercyforanimals,85195
rbBMRYVSxWc,5125,42,488,2,2018-02-28T15:00:04.000Z,Meet Dr Milton Mills,mercyforanimals,mercyforanimals,85195
Emecc7tA-Tw,245,0,25,0,2018-01-04T01:14:55.000Z,Green Chile & Cheese Vegan Tamales,mercyforanimals,mercyforanimals,85195
IuCfNYbrX6I,646,6,54,0,2018-03-30T14:30:00.000Z,We have no right.,mercyforanimals,mercyforanimals,85195
JORGKJxbCY0,489,4,80,1,2018-01-20T01:24:46.000Z,Meet Matt Rice,mercyforanimals,mercyforanimals,85195
