videoId,views,comments,likes,dislikes,dateUploaded,videoTitle,channelId,channelName,subscribers
mKKdl3VVx8U,3921,124,172,23,2018-02-15T21:41:32.000Z,Do You Believe You Were Misled by Canada Goose's 'Ethical Sourcing' Claims?,officialpeta,PETA (People for the Ethical Treatment of Animals),411600
wFfxc1n8oHw,2750,52,129,17,2018-02-23T13:56:25.000Z,See Why Israeli Actor Ayelet Zurer Has 'Blood' on Her Hands,officialpeta,PETA (People for the Ethical Treatment of Animals),411600
91kqacUaNUE,9710,235,422,58,2017-12-21T16:29:49.000Z,PETA's Year in Review 2017,officialpeta,PETA (People for the Ethical Treatment of Animals),411600
iQxWOTCjg74,6643,236,231,55,2018-03-06T22:03:10.000Z,Fur Trapping Is Cruel!,officialpeta,PETA (People for the Ethical Treatment of Animals),411600
ClRv7MX4V3g,2532,25,117,12,2018-02-16T18:05:49.000Z,Stella McCartney and Stray Dog Capital for the 2018 Biodesign Challenge,officialpeta,PETA (People for the Ethical Treatment of Animals),411600
Wbqd8BAQ1Vs,70635,446,718,135,2017-11-21T19:25:25.000Z,Birds Drowned  Live Crayfish Injected With Latex for Dissection,officialpeta,PETA (People for the Ethical Treatment of Animals),411600
zHi53UivwEI,9049,333,260,54,2018-04-12T19:58:18.000Z,Drugs  Near Drowning  and Electric Shocks in 'Child Abuse' Experiments,officialpeta,PETA (People for the Ethical Treatment of Animals),411600
SGglFsMdotU,4892,113,186,30,2018-03-14T17:41:28.000Z,PHILADELPHIA'S CINNAMON 'POTATOES',officialpeta,PETA (People for the Ethical Treatment of Animals),411600
MnsfnF3A5rE,50925,77,77,122,2017-11-28T22:23:40.000Z,Parabiosis Surgery,officialpeta,PETA (People for the Ethical Treatment of Animals),411600
ej4N9a96pz4,5749,34,274,15,2017-12-04T21:44:28.000Z,9 Ways PETA Members Won November for Animals,officialpeta,PETA (People for the Ethical Treatment of Animals),411600
QwDC1f9K5Ic,30979,242,489,70,2017-12-06T16:36:05.000Z,Slow Killing Method Found at Petco  PetSmart Supplier,officialpeta,PETA (People for the Ethical Treatment of Animals),411600
Ux8eLu_AWQY,35868,155,217,44,2017-11-21T14:12:41.000Z,Birds Drowned  Turtles Reportedly Frozen Alive for Dissection,officialpeta,PETA (People for the Ethical Treatment of Animals),411600
pPlCnZrKzQk,3703,103,229,36,2018-03-23T18:58:54.000Z,5 Ways to Cook Without Butter,officialpeta,PETA (People for the Ethical Treatment of Animals),411600
Jsh-HRrCHHw,2403,46,87,15,2018-03-21T16:36:17.000Z,T-Pain and Sixx Mann Talk Commitment and Loyalty to Their Dogs,officialpeta,PETA (People for the Ethical Treatment of Animals),411600
rgp_DDYlOHI,14751,304,588,49,2018-03-26T14:54:42.000Z,WTF: Dogs Are Being Experimented on at a University,officialpeta,PETA (People for the Ethical Treatment of Animals),411600
FpXRSZlTb6M,4815,85,226,14,2018-02-12T23:08:54.000Z,Beau Bridges on Ocean Creatures: 'They're Sea Animals  Not Seafood',officialpeta,PETA (People for the Ethical Treatment of Animals),411600
s5vrZK83JBw,7226,70,264,15,2018-01-03T15:08:44.000Z,Bob Barker Has the Perfect New Year's Resolution for the Miami Seaquarium,officialpeta,PETA (People for the Ethical Treatment of Animals),411600
_Dmih262i3A,4473,17,148,4,2017-12-06T16:01:58.000Z,Actor Jordan Fisher Has a Special Connection to His Adopted Dog  Sora,officialpeta,PETA (People for the Ethical Treatment of Animals),411600
z1ISa6e0YbM,22477,53,283,29,2017-11-30T15:08:15.000Z,'Vanderpump Rules' Beauties Unite Against SeaWorld's Orca Captivity,officialpeta,PETA (People for the Ethical Treatment of Animals),411600
xsBxlZwS5Qg,175285,267,174,77,2018-03-15T21:41:47.000Z,Whistleblower Footage Reveals Alleged Abuse of a Dog on the Set of 'Crazy Alien' Movie in China,officialpeta,PETA (People for the Ethical Treatment of Animals),411600
4xpYBqN6FCs,394063,507,1145,656,2018-01-25T18:42:37.000Z,James Cromwell Stars in PETA's 2018 Super Bowl Ad: Redemption,officialpeta,PETA (People for the Ethical Treatment of Animals),411600
UM9AzqP7M2E,2432,66,198,13,2018-04-26T18:00:03.000Z,Cut Funding for Cruel Experiments on Animals,officialpeta,PETA (People for the Ethical Treatment of Animals),411600
hr7RlI5zMLI,4155,101,166,20,2018-03-02T18:51:23.000Z,WATCH: Dog Death Race Is Being Sponsored by Jack Daniel's,officialpeta,PETA (People for the Ethical Treatment of Animals),411600
bKldNChAcwI,2839,48,221,11,2018-02-13T21:05:38.000Z,Date Balls 3 Ways,officialpeta,PETA (People for the Ethical Treatment of Animals),411600
WxAv6PZQEzE,5149,97,189,31,2018-02-27T17:59:33.000Z,This Is Animal Abuse  Not Entertainment,officialpeta,PETA (People for the Ethical Treatment of Animals),411600
cnpISyu09B4,10863,127,520,89,2017-11-14T20:41:30.000Z,Zarnaps for the Ethical Treatment of Humans,officialpeta,PETA (People for the Ethical Treatment of Animals),411600
WJby1ccWr-I,8662,148,266,12,2018-03-13T15:10:20.000Z,Cesspools Crawling With Maggots and Other Fur Farm Horrors,officialpeta,PETA (People for the Ethical Treatment of Animals),411600
Y0-BaSRqJGA,6134,216,331,28,2018-04-27T21:48:09.000Z,WTF: Foxes Bred to Be Obese for Greedy Fur Industry,officialpeta,PETA (People for the Ethical Treatment of Animals),411600
ytpBCWotvZA,2390,26,157,8,2017-12-18T23:56:51.000Z,Edward James Olmos Says Fireworks Displays Are No 'Blast' for Animals,officialpeta,PETA (People for the Ethical Treatment of Animals),411600
K0D8UHiHxDM,4060,114,165,27,2017-12-25T02:00:00.000Z,Yule Log: All Dogs Belong Inside with the Family,officialpeta,PETA (People for the Ethical Treatment of Animals),411600
fYrnUSgKV4M,3298,44,245,12,2018-02-14T13:00:07.000Z,A Dogs Letter to Their Companion,officialpeta,PETA (People for the Ethical Treatment of Animals),411600
HYnNjqoyySQ,5472,33,92,29,2017-12-05T15:30:43.000Z,Inside the Lolli Bros. Alternative Livestock Auction,officialpeta,PETA (People for the Ethical Treatment of Animals),411600
08Bx3psTCmc,1871,25,131,10,2018-01-11T03:59:26.000Z,Juan Pablo Di Pace: Extinguish Circus Cruelty,officialpeta,PETA (People for the Ethical Treatment of Animals),411600
-D-QdgjjQLY,2962,18,155,11,2017-11-28T17:09:40.000Z,Comedian Carol Leifer Shows Us the Way to a Vegan Hanukkah,officialpeta,PETA (People for the Ethical Treatment of Animals),411600
m4GN75nNFOs,4270,60,332,32,2017-12-23T15:00:08.000Z,Authentic Toys: Dairy Farm Series! | Commercial Parody,officialpeta,PETA (People for the Ethical Treatment of Animals),411600
Hjfb-Us1vi8,4288,140,154,25,2018-04-06T17:44:34.000Z,Elephants Beaten With Bullhooks for Elephant Polo Tournament,officialpeta,PETA (People for the Ethical Treatment of Animals),411600
UjY4DRkynTY,1760,34,89,7,2017-12-07T15:19:14.000Z,Howl Can You Resist? Check Out These Compassionate Holiday Gifts!,officialpeta,PETA (People for the Ethical Treatment of Animals),411600
-6xjH30qNyk,5212,45,121,19,2018-02-01T16:23:54.000Z,The Great Bear Show at the Tri-Cities Sportsmen Show,officialpeta,PETA (People for the Ethical Treatment of Animals),411600
nUMGjLB3C5w,2545,32,176,7,2018-02-26T19:08:02.000Z,Listen Now: Why Lily Tomlin Just Called 5 000 People in Texas,officialpeta,PETA (People for the Ethical Treatment of Animals),411600
eKlcA5N4gIg,23199,165,211,34,2017-12-06T23:37:05.000Z,A Whistleblower Reveals the Victims of Botched Shots to the Head at a JBS Beef Slaughterhouse,officialpeta,PETA (People for the Ethical Treatment of Animals),411600
6SxoCLnCbXg,18943,166,719,81,2018-01-12T16:23:10.000Z,You'll Never Get This Avocado Beat Out of Your Head | Charlotte Devaney - Avocado,officialpeta,PETA (People for the Ethical Treatment of Animals),411600
MQGiadQG9Ac,6923,48,247,15,2018-03-06T20:48:31.000Z,The Worst Roadside Zoo in America Is Still in Business,officialpeta,PETA (People for the Ethical Treatment of Animals),411600
EwdRPeGMOKg,3680,90,292,27,2018-01-24T19:01:00.000Z,San Francisco Could Become the First Major City to Ban the Sale of Fur,officialpeta,PETA (People for the Ethical Treatment of Animals),411600
BJTZK1UfnmE,3847,69,302,8,2018-04-26T15:00:03.000Z,Japan Ends Poisoning Test on Dogs!,officialpeta,PETA (People for the Ethical Treatment of Animals),411600
C9dWOm4Qnbw,20416,174,381,70,2017-12-14T23:21:54.000Z,People See the Truth Behind Fur Trim on Canada Goose Jackets,officialpeta,PETA (People for the Ethical Treatment of Animals),411600
