videoId,views,comments,likes,dislikes,dateUploaded,videoTitle,channelId,channelName,subscribers
SwfakRHCe1s,2052590,6458,65635,1174,2018-02-08T20:08:41.000Z,THE NEW TOY!!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
Kdi1kYX6_2g,1638582,4323,73957,1078,2018-01-13T20:01:53.000Z,OUR BIGGEST SNOW STORM!!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
aFlwQKh5Gcc,2871218,9406,115139,1206,2018-01-11T20:31:55.000Z,DIVING UNDER THE ICE!! Worst Challenge Ever!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
FVimzGptf10,1434884,2873,62279,1001,2017-12-07T19:56:26.000Z,ANOTHER GREAT IDEA!!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
blhwm698Ops,1257263,2013,53313,525,2018-01-25T19:56:33.000Z,SHE GOT HIT!!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
oM-mcUcXfAI,1315440,8535,64926,1115,2018-02-09T20:06:37.000Z,$100 000 DOLLAR GIVEAWAY!!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
aoB_r0EyoEw,1309564,3158,53860,606,2018-01-31T20:01:29.000Z,Best Idea Ever!! Highway Boarding,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
EG7vV0O1YcY,1452003,3963,54716,756,2018-02-25T20:06:40.000Z,Training For Ninja Warrior!!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
3pxiG6sFd1M,2224914,4699,79509,904,2017-11-25T19:58:18.000Z,AMAZING HOLE IN THE EARTH!! We Jumped in!!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
hOxUbkoPNOY,1227203,3192,60446,709,2017-12-19T20:23:55.000Z,WE NEED A BREAK!!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
AMJYrqVqn3s,1830856,2736,69552,984,2017-12-05T20:00:02.000Z,$150 000 GTR JUMP!!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
eQu61gX0x00,1382066,6982,55426,892,2018-02-10T19:58:32.000Z,HOMEMADE BULL RIDING!!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
GrzVdRxANZ8,1820874,3198,64768,676,2017-12-02T19:55:47.000Z,RC Truck VS Baby!!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
NwpxyQoVNx8,3597399,6736,96019,1853,2017-12-25T20:09:48.000Z,I LOVE CHRISTMAS!!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
6Tan9ZjrJpE,2535393,7447,82918,936,2018-01-05T19:53:44.000Z,EXTREME SLEDDING ENDS BAD!!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
whTD54OWkr0,975489,5132,44451,874,2018-03-09T19:52:42.000Z,IT'S FINALLY TIME!! Long Overdue,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
Ib_u4Z12zWI,2004600,5968,74868,993,2018-01-08T20:20:35.000Z,I LOVE MY FAMILY!!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
hgS96Gop9wE,3682777,6270,94446,1501,2018-01-18T20:00:51.000Z,AMAZING SPINNING ICE ISLAND!!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
UXQe3KnUBH0,1123237,11147,51902,812,2018-02-22T21:56:36.000Z,SHE TOOK THE MONEY!!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
D_wnv9SrGgc,1341819,5773,80766,631,2017-12-22T21:45:54.000Z,MAKING DREAMS COME TRUE!!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
Rz-DM4mOlaU,1400142,5145,67173,1087,2017-12-21T21:30:40.000Z,PULLING HIS TEETH OUT!!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
GVZqcfopA94,1367399,3273,53461,776,2018-03-01T19:51:39.000Z,Our BIGGEST jump EVER!!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
F74finrKBJE,1499673,6095,77151,555,2017-12-13T19:40:42.000Z,HUGE HAPPY BIRTHDAY SURPRISE!!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
P2EFu4EXMa8,3266851,6409,91108,5038,2018-01-22T20:03:00.000Z,SHE GOT HER DREAM CAR!!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
tUbky9YzPZY,1936897,6555,64754,2850,2018-02-24T20:03:24.000Z,HUGE Pond Jump FAIL!!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
3GO98vergLs,2458798,5863,84928,952,2018-01-06T19:50:49.000Z,OUR NEW ICE TRACK!!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
MjrP-uYbwRs,1408793,7419,69467,749,2017-12-24T19:58:36.000Z,WE'RE ALMOST READY!!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
9q4lwJmXtgU,1202851,3542,57160,1007,2018-03-03T20:05:29.000Z,I messed up...,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
1VyW2oVD3S4,1278415,4442,58115,749,2018-01-30T19:57:40.000Z,HE COVERED US!!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
iqJkXReOF8g,2799549,4964,118666,1080,2018-01-14T20:02:24.000Z,HE FELL THROUGH!!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
knXUP5utlUw,3773370,7441,105828,1700,2017-12-08T20:37:30.000Z,JUMPING INTO ICE WATER!! ouch!!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
z8jwAcx1oUA,3729708,7332,95418,1553,2017-12-27T19:44:50.000Z,WE BUILT A HUGE ICE RAMP!!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
lFNuyWi9eUU,1438235,12991,67156,622,2018-01-17T19:51:07.000Z,SHE MADE ME EAT IT!!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
Y8qXXjHNU8M,2329424,5846,94761,1837,2017-12-31T19:59:30.000Z,CRASHED AND KNOCKED OUT!!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
9yc9X62QPKw,1740636,6283,86110,2012,2017-12-10T19:56:27.000Z,OUR FIRST SNOW!!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
kCTXPiAGqRQ,1275511,2416,58263,607,2017-12-06T22:02:55.000Z,HER NEW REINDEER!!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
9AwZYAw0OrA,2770480,5814,84815,1030,2017-12-30T20:00:00.000Z,THE GREATEST RC SLED EVER!!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
6k6T7OZDeIY,1563511,2947,67320,1435,2017-11-27T19:15:52.000Z,One Cracked Rib & One Broken Finger - Double Surfing!!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
9p1n73530G0,1273497,3778,64462,1233,2017-12-04T19:45:18.000Z,PLEASE DON'T HATE US!!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
NfEY-Eg88Sg,1674817,3904,69658,864,2018-01-15T19:36:36.000Z,SHE COULDN'T DO IT!!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
ck2ClsAoN8w,3755053,41633,178983,28053,2018-03-12T19:09:06.000Z,Ending Daily Vlogs. Not Clickbait,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
HnfL8ochXCg,1623144,2393,70029,623,2017-12-12T19:49:35.000Z,CHRISTMAS CAME EARLY!!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
XAmILuu_TGA,1933819,4361,70624,774,2018-01-09T19:57:33.000Z,INCREDIBLE GTR SNOW SLEDDING!!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
B5V0jxRH1VY,1879388,3489,75935,758,2017-12-17T20:17:07.000Z,THE GIRLS WIN!!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
WZifGYsHvZU,1583706,2539,54375,1200,2018-02-23T20:02:46.000Z,HER NEW TOY!! Goes underwater!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
FsnnN69hmNU,2223659,6365,62422,1045,2018-02-02T20:35:25.000Z,No Place Like Home!!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
RxT0BYTUa-8,1104710,5013,49708,607,2018-03-05T20:55:13.000Z,HE DIDN'T CATCH ME!!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
dN9e6exIOFo,2400849,4910,82242,1064,2018-01-07T20:19:01.000Z,THEY CHEATED SO BAD!! GoKart Ice Racing,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
5kQ4A3kFBpI,2044432,4844,84302,1045,2018-01-29T20:00:02.000Z,WE FELL IN!! ice cold river.,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
y98J3jg0oic,2543953,5612,78752,1771,2018-02-01T19:56:27.000Z,OUR BIG SURPRISE!!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
VskZi0-LZHA,1239057,4456,55426,551,2018-01-24T20:06:28.000Z,THIS REALLY HURT!!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
vS8kvvtfddY,2583164,13775,119675,1474,2018-01-01T20:08:15.000Z,HAPPY NEW YEAR!!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
fqFypAmniq4,3070933,6429,87763,1232,2018-01-04T20:03:03.000Z,THE NEW TOY!! Lets send it!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
tBncYZ5dRB8,1981752,29095,81020,887,2018-01-03T20:09:24.000Z,SHE IS FINALLY DONE!!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
QVFOeAsjmrM,1636858,2749,68089,673,2017-11-24T19:46:17.000Z,OUR THANKSGIVING BREAKDOWN!!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
gu2VKElZL0g,1273244,2867,62592,572,2017-12-14T19:58:05.000Z,SURPRISED HER IN NEW YORK!!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
STbt2pc0jv8,1806605,5383,76029,842,2017-12-09T20:01:49.000Z,OUR CHRISTMAS TAKEOVER!!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
nJTuniM_sUQ,1381284,4173,61174,889,2018-02-06T20:26:16.000Z,WE ARE BACK!! Welcome To The Zoo,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
T7zZvhcEpwM,1334850,2563,64070,491,2017-11-30T20:01:42.000Z,OUR LAST DAY!!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
S7mSPbBvzR8,1807824,4448,70543,995,2018-01-12T20:56:40.000Z,TODAY ENDED CRAZY!!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
f_kxN64y-_8,1167166,4908,58546,806,2018-02-19T19:58:57.000Z,WE MADE IT HOME!!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
Noj55_o0WOM,1824648,5536,64015,810,2018-01-19T19:55:25.000Z,IT CAUGHT ON FIRE!!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
6zBYaSwSc6M,1412620,5322,61510,568,2018-01-16T20:03:33.000Z,TODAY WAS A GOOD DAY!!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
v6rkGL_hLj4,1540725,3555,68895,659,2017-12-20T21:06:34.000Z,THIS IS IT!!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
_SNu-fDW4Wc,NA,NA,NA,NA,NA,Our Grand Finale!! - Roman Atwood's Day Dreams (Ep 7),RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
U3xjmSTdMCI,NA,NA,NA,NA,NA,Biggest Surprise Ever!! - Roman Atwood's Day Dreams (Ep 6),RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
i6Xmcsx_XiM,1485178,22655,77269,898,2017-12-18T20:08:35.000Z,WHO WANTS THESE!!??,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
4Y1YHMt-THY,1882739,5084,65559,1813,2018-01-27T21:27:03.000Z,THE FUTURE OF VIDEO GAMES!! Amazing!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
j9kU8CeWyTY,1809660,3102,70499,1055,2017-12-01T19:51:08.000Z,PULLED OVER IN PRIVATE JET!!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
63KaFl1Xtt0,1301398,4330,56288,747,2018-03-06T20:12:59.000Z,This Poor Girl...,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
SR1K0ZbMxMc,1689280,4567,57926,790,2018-03-02T20:21:37.000Z,She Freaked Out!! Painful Accident,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
fNmwMXiwVR8,1886150,4073,71269,1133,2018-01-20T20:01:43.000Z,REAL LIFE MARIO KART!!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
ekov2Npdko8,1005611,2165,40808,616,2018-03-07T20:13:12.000Z,Double Donuts Challenge!!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
jokgRgv5PhY,1412237,2900,57807,720,2018-01-23T19:37:50.000Z,ALL GOOD NEWS!!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
A8QjU0oDTW0,1678746,6266,80202,1032,2018-02-18T20:03:15.000Z,Stuck In The Hospital,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
G8hE19fIewA,2108025,4933,74680,2000,2018-02-17T19:57:22.000Z,Why We Left...,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
4AcoZJL_EPw,1777479,3227,69001,822,2017-12-23T20:10:22.000Z,SHE IS ALMOST DONE!!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
rqJco3bVAXE,4951989,17007,130505,2433,2017-12-26T20:12:18.000Z,HER FIRST CHRISTMAS!!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
-81JkcWYrQw,2218531,4351,80975,1036,2017-12-29T20:00:06.000Z,WE FROZE TOGETHER!!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
_46-7c7jZqI,1382815,2577,60493,686,2017-12-03T19:55:07.000Z,SUPER EMBARRASSING PICS!!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
t2AsamA9l4M,1307728,2957,62791,531,2017-12-11T19:58:48.000Z,THEY ARE THE BEST!!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
5RJqo_w4ejw,1717667,3359,72203,616,2017-11-28T19:42:46.000Z,THEY WILL NEVER FORGET THIS!!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
Qt9qtpawDkc,7817075,40974,295271,11031,2018-04-04T19:08:06.000Z,Why We Left...,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
4GDP5dWlTb4,2029627,4706,65707,1799,2018-02-21T20:02:10.000Z,OUR NEW TATTOOS!!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
aYwoedRN7sk,1090992,6566,46287,807,2018-03-10T20:03:27.000Z,Preparing For Summer!!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
Gt92YSwqud4,1679788,4129,70930,648,2017-11-26T19:46:34.000Z,Surrounded By Sharks!! NO CAGE!!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
FnXdBnjsEVw,1859137,3601,66280,769,2018-01-10T20:57:44.000Z,HER NEW TOY!!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
4BzH8UGjiHA,2806027,11868,92938,1086,2018-01-02T20:06:36.000Z,HER FIRST BALL PIT!!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
rOBtLp_AbC0,1529718,2730,69644,643,2017-12-16T20:26:08.000Z,SHE LEFT US!!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
PA2b_uh4Tx0,1867104,3808,65079,788,2018-01-21T21:04:14.000Z,THE NEW TOY!! Snow Spin Challenge,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
sXonHaRB4Ok,2338021,5015,88304,1325,2017-12-15T20:29:59.000Z,NEVER HAVE I EVER!!?? Embarassing,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
9H9cstU-uLM,1491844,2574,62259,630,2017-11-29T20:00:15.000Z,NEVER SWIM HERE!!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
smwJUICeTtU,1132991,3894,50549,1120,2018-02-20T19:58:43.000Z,Outdoor Bubble bath - Relationship Tub Talks!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
_S_y1D0MaxQ,1366856,3078,51146,885,2018-02-28T20:19:39.000Z,Worlds Fastest TINY Boat EVER!!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
ybtllrpNmbc,1079314,3459,52228,1156,2018-01-26T19:43:45.000Z,Off Road Face Painting Challenge!!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
GMxqetkmsK8,1311709,3811,50523,1349,2018-03-08T20:04:24.000Z,Sorry About This One...,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
vIDD-22G7Rw,1205826,5584,55877,583,2018-02-07T20:11:16.000Z,OUR VERY SPECIAL NIGHT!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
MmkNtVNVENM,2806537,8125,80029,1589,2018-01-28T19:59:26.000Z,Our New Indoor Rock Climbing Wall!!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
Xhz7nTIFYaY,4569379,11049,115269,2144,2017-12-28T19:59:17.000Z,MY POND BROKE!! Fell Through The Ice!,RomanAtwoodVlogs,RomanAtwoodVlogs,14459672
