videoId,views,comments,likes,dislikes,dateUploaded,videoTitle,channelId,channelName,subscribers
NOIYosH2weE,4604773,9608,123565,1382,2017-05-24T04:54:14.000Z,I Tried 18-Hour Lipstick,UCbAwSkqJ1W_Eg7wr3cp5BUA,Safiya Nygaard,4749013
G3pJOg1MJuo,6381637,9930,165067,1503,2017-04-01T16:14:58.000Z,Mixing My Own Lip Colors with the Anastasia Beverly Hills Lip Palette,UCbAwSkqJ1W_Eg7wr3cp5BUA,Safiya Nygaard,4749013
NLscNaO8aEY,3580081,10277,109563,1154,2017-02-25T04:34:01.000Z,My First Primark Haul,UCbAwSkqJ1W_Eg7wr3cp5BUA,Safiya Nygaard,4749013
OCCKNCvNbkc,8246289,17321,283434,4536,2017-09-21T20:21:39.000Z,Giving Dolls Tiny Makeovers (feat. Shane Dawson),UCbAwSkqJ1W_Eg7wr3cp5BUA,Safiya Nygaard,4749013
d-HPZL6AU64,5503413,18719,219176,3718,2018-02-22T19:22:46.000Z,I Tried Following A Simply Nailogical Nail Art Tutorial,UCbAwSkqJ1W_Eg7wr3cp5BUA,Safiya Nygaard,4749013
l3xmc0pzzJI,2709146,6101,98131,1416,2017-11-15T23:46:57.000Z,I Tried Period Yoga Pants,UCbAwSkqJ1W_Eg7wr3cp5BUA,Safiya Nygaard,4749013
WV0OBRJKeYA,3262969,6190,126998,1541,2017-12-22T02:22:13.000Z,I Swapped Clothes With My Boyfriend For A Week,UCbAwSkqJ1W_Eg7wr3cp5BUA,Safiya Nygaard,4749013
YTMplr6eFjQ,3125693,5762,91575,1260,2017-04-07T02:51:48.000Z,Testing Out The Anti-Highlighter,UCbAwSkqJ1W_Eg7wr3cp5BUA,Safiya Nygaard,4749013
AwKWu5uy55Y,7734800,9963,189104,2510,2017-05-04T03:46:43.000Z,Japanese Dollar Store Makeup Challenge,UCbAwSkqJ1W_Eg7wr3cp5BUA,Safiya Nygaard,4749013
Gz29vsIPbXI,2738364,4231,71527,1232,2017-06-29T01:41:59.000Z,We Tried Instagram Toilet Paper Lips (feat. Candace Lowry),UCbAwSkqJ1W_Eg7wr3cp5BUA,Safiya Nygaard,4749013
Mhlpk5ZrYLM,5525701,15873,178490,1770,2017-11-23T22:23:55.000Z,Mixing All My Liquid Lipsticks Together,UCbAwSkqJ1W_Eg7wr3cp5BUA,Safiya Nygaard,4749013
-Je79iRtTTE,2686342,10952,135320,1165,2017-12-31T18:19:48.000Z,I Dressed Like It Was 1967,UCbAwSkqJ1W_Eg7wr3cp5BUA,Safiya Nygaard,4749013
