videoId,views,comments,likes,dislikes,dateUploaded,videoTitle,channelId,channelName,subscribers
4mhrgXyjOkc,451761,626,13629,171,2018-02-12T02:00:01.000Z,PROP HUNT! - Call of Duty WW2,SeaNanners,SeaNanners Gaming Channel,5670121
bMaj83bBJj0,756680,738,21833,162,2017-06-25T01:00:02.000Z,STAR WARS: THE STUPID AWAKENS - Gmod Prop Hunt Funny Gameplay Moments - Garry's Mod,SeaNanners,SeaNanners Gaming Channel,5670121
6jOSEqSJWWA,359960,845,12303,210,2018-03-25T16:00:01.000Z,MINI GOLF STUPID SQUAD - Golf it!,SeaNanners,SeaNanners Gaming Channel,5670121
HlIx1GiUwC8,307004,232,9685,193,2017-12-09T17:00:03.000Z,YOUTUBE GAMING CLUB - Human Fall Flat,SeaNanners,SeaNanners Gaming Channel,5670121
k5b6kMuVfsk,314971,414,3808,162,2017-06-02T03:17:52.000Z,H1Z1: King of the Kill - LIFE ADVICE WITH NANNERS - YouTube Gaming Live Stream,SeaNanners,SeaNanners Gaming Channel,5670121
9D7lnlxhYh4,362638,640,17164,241,2017-08-14T01:00:04.000Z,MAN VS GRAVITY - Playerunknown's Battlegrounds Solo FPP - PUBG Winner!,SeaNanners,SeaNanners Gaming Channel,5670121
SasCkU9B0zg,426481,422,13306,165,2017-09-02T16:00:08.000Z,BIGFOOT CAUGHT ON TAPE! - Finding Bigfoot,SeaNanners,SeaNanners Gaming Channel,5670121
TKwM3X1uaCI,273077,261,8432,274,2017-12-21T00:00:02.000Z,TOM CRUISE SIMULATOR? - Just In Time Incorporated (Oculus Rift Gameplay),SeaNanners,SeaNanners Gaming Channel,5670121
MHIwf--6k2I,110547,192,2194,86,2017-05-24T03:21:27.000Z,RESIDENT EVIL 7 - Full Gameplay Walkthrough - Part Three,SeaNanners,SeaNanners Gaming Channel,5670121
T5Px1Bfkx-s,463332,698,10653,286,2017-05-01T01:18:24.000Z,LITTLE NIGHTMARES - Full Gameplay Walkthrough,SeaNanners,SeaNanners Gaming Channel,5670121
JAkeepm_s3A,648651,328,16697,151,2017-07-24T01:00:01.000Z,MINI GOLF SUPER SKILLS - Golf It Funny Gameplay Moments With Friends,SeaNanners,SeaNanners Gaming Channel,5670121
