videoId,views,comments,likes,dislikes,dateUploaded,videoTitle,channelId,channelName,subscribers
RbwR_uHhiI0,11549595,175533,730996,6714,2018-04-04T19:00:02.000Z,MIND BLOWING CONSPIRACY THEORIES,shane,shane,13172225
x1Kf_K_0wSg,4772125,27364,268043,1963,2017-10-09T19:00:04.000Z,KYLIE JENNER CONSPIRACY THEORIES & LIL MIQUELA UPDATE,shane,shane,13172225
Ro_QTvgULAU,1866707,9890,76828,4501,2017-12-01T20:00:04.000Z,5 CRAZY PRISON STORIES,shane,shane,13172225
esLSGGo1W5M,2905579,39073,330296,1525,2017-10-02T23:26:02.000Z,just a message,shane,shane,13172225
BPn4_00LNsE,5165583,40058,364479,1905,2018-03-22T19:00:01.000Z,RAISING A BABY FOR A DAY,shane,shane,13172225
Ygd2wlqBwhQ,1472985,13100,75058,4141,2018-01-05T20:00:02.000Z,5 TRENDS THAT NEED TO STAY IN 2017,shane,shane,13172225
kymZR5FrTJY,5773604,35154,351565,4127,2018-03-21T19:00:05.000Z,WE ADOPTED A BABY!,shane,shane,13172225
NGWNT6wp3eg,8020481,40720,366456,9589,2017-12-05T20:00:00.000Z,My Friend Got Life In Prison,shane,shane,13172225
t4BC2Hx5Wu4,4633163,48136,360137,1038,2018-02-01T20:00:07.000Z,EXPOSING MY SECRET CAMERAMAN!,shane,shane,13172225
hxKPwJaqkIU,6503583,22105,337846,3572,2017-10-26T19:00:03.000Z,$1000 MYSTERY BOX,shane,shane,13172225
25UV6LrQZTc,10041460,66116,504988,4255,2018-01-17T20:00:00.000Z,SWITCHING LIVES WITH TRISHA PAYTAS,shane,shane,13172225
J1rbjwgMTQc,4405619,22864,248358,1662,2017-12-04T20:00:04.000Z,WEIRD CAT PRODUCTS I BOUGHT ONLINE,shane,shane,13172225
0KMXLkqVSCs,8008690,56673,490582,5565,2017-11-01T19:00:01.000Z,I ADOPTED A CHILD!,shane,shane,13172225
B4REJ3bOzTI,4530231,19175,249590,1312,2017-09-27T19:00:00.000Z,HAUNTED AMUSEMENT PARK!,shane,shane,13172225
pbrRkzuvgis,4279443,19174,210915,1670,2017-09-13T19:00:06.000Z,SCARIEST INSTAGRAM ACCOUNTS,shane,shane,13172225
fcQ-dUkXNFM,3812528,38244,330522,2622,2017-12-18T20:00:02.000Z,CONFRONTING MY HATER,shane,shane,13172225
bHAskLkjwzI,1659348,14014,93559,4110,2018-03-03T20:00:01.000Z,5 MOST HAUNTED HOSPITALS!,shane,shane,13172225
qN-ZCqaSHHk,4726040,25899,340121,1579,2018-04-12T19:00:06.000Z,BLIND GIRL DRIVES MY CAR *Scary*,shane,shane,13172225
i-sW4PfSxwA,3988609,48819,348196,2040,2018-04-30T19:00:02.000Z,$20 000 FIRST CLASS AIRPLANE SEATS,shane,shane,13172225
8NMcl5UlQG0,3352195,39058,300485,14212,2018-03-04T22:56:36.000Z,HOW MUCH DO YOUTUBERS SPEND?,shane,shane,13172225
IS21MqQ2IcY,1551660,15208,72892,4856,2018-01-20T20:00:03.000Z,5 UBER HORROR STORIES,shane,shane,13172225
LlT0ZqkBUSE,6133490,52509,394763,2852,2017-12-19T20:00:03.000Z,CONFRONTING MY HATER IN PERSON,shane,shane,13172225
uC7Nn8fWeEI,3138990,23342,226550,1394,2017-10-17T19:00:04.000Z,EXPOSING MY SECRET RELATIONSHIP,shane,shane,13172225
a8nfrkBIKW0,5378293,28163,390550,2019,2017-11-02T19:00:00.000Z,PRANKING MY MOM WITH A FAKE SON *Emotional*,shane,shane,13172225
_95NxbsbMF4,5307825,42253,391340,4830,2017-10-18T19:03:22.000Z,CONFRONTING MY FIRST LOVE,shane,shane,13172225
wP-TGGggOXw,4176831,28056,285275,2148,2018-02-12T20:00:03.000Z,LIE DETECTOR TEST WITH MY FRIENDS & MOM!,shane,shane,13172225
o08t04SJeqU,1255174,26988,183924,780,2018-05-01T19:00:03.000Z,$10 000 HOTEL ROOM SUITE,shane,shane,13172225
XSE4hHvNnV4,5571422,16428,251846,3007,2017-09-21T20:00:01.000Z,MIXING ALL FAST FOOD RESTAURANTS TOGETHER with SAFIYA NYGAARD,shane,shane,13172225
p_6FysNUW84,1992962,11827,82376,6921,2018-02-17T20:00:02.000Z,SCARIEST BLIND DATES!,shane,shane,13172225
NUqUqm6FqBs,6128387,29218,256075,1934,2017-10-11T19:00:01.000Z,SCARIEST SNAPCHATS EVER,shane,shane,13172225
I4jntp190lk,4595618,73541,316367,5508,2017-09-14T19:00:01.000Z,WHY WE AREN'T FRIENDS ANYMORE,shane,shane,13172225
u29QBkJ8E00,1322226,5265,57703,2647,2017-10-27T19:00:04.000Z,5 WEIRDEST PUNISHMENTS!,shane,shane,13172225
jcCGhhXXtLQ,1644898,6859,73689,2999,2017-09-29T19:00:02.000Z,5 CREEPIEST KIDS DRAWINGS,shane,shane,13172225
bDb_M2SmTH0,6729823,80414,381766,2598,2018-01-24T20:00:04.000Z,24 HOURS OVERNIGHT IN A HAUNTED HOTEL,shane,shane,13172225
qtfMzdqifF0,3785046,21472,219125,7029,2017-09-19T19:00:03.000Z,OUR TEAM 10 AUDITION with TESSA BROOKS & NICK CROMPTON,shane,shane,13172225
Xw_RS1Ovpns,5647639,47747,358309,1871,2018-01-22T20:00:05.000Z,ASKING PERMISSION TO MARRY HER SON,shane,shane,13172225
zg_KpFx2_pE,4883746,21826,220773,1433,2017-10-19T19:00:06.000Z,SCARIEST PLACES BODIES HAVE BEEN FOUND,shane,shane,13172225
7gfzlL-jiZE,2130711,27589,154964,10909,2018-03-18T19:00:00.000Z,DOES BUYING COMMENTS ACTUALLY WORK?,shane,shane,13172225
RJF8Ewt3SD8,1412500,8616,66879,2574,2017-10-13T19:00:02.000Z,5 DUMBEST TRENDS EVER,shane,shane,13172225
9-gCL7i8Lpw,4781852,24304,247651,2150,2017-10-24T19:00:00.000Z,BOYFRIEND GIVES ME A MAKEOVER,shane,shane,13172225
I1O8cVLgpaw,4967824,27203,307309,2940,2017-09-26T19:00:00.000Z,BOYFRIEND DISS TRACK - MUSIC VIDEO,shane,shane,13172225
ehby1npFCnk,7543735,66819,371594,2219,2018-02-20T20:00:01.000Z,GHOST HUNTING IN A HAUNTED SHIP,shane,shane,13172225
6z-X4r5JkyI,5638785,22403,280997,1677,2017-09-12T19:00:01.000Z,BOYFRIEND BUYS MY OUTFITS!,shane,shane,13172225
EJ-4nFz5hjU,4568913,28921,312801,5697,2017-11-28T20:00:00.000Z,CONFRONTING MY MOM,shane,shane,13172225
pvRcnTFTTgE,4752910,29284,267826,1696,2017-11-06T20:00:02.000Z,SCARIEST MEDICAL MISTAKES,shane,shane,13172225
Ul1nFub6164,5322935,45000,395727,4210,2018-01-09T20:00:03.000Z,I HAVE A DAUGHTER,shane,shane,13172225
zK9FkwQSzkg,4876319,24469,251291,1616,2017-10-16T19:00:05.000Z,WE BURIED OURSELVES ALIVE!,shane,shane,13172225
XdENbPIp1EI,5183094,18718,267784,1281,2017-09-28T19:00:02.000Z,REACTING TO WEIRD COMPILATIONS OF ME (w/ MY EX GF),shane,shane,13172225
F6c36eiPhvo,7507357,55706,446512,6616,2018-03-06T20:00:00.000Z,The Truth,shane,shane,13172225
PsazPeKrPzU,3563543,14785,245341,1514,2017-11-13T20:00:01.000Z,THE OLD SHANE IS DEAD!,shane,shane,13172225
w2EQ-JkvHqc,4769843,25949,301213,2256,2017-10-10T19:00:04.000Z,DESTROYING MY DIAMOND PLAY BUTTON!,shane,shane,13172225
NK4mdXlUriw,4485926,38599,345077,1611,2017-12-20T20:00:01.000Z,HATER CONFRONTS MY MOM,shane,shane,13172225
_fa5YN7JrHQ,6928082,29360,340706,3630,2017-11-20T20:00:02.000Z,73 Questions With Shane Dawson | Vogue Parody,shane,shane,13172225
5fTuWWnx9J8,6065188,25775,286665,2194,2017-09-11T19:00:00.000Z,FAMOUS KIDS CONSPIRACY THEORIES,shane,shane,13172225
uZcLeS8RYLM,4509263,42111,404148,1671,2017-11-27T20:00:03.000Z,THE TRUTH ABOUT MY PAST,shane,shane,13172225
ka_3xNfXIjA,4390400,28442,265510,892,2017-11-15T20:00:05.000Z,BEST FRIEND MAKEOVER! *Shocking*,shane,shane,13172225
LU6xDgpnIyM,6073845,88408,554510,4201,2017-11-29T20:00:02.000Z,CONFRONTING MY DAD,shane,shane,13172225
YzlRyKpAcWQ,4312517,29007,290840,1607,2018-01-19T20:00:03.000Z,PRANKING MY MOM WITH MY CLONE!,shane,shane,13172225
ZEQvvcGHup4,6506783,44840,306246,2549,2017-10-23T19:00:05.000Z,POPULAR 2017 CONSPIRACY THEORIES,shane,shane,13172225
h_58pbU9udQ,5295158,16422,271121,1902,2017-10-12T19:00:04.000Z,BUYING A $1000 PIZZA,shane,shane,13172225
sKkFthXvZS8,8245356,21729,379595,1856,2017-09-07T19:00:04.000Z,REACTING TO WEIRD COMPILATIONS OF ME,shane,shane,13172225
X9PfVz1NclU,6303924,36509,369089,2495,2017-11-22T20:00:02.000Z,SELLING MY UNDERWEAR ON EBAY  *$100 000*,shane,shane,13172225
xM2Ul71YwVw,7030946,32562,321796,2490,2017-11-14T20:00:03.000Z,POPULAR 2017 CONSPIRACY THEORIES,shane,shane,13172225
ylHKyh-kzQY,4211205,29536,266056,1421,2017-12-11T20:00:07.000Z,BOYFRIEND PUNK EDITS IN REAL LIFE,shane,shane,13172225
kxTLnqzcy50,3583859,19531,198456,1751,2017-10-31T19:00:04.000Z,IF YOU WATCH THIS YOU DIE,shane,shane,13172225
48p-Gjh0L5s,5290303,37440,382160,1519,2018-03-14T19:00:00.000Z,SURPRISING MY SISTER WITH JOSH PECK!,shane,shane,13172225
aeB1ECPlZd4,1753167,9788,73300,4141,2017-12-22T20:00:01.000Z,5 WORST CHRISTMAS GIFTS,shane,shane,13172225
8T2a04bLq34,1957370,25421,90796,4700,2018-01-27T20:00:00.000Z,5 MOST HAUNTED HOTELS IN THE WORLD!,shane,shane,13172225
at7-ICbAOLA,3927916,23224,258734,1429,2017-12-13T20:00:00.000Z,TEACHING MY CHILD TO BE A YOUTUBER!,shane,shane,13172225
h_EyftpAawg,5066080,25463,293236,2252,2017-12-06T20:00:02.000Z,My Friend Got Life In Prison: Part 2,shane,shane,13172225
JW5J4Dph1go,6121654,21370,334244,1662,2017-11-07T20:00:01.000Z,LIE DETECTOR TEST ON MY BOYFRIEND *Shocking*,shane,shane,13172225
rcEB-gXvTUs,5666794,45693,477500,2235,2018-04-16T19:00:03.000Z,SWITCHING LIVES WITH A BLIND PERSON,shane,shane,13172225
FCPDcIQstr8,7163650,98233,391605,2151,2018-02-21T23:30:00.000Z,24 HOURS OVERNIGHT IN A HAUNTED GHOST SHIP,shane,shane,13172225
_y5so--EOMc,3215515,14925,189331,1230,2017-09-25T19:00:04.000Z,MAKING DISS TRACK AGAINST MY BOYFRIEND,shane,shane,13172225
GeKhtw8ZZSg,4561496,58539,445312,1359,2018-02-28T20:00:01.000Z,WE GOT ANOTHER DOG!,shane,shane,13172225
xpFh9KHMYwA,6115759,50225,427243,3617,2018-01-10T20:00:04.000Z,MEETING MY DAUGHTER,shane,shane,13172225
x7wTjSU0eQM,4365051,24702,273499,2008,2017-12-12T20:00:08.000Z,I ADOPTED A CHILD ON CHRISTMAS!,shane,shane,13172225
9oGVCzP4xnc,5011988,32006,261643,1626,2017-11-21T20:00:00.000Z,SCARIEST HIDDEN CAMERA FOOTAGE,shane,shane,13172225
gSgjxCjiY6c,6260375,53136,468366,2080,2018-03-07T20:00:04.000Z,BOYFRIEND WEARS A FAT SUIT FOR A DAY,shane,shane,13172225
hb5KgUNgeXA,2070470,10529,81037,4474,2017-11-17T20:00:02.000Z,5 UNSOLVED MYSTERIES,shane,shane,13172225
4w2o6iTbSqo,5296198,51853,341559,1480,2017-11-16T20:00:00.000Z,BLIND DATE FOR MY BEST FRIEND *Awkward*,shane,shane,13172225
7knd0ABcR94,5499867,32963,359796,2879,2018-03-20T19:00:01.000Z,WE GOT A SURROGATE,shane,shane,13172225
X3ziP9JrlQk,8705884,85193,563658,3920,2018-02-14T20:00:02.000Z,MIND BLOWING CONSPIRACY THEORIES,shane,shane,13172225
pH_Zq1ZS7O8,5776729,33935,428263,2349,2018-04-11T19:00:04.000Z,MEETING A BLIND PERSON *Awkward*,shane,shane,13172225
