videoId,views,comments,likes,dislikes,dateUploaded,videoTitle,channelId,channelName,subscribers
Y3n4oocMUqM,NA,NA,NA,NA,NA,HATERS BACK OFF MY HOMEWORK!,SHAYTARDS,SHAYTARDS,5037893
_zqYvQlUYiQ,NA,NA,NA,NA,NA,Going to church makes us feel happy!,SHAYTARDS,SHAYTARDS,5037893
juk4Fcslr6I,NA,NA,NA,NA,NA,BEST RESTAURANT IN TORONTO!,SHAYTARDS,SHAYTARDS,5037893
AEEgWI7uSVw,NA,NA,NA,NA,NA,DON'T BULLY HiM!,SHAYTARDS,SHAYTARDS,5037893
-6i1eMGFnII,367170,1973,13047,235,2018-04-09T22:59:42.000Z,OUR TRAMPOLiNE BLEW AWAY!!!,SHAYTARDS,SHAYTARDS,5037893
ooU0GztrsMQ,NA,NA,NA,NA,NA,FAMiLY BAND!,SHAYTARDS,SHAYTARDS,5037893
Pb3Vd8w2Oow,NA,NA,NA,NA,NA,BOWLiNG WiTH KiDS!,SHAYTARDS,SHAYTARDS,5037893
MS51FrxaNXQ,NA,NA,NA,NA,NA,HERE'S A PUPPY PAL!,SHAYTARDS,SHAYTARDS,5037893
c_T3DDWD5mw,NA,NA,NA,NA,NA,TERRIFYING TODDLERS! (Haunted Corn Maze),SHAYTARDS,SHAYTARDS,5037893
i-rdHOEh2-M,NA,NA,NA,NA,NA,CRAZY CART KIDS!,SHAYTARDS,SHAYTARDS,5037893
4xb0I5VFEtY,NA,NA,NA,NA,NA,VLOGUMENTARY - Official Trailer,SHAYTARDS,SHAYTARDS,5037893
2VIVlYDM1Zg,566554,2823,22062,418,2018-03-25T07:06:40.000Z,Learning to swim!,SHAYTARDS,SHAYTARDS,5037893
KWDUojLbxn4,1031619,7045,51700,1869,2018-03-22T06:47:08.000Z,i did not edit this vlog,SHAYTARDS,SHAYTARDS,5037893
3TdLYXHnRvA,NA,NA,NA,NA,NA,MAGiCAL FAMiLY HiKE!,SHAYTARDS,SHAYTARDS,5037893
uoA-orzWULg,NA,NA,NA,NA,NA,SHAYTARDS CHANNEL ENDING.,SHAYTARDS,SHAYTARDS,5037893
BQvhcMlvoJ0,NA,NA,NA,NA,NA,HALLOWEEN COSTUME SHOPPiNG!,SHAYTARDS,SHAYTARDS,5037893
svYHVNhx-Lg,NA,NA,NA,NA,NA,THROWiNG KiDS OFF THE HOUSE!,SHAYTARDS,SHAYTARDS,5037893
iFk9TxuCTpU,NA,NA,NA,NA,NA,IM TAKiNG OVER!,SHAYTARDS,SHAYTARDS,5037893
qQgWKQ9C2Ks,NA,NA,NA,NA,NA,Women are strong eternal angels!,SHAYTARDS,SHAYTARDS,5037893
Gwab-T9vn0g,NA,NA,NA,NA,NA,LOST BOYS! Be kind..,SHAYTARDS,SHAYTARDS,5037893
5cVXShoKKj4,NA,NA,NA,NA,NA,Family Dinner Time!,SHAYTARDS,SHAYTARDS,5037893
q7JW5sBvTZE,NA,NA,NA,NA,NA,ARE YOU MAKiNG A MESS?!,SHAYTARDS,SHAYTARDS,5037893
JFy56H73V6U,NA,NA,NA,NA,NA,DON'T TRY THIS AT HOME!,SHAYTARDS,SHAYTARDS,5037893
DIdXBs3fi5E,NA,NA,NA,NA,NA,Sorry! Here's what we're doing!,SHAYTARDS,SHAYTARDS,5037893
Z5nus3MUkUY,NA,NA,NA,NA,NA,SNOW SWiMMiNG DEEP ON FLEEK!,SHAYTARDS,SHAYTARDS,5037893
0C8yP--BMpU,345023,3676,16783,355,2018-03-26T23:33:00.000Z,Marathoner to Alcoholic!,SHAYTARDS,SHAYTARDS,5037893
9M5IPjM4RLY,449779,2675,27477,490,2018-03-25T18:53:27.000Z,Remember these?!,SHAYTARDS,SHAYTARDS,5037893
krYAuFTjLFc,NA,NA,NA,NA,NA,#WHYiVLOG,SHAYTARDS,SHAYTARDS,5037893
1TCN_G-KKHA,NA,NA,NA,NA,NA,VLOGUMENTARY,SHAYTARDS,SHAYTARDS,5037893
Ww8hXtBwwIo,NA,NA,NA,NA,NA,New Trixin Warehouse,SHAYTARDS,SHAYTARDS,5037893
a_7VnSSOdLk,NA,NA,NA,NA,NA,FiGHTiNG ABOUT FASHiON!,SHAYTARDS,SHAYTARDS,5037893
CZLXAlMwZnE,NA,NA,NA,NA,NA,GAViN'S A TEENAGER! Happy Birthday!,SHAYTARDS,SHAYTARDS,5037893
TUUZ8czvWUM,NA,NA,NA,NA,NA,THE LAST SHAYTARDS REWIND!,SHAYTARDS,SHAYTARDS,5037893
prRyTVF_o60,NA,NA,NA,NA,NA,MOM IS HOME!,SHAYTARDS,SHAYTARDS,5037893
oYYk3iOUK-U,NA,NA,NA,NA,NA,HAPPY BIRTHDAY DAXTON!,SHAYTARDS,SHAYTARDS,5037893
uJJuiKjRbpo,NA,NA,NA,NA,NA,THAT'S TOO STEEP!,SHAYTARDS,SHAYTARDS,5037893
y0_X8VB9NCs,921301,6402,38487,844,2018-03-23T16:27:24.000Z,SHAYTARDS HIT 5 MiLLION SUBSCRIBERS!!!,SHAYTARDS,SHAYTARDS,5037893
ZlFr8ic3E1E,NA,NA,NA,NA,NA,WORLD'S FIRST MALE COVER GIRL!,SHAYTARDS,SHAYTARDS,5037893
RzUSlNqbbwo,NA,NA,NA,NA,NA,WATCHING SHAYTARDS VLOGS!,SHAYTARDS,SHAYTARDS,5037893
bSU6IY5BqbA,NA,NA,NA,NA,NA,BROCK'S VLOG!,SHAYTARDS,SHAYTARDS,5037893
lS6vZurGsT0,1734128,28458,100277,4833,2018-03-21T04:19:29.000Z,we're back?,SHAYTARDS,SHAYTARDS,5037893
zYV82b9Q_Dc,NA,NA,NA,NA,NA,JUDGE OUR HALLOWEEN COSTUMES!,SHAYTARDS,SHAYTARDS,5037893
yRiytZ5hiJc,NA,NA,NA,NA,NA,THEY KEEP FiGHTiNG!,SHAYTARDS,SHAYTARDS,5037893
gBK6yZ3DN7s,NA,NA,NA,NA,NA,Ring Out Wild Bells!,SHAYTARDS,SHAYTARDS,5037893
