videoId,views,comments,likes,dislikes,dateUploaded,videoTitle,channelId,channelName,subscribers
nQy4caDmeDE,4475500,12230,178936,1136,2017-09-11T21:50:20.000Z,Acting Out My REAL Childhood Stories (PART 2),IISuperwomanII,IISuperwomanII,13591594
8Kzy8AauqWM,2226416,8475,136372,1782,2018-01-19T00:02:12.000Z,How To Fix Any Bad Day,IISuperwomanII,IISuperwomanII,13591594
Gw-Mm-hS_UY,2041948,10110,127499,1019,2017-12-04T21:29:27.000Z,How People Talk About Celebrity Gossip (ft. Alisha Marie),IISuperwomanII,IISuperwomanII,13591594
kzFHjyysXr0,1739454,6413,111713,1458,2017-12-12T23:44:05.000Z,Embarrassing Vision Boards From Our Past (ft. Jenna Dewan Tatum),IISuperwomanII,IISuperwomanII,13591594
SHOjIjR46fs,5244460,20674,365618,3717,2017-09-04T22:33:03.000Z,What School Should REALLY Teach You,IISuperwomanII,IISuperwomanII,13591594
nqX0y-hME-E,1764003,7339,135831,910,2018-03-19T21:29:11.000Z,My REAL Morning Routine | Get Ready With Me!,IISuperwomanII,IISuperwomanII,13591594
sonx-ZxtYbM,2511917,10446,129095,1412,2017-07-25T00:13:31.000Z,What Really Happens On A Movie Set,IISuperwomanII,IISuperwomanII,13591594
ydW1vwnSv5w,1917890,7618,104947,1031,2017-08-10T23:00:28.000Z,THE TRUTH ABOUT EXTENDED WARRANTY!,IISuperwomanII,IISuperwomanII,13591594
pHBxoSN1A4Y,417959,1213,16769,347,2017-10-19T01:26:55.000Z,#LillyLIVE: Music Madness,IISuperwomanII,IISuperwomanII,13591594
hkFYWyy9Jek,1755406,6233,134393,708,2017-11-27T22:01:30.000Z,If Talk Show Interviews Were Honest (ft. Chelsea Handler),IISuperwomanII,IISuperwomanII,13591594
uUvgMnzplt4,4499157,12153,215622,2420,2017-11-23T21:00:59.000Z,When You Meet Your Ex's New Girlfriend (ft. Karlie Kloss),IISuperwomanII,IISuperwomanII,13591594
hBdsfj0YPO8,1237599,5190,112354,591,2018-04-09T23:00:16.000Z,The Dinner Debate,IISuperwomanII,IISuperwomanII,13591594
GRibLnd17eY,2078188,5844,102580,3987,2017-10-30T23:00:14.000Z,Disney Character House Party | Lilly Singh,IISuperwomanII,IISuperwomanII,13591594
MjnUxdHn3q0,4631180,24005,316580,3194,2017-08-31T21:59:10.000Z,DIY Back to School Supplies (PARODY),IISuperwomanII,IISuperwomanII,13591594
p9CNfr7nulQ,2484279,13595,206384,1312,2017-08-21T21:29:34.000Z,Struggles Of Having A Crush! Are We Dating?!,IISuperwomanII,IISuperwomanII,13591594
VvTWILI2orE,572491,760,24690,181,2017-08-04T00:41:12.000Z,BLOOPERS: Telling My Parents About My Boyfriend / Skipping School Tests,IISuperwomanII,IISuperwomanII,13591594
Ikp337xevB0,4836957,11061,184709,2588,2017-08-17T23:05:24.000Z,FOOD THAT CHANGES THE WAY YOU TALK!,IISuperwomanII,IISuperwomanII,13591594
GS5E5e2onqs,5310883,16384,236254,3025,2017-08-14T22:14:37.000Z,Awkward Body Problems Girls Face,IISuperwomanII,IISuperwomanII,13591594
UyHVtu_C7Ds,546039,1046,29966,178,2017-08-10T23:15:07.000Z,BLOOPERS: THE TRUTH ABOUT EXTENDED WARRANTY!,IISuperwomanII,IISuperwomanII,13591594
ybCUx8VYnvs,775001,1155,41825,378,2017-07-20T20:35:34.000Z,BLOOPERS: Real Things White People Have Said to Me,IISuperwomanII,IISuperwomanII,13591594
Ne0CC0eEr7M,4822905,14638,209435,2255,2017-07-31T23:42:57.000Z,Telling My Parents About My Boyfriend,IISuperwomanII,IISuperwomanII,13591594
aTdlRufHll8,1479850,3346,76631,1076,2017-07-13T21:03:27.000Z,If Cersei Lannister Made a Rap Diss Track | Game of Thrones,IISuperwomanII,IISuperwomanII,13591594
mNyqZ05SKso,2219016,21174,160648,1887,2018-01-26T01:06:38.000Z,That One Friend Who Believes in Horoscopes,IISuperwomanII,IISuperwomanII,13591594
gfMW8gobBrI,1654264,7403,108257,905,2017-11-06T22:28:42.000Z,How To Instantly Sound Smart and Sexy | Lilly Singh,IISuperwomanII,IISuperwomanII,13591594
ebzims_XwpM,6302967,18366,261827,3475,2017-09-18T23:24:58.000Z,Lipstick That Changes the Way You Talk! (ft. Manny Mua),IISuperwomanII,IISuperwomanII,13591594
pT5XvFLmzMU,2805735,14000,216757,2271,2018-01-09T01:19:44.000Z,Types of People at Weddings,IISuperwomanII,IISuperwomanII,13591594
mmiVVnp1hxE,2360813,10930,124964,1372,2017-08-29T01:54:27.000Z,Selena Gomez - Fetish | My Parents React (Ep. 25),IISuperwomanII,IISuperwomanII,13591594
LyGYw-1tKBM,4138129,12234,181092,1791,2017-07-27T23:03:29.000Z,Types of Contacts In Your Phone,IISuperwomanII,IISuperwomanII,13591594
zYlW81GZYug,7755072,14177,355761,2780,2017-12-07T23:45:50.000Z,When Your BF Acts Different Around His Friends (ft. The Rock),IISuperwomanII,IISuperwomanII,13591594
QU-HOruhi3I,4456947,12974,217654,2003,2017-08-04T00:20:08.000Z,Skipping School Tests,IISuperwomanII,IISuperwomanII,13591594
rXCl9gKPdKI,2974541,15707,266861,2782,2017-11-02T20:12:35.000Z,Giving You What You Want.,IISuperwomanII,IISuperwomanII,13591594
mpGeq59FmoQ,909499,1224,41106,291,2017-07-10T22:02:52.000Z,BLOOPERS: Why I Could Never Be On Game of Thrones,IISuperwomanII,IISuperwomanII,13591594
pMpQABKlC-I,5396913,24972,276598,11442,2017-12-23T21:57:30.000Z,How To Speak Internet 101 (ft. Will Smith),IISuperwomanII,IISuperwomanII,13591594
1-jXHDiRnC0,1808409,7848,98973,1324,2018-01-11T23:07:41.000Z,Migos  Nicki Minaj  Cardi B - MotorSport | My Parents React (Ep. 26),IISuperwomanII,IISuperwomanII,13591594
7kJHGxOeGHA,1671593,4592,106590,1291,2018-02-16T02:49:22.000Z,If Therapists Were Honest,IISuperwomanII,IISuperwomanII,13591594
vP6YGc1RiJY,1588228,4051,89136,1503,2017-07-15T00:39:06.000Z,If White Walkers Made a Rap Diss Track | Game of Thrones,IISuperwomanII,IISuperwomanII,13591594
iI3ZbE37VEg,1449634,6970,121142,1170,2018-02-22T23:30:38.000Z,The Struggles of Having Acne,IISuperwomanII,IISuperwomanII,13591594
-O88AQSMRvk,2656258,12113,149887,2213,2018-03-22T22:04:16.000Z,When You're Having a Bad Makeup Day,IISuperwomanII,IISuperwomanII,13591594
evak9oZSgSw,2140719,30629,219907,2437,2017-09-26T23:52:27.000Z,The Most Important Video You'll Watch Today,IISuperwomanII,IISuperwomanII,13591594
6JQxmiarfgY,1468402,6338,129022,950,2018-04-05T22:11:00.000Z,When Your Boyfriend Doesn't Say "I Love You" Back ft. Anthony Padilla,IISuperwomanII,IISuperwomanII,13591594
zy_df28N7WE,952277,5464,88780,1299,2018-04-26T21:29:32.000Z,The Struggles of Grinding,IISuperwomanII,IISuperwomanII,13591594
zMewvJlaiW0,1383601,3932,92612,840,2017-07-11T21:00:19.000Z,If Jon Snow Made a Rap Diss Track | Game of Thrones,IISuperwomanII,IISuperwomanII,13591594
sw01GxP5kdM,10680148,19237,297261,6177,2017-07-06T23:13:21.000Z,5 Things Guys Do That Girls Love - Pt. 2 (ft. D-Trix),IISuperwomanII,IISuperwomanII,13591594
_eQuL6o_l2w,856839,2607,36417,462,2017-09-19T00:02:13.000Z,Story Time with Lilly: LIVE,IISuperwomanII,IISuperwomanII,13591594
