videoId,views,comments,likes,dislikes,dateUploaded,videoTitle,channelId,channelName,subscribers
4cB9lWPry8A,3863393,3160,114363,1039,2017-12-10T00:24:25.000Z,Gmod Prop Hunt Funny Moments - Christmas or Halloween 2018? (Garry's Mod),VanossGaming,VanossGaming,22831478
OkLWdiNQ9gY,6683130,3065,144900,2370,2017-10-24T00:15:34.000Z,GTA5 Online Funny Moments - Vehicle Transform Gauntlet!,VanossGaming,VanossGaming,22831478
lGFV4Y3fGyI,7699990,4598,184731,2302,2017-12-11T00:58:46.000Z,Hand Simulator Funny Moments - Floating Standoffs and Beatboxing!,VanossGaming,VanossGaming,22831478
ct4rOcfW16g,4096180,2653,108138,1044,2018-01-25T02:37:55.000Z,Gmod Prop Hunt Funny Moments - Getting Back in Shape! (Garry's Mod),VanossGaming,VanossGaming,22831478
bIPJud13vnI,6817764,5264,158235,1825,2017-11-03T00:25:01.000Z,GTA5 Online Funny Moments - Murder Maze 2017!,VanossGaming,VanossGaming,22831478
73SuCTOK4pw,4742518,3563,117451,1309,2017-11-16T02:41:49.000Z,Gmod Hide and Seek Funny Moments - Turkey Troubles! (Garry's Mod),VanossGaming,VanossGaming,22831478
C8NC80CGnbA,3708776,2224,94287,1108,2018-03-11T02:49:37.000Z,Gmod Hide and Seek Funny Moments - St. Patricks Day 2018! (Garry's Mod),VanossGaming,VanossGaming,22831478
zncakOcAAi8,4044738,9744,107010,1163,2018-03-23T22:30:04.000Z,GTA5 Online Funny Moments: Doomsday Heists - Jetpacks at Last!!,VanossGaming,VanossGaming,22831478
vaq-2RkxsfM,7872775,4372,151495,2177,2017-10-30T00:30:18.000Z,PUBG Zombies Funny Moments - Nogla Rage and Zombie Swarm Panic!,VanossGaming,VanossGaming,22831478
rvVMXxxZDFE,3646868,2891,106128,1105,2017-12-30T00:36:14.000Z,Human Fall Flat Funny Moments - Rubber Moo's First Adventure!,VanossGaming,VanossGaming,22831478
oiQV-NJrrV4,4095274,2822,116658,1159,2018-01-15T03:10:36.000Z,Gmod Prop Hunt Funny Moments - Extremely Early Christmas 2018! (Garry's Mod),VanossGaming,VanossGaming,22831478
